JLL,Jones Lang LaSalle Incorporated Common Stock,NASDAQ
82.91,78.84,83.63,76.89
79.26,77.24,79.37,76.96
76.97,78.06,78.25,76.96
78.33,77.76,78.94,76.88
78.56,79.30,79.38,77.93
79.47,80.07,80.10,78.08
82.08,85.38,85.39,81.79
84.68,86.40,86.54,84.21
86.03,86.58,86.84,85.57
86.94,83.91,86.94,83.56
84.43,86.27,86.37,84.00
85.19,85.64,86.34,84.99
84.95,83.36,85.56,83.11
83.88,83.23,85.59,83.19
82.48,80.14,82.58,79.65
80.31,79.65,81.45,79.21
80.75,81.00,82.47,80.69
80.72,79.65,81.38,79.63
79.09,78.26,79.78,77.96
77.28,77.86,78.64,77.28
78.82,80.36,80.40,78.45
79.49,79.94,80.42,79.18
79.40,80.57,80.80,78.60
79.60,79.82,81.14,79.35
81.26,80.39,81.68,79.70
80.38,82.71,82.75,80.38
81.91,85.04,85.36,81.88
84.69,84.14,84.91,83.26
85.05,82.26,85.05,82.15
82.53,80.80,82.77,80.59
80.98,79.72,81.67,79.44
80.00,80.48,80.64,79.16
80.77,81.07,81.51,80.30
80.97,81.44,82.25,80.97
81.36,82.09,82.59,81.23
82.24,83.64,83.76,80.81
83.46,84.11,85.00,83.26
84.35,84.83,85.06,83.61
85.00,85.50,85.71,84.48
85.71,86.12,86.28,85.19
86.01,85.00,86.12,84.97
84.70,84.88,85.01,84.33
84.98,84.30,86.00,84.15
84.39,84.92,85.47,84.39
84.84,84.84,85.73,84.79
84.72,83.92,85.27,83.92
84.66,86.25,86.29,84.66
86.42,84.39,86.50,83.15
84.29,86.95,87.15,83.99
86.92,88.03,89.57,86.48
88.10,87.90,88.33,87.04
87.53,87.96,88.26,86.70
88.25,88.18,89.11,87.46
88.96,87.88,89.10,87.41
87.00,86.75,87.61,86.23
86.36,87.90,87.90,86.25
87.39,89.96,89.99,87.39
89.62,88.86,90.39,88.58
88.84,88.38,89.58,88.32
88.78,88.89,89.50,88.64
88.93,88.11,88.99,87.95
87.63,88.40,88.62,87.63
88.40,88.64,88.81,87.90
88.97,89.25,89.64,88.07
89.07,87.13,89.46,86.89
87.63,88.64,89.29,87.33
89.55,92.71,93.29,88.84
93.74,97.40,99.77,93.74
97.62,97.85,98.13,97.14
97.90,97.20,98.29,96.43
96.99,97.59,98.14,95.12
97.52,98.58,98.75,97.41
98.11,98.99,99.14,97.90
98.36,99.95,100.54,98.20
100.55,100.75,101.82,100.06
100.60,101.03,101.58,100.24
100.31,101.80,102.53,100.31
102.10,102.57,103.00,101.65
102.29,102.23,102.89,101.77
102.26,101.19,102.49,100.63
100.16,97.36,100.36,97.16
97.19,95.75,98.45,94.51
95.31,94.60,96.23,93.40
95.20,97.50,97.78,95.04
97.96,98.42,99.46,97.53
98.75,96.12,98.81,95.18
96.09,97.18,98.26,96.08
98.33,98.85,99.50,97.40
98.81,97.04,98.99,96.05
97.18,95.40,97.93,94.19
95.38,96.70,97.77,95.37
96.70,98.95,99.22,96.20
97.97,95.91,98.03,94.97
95.11,99.96,100.59,94.71
99.10,98.54,100.06,97.64
95.15,96.41,97.25,94.00
96.05,95.81,96.99,94.98
97.45,96.80,97.46,95.99
97.88,98.35,98.94,97.45
99.57,100.37,101.01,99.50
100.25,98.92,100.56,98.51
98.54,98.49,98.76,96.94
98.90,100.64,101.11,97.69
100.93,101.42,102.88,100.53
101.50,100.91,101.61,100.85
100.60,100.00,101.34,99.11
100.54,98.89,100.80,98.82
98.84,99.74,99.80,98.53
100.71,103.84,104.99,100.56
103.77,104.15,104.63,103.39
103.61,104.70,105.12,103.61
105.19,104.58,105.40,103.50
104.33,103.42,104.94,102.99
104.25,103.16,104.95,102.53
103.13,102.76,103.88,102.23
103.46,104.25,104.80,103.31
105.00,105.36,105.76,104.19
104.42,105.88,106.04,104.27
105.90,106.54,107.39,105.85
104.95,103.91,105.26,103.20
104.26,102.34,104.69,101.76
104.30,105.44,105.45,103.07
106.23,107.72,107.84,105.17
107.45,106.34,107.48,105.51
106.52,107.00,107.77,106.29
103.86,101.65,103.86,96.63
101.41,100.81,102.25,99.98
100.81,102.38,102.91,100.55
103.02,101.32,103.56,98.73
100.77,98.79,101.95,97.40
98.59,98.72,99.07,96.34
97.44,99.63,101.25,96.88
101.40,98.69,101.63,98.40
98.50,99.80,100.31,97.65
99.94,99.55,101.36,99.44
99.60,96.60,99.60,96.05
96.02,96.10,97.00,94.59
95.80,94.50,96.42,94.18
93.74,94.31,95.04,92.90
93.70,93.91,94.39,93.11
94.00,96.15,96.20,93.77
96.51,96.59,96.93,95.38
96.12,96.88,97.89,96.12
95.08,93.19,95.31,93.05
93.55,91.99,93.77,91.12
91.86,92.20,92.88,91.58
91.68,93.12,93.28,91.62
93.88,96.12,96.81,93.51
96.98,97.15,97.15,94.76
96.73,93.75,97.58,93.55
93.60,94.69,95.19,93.56
93.21,93.64,94.52,92.17
93.31,92.98,94.41,92.95
93.05,94.86,95.94,93.05
94.26,91.75,94.26,91.63
92.16,92.13,92.57,90.74
91.50,89.64,92.08,89.61
90.03,88.99,90.18,88.11
90.00,91.54,91.82,89.83
90.63,88.51,91.44,88.20
88.72,88.25,89.65,87.30
89.08,90.00,90.12,88.68
89.56,91.58,92.20,89.50
92.13,93.57,93.77,92.13
93.08,92.93,94.79,92.70
91.52,92.50,92.63,90.03
92.74,90.87,93.20,90.30
90.55,92.46,92.91,90.12
92.96,93.09,93.63,92.30
93.66,95.65,95.83,92.85
95.52,94.30,96.31,94.29
94.73,95.10,95.28,93.93
95.26,95.91,96.66,94.95
95.76,97.66,98.00,95.39
98.52,99.26,99.89,98.33
97.47,97.36,97.77,96.36
95.33,92.51,96.05,92.33
91.91,92.50,93.73,91.84
93.31,93.07,94.47,92.73
93.08,89.62,93.95,89.44
90.26,91.24,91.25,89.53
90.70,90.18,91.00,88.76
90.86,92.14,92.42,90.67
92.10,92.14,92.31,91.48
92.61,93.19,93.70,92.32
92.97,93.93,94.50,92.54
92.58,92.61,93.94,92.48
92.05,92.59,92.77,90.71
92.41,87.67,92.41,84.91
87.53,82.28,87.53,81.95
80.85,85.12,85.51,80.11
85.86,82.09,86.53,81.44
81.68,79.20,82.78,79.13
79.05,77.60,79.69,76.50
76.18,72.84,76.49,72.73
73.77,69.70,74.21,68.85
66.14,62.37,68.14,62.37
64.02,64.83,64.96,59.36
63.10,66.99,70.47,62.49
67.36,68.27,69.59,65.70
68.72,67.66,69.30,67.13
68.58,70.15,70.25,68.18
69.65,69.70,70.53,69.25
70.14,70.06,70.51,69.50
67.99,64.06,67.99,63.43
63.01,61.20,64.75,60.60
63.19,61.23,63.19,60.85
61.26,63.24,63.47,60.31
63.13,64.62,64.78,62.71
65.16,61.68,65.47,61.31
60.99,63.27,63.85,59.88
64.34,68.02,68.05,64.01
67.65,66.98,67.70,65.82
67.50,66.91,68.85,66.58
67.14,65.11,67.66,64.99
63.24,61.86,63.35,61.58
59.70,60.56,61.45,59.44
61.64,63.75,64.18,60.19
63.36,60.96,63.81,60.59
60.00,58.52,60.04,57.63
57.73,60.08,60.18,57.50
60.12,59.42,60.94,59.14
59.58,60.56,60.66,58.46
61.52,62.49,63.02,60.99
62.48,61.30,62.98,60.47
59.83,58.68,60.03,58.41
58.74,57.18,58.86,56.71
56.98,54.10,57.23,54.00
52.15,49.77,52.50,48.49
49.67,52.96,53.20,49.07
53.37,55.10,55.13,51.95
56.66,56.64,59.30,56.18
56.99,53.39,56.99,53.17
54.72,55.70,55.75,54.06
54.58,51.81,54.63,51.35
51.39,47.04,51.39,46.70
46.55,50.52,50.65,46.01
50.71,52.65,53.44,49.01
52.67,54.68,55.47,51.81
54.63,51.97,55.23,51.53
53.31,56.17,56.24,53.31
55.43,55.24,56.70,54.99
55.53,58.01,58.58,55.46
57.41,58.55,59.85,55.98
59.17,59.09,59.38,57.32
58.85,55.69,59.15,55.50
55.80,58.77,59.22,54.95
58.48,55.62,58.48,54.94
55.80,56.54,56.69,54.28
57.12,59.16,59.17,56.98
59.38,63.68,64.00,59.02
62.90,62.06,64.02,61.42
63.27,62.31,63.27,60.93
65.24,65.50,66.10,64.42
65.30,69.87,72.05,65.30
68.19,64.62,68.39,64.62
61.89,62.24,63.68,61.36
63.76,64.51,65.01,62.46
69.78,66.17,71.89,62.33
65.24,64.88,66.28,64.11
64.59,64.72,66.49,62.79
65.13,65.64,65.93,62.80
63.00,59.89,63.42,59.69
61.12,60.36,61.12,59.23
61.43,62.11,62.55,61.12
61.29,60.26,61.39,59.58
60.24,61.29,61.99,59.50
60.29,60.95,62.32,59.98
60.99,58.63,61.15,58.28
59.33,58.50,59.33,57.73
57.14,57.54,58.18,55.88
57.07,58.40,58.81,56.51
57.63,57.51,57.93,57.13
57.21,57.27,58.44,57.03
59.49,59.07,59.84,58.27
59.06,58.35,59.38,57.91
60.70,64.42,64.63,60.65
64.08,62.87,64.94,62.54
63.87,62.84,64.41,62.59
64.10,64.70,66.18,63.50
64.87,63.12,64.87,62.38
62.56,62.81,63.45,61.93
62.01,59.97,62.15,59.63
60.30,61.80,62.06,60.07
60.77,60.09,62.06,59.11
60.30,57.81,60.99,57.50
57.19,58.04,58.54,57.05
59.01,58.56,59.73,58.22
59.18,58.92,60.62,58.42
59.45,56.90,59.45,56.51
58.21,59.80,59.97,58.21
59.44,60.48,60.71,58.56
60.54,61.15,61.77,60.28
61.27,60.58,61.27,59.99
60.18,60.49,61.43,59.99
60.42,58.88,60.60,58.41
59.00,60.62,60.86,58.99
60.61,61.26,62.04,60.61
63.20,63.44,66.03,62.97
63.34,63.21,63.65,62.48
62.76,64.16,64.60,61.96
64.40,64.17,65.26,63.95
64.23,64.98,65.00,64.00
65.86,65.53,66.45,64.97
65.15,67.39,67.50,65.00
67.77,68.03,68.08,65.87
66.97,66.68,67.06,65.03
66.94,66.74,68.37,66.62
66.73,69.67,69.69,65.90
70.00,71.41,71.55,69.64
71.05,72.28,72.54,70.80
72.13,72.80,73.72,71.81
71.94,72.94,73.21,71.39
72.77,74.70,74.87,72.47
74.92,75.31,76.72,74.87
74.08,75.63,75.83,72.88
74.45,74.77,74.88,73.78
75.29,78.76,81.81,74.49
78.80,80.30,80.54,77.84
80.21,80.37,80.71,80.11
81.54,81.44,81.94,80.91
80.97,82.30,82.66,80.76
82.10,82.96,83.48,81.85
82.54,81.52,82.54,80.56
81.90,81.79,82.52,80.90
80.39,81.45,82.31,80.39
82.86,82.49,82.86,81.25
81.61,81.89,82.06,80.75
82.24,80.43,82.48,80.06
80.59,83.41,83.49,80.42
83.61,83.04,84.09,82.87
83.17,81.97,83.93,81.48
81.73,80.95,82.22,80.74
81.15,82.45,82.96,80.58
82.47,81.31,82.47,81.15
80.50,80.71,80.97,79.29
80.66,80.59,81.45,79.95
80.74,81.41,82.23,80.51
81.78,84.08,84.37,81.52
83.76,82.79,84.04,82.54
82.19,82.45,83.06,82.06
80.85,79.89,80.85,78.45
80.26,79.94,80.85,79.67
80.64,82.68,83.06,80.16
82.64,82.86,83.91,81.79
82.85,83.50,83.82,82.51
83.85,86.42,86.65,83.53
86.21,84.66,86.83,83.91
84.90,86.77,86.86,84.23
86.79,87.08,87.52,86.26
86.65,86.86,87.35,85.93
85.89,85.47,86.10,84.90
85.82,85.19,86.44,84.72
84.29,83.66,84.45,82.35
83.56,83.94,84.29,82.82
84.94,84.63,85.36,84.14
84.88,84.48,85.40,84.06
84.35,83.55,84.67,82.53
82.63,82.94,83.17,82.17
83.70,83.31,83.77,82.68
82.97,83.74,84.70,82.70
83.46,83.17,84.05,82.52
82.16,82.03,82.40,81.65
81.66,81.68,82.10,81.48
80.11,79.78,80.29,79.55
79.78,77.80,80.20,77.68
78.92,79.17,79.58,78.08
79.33,81.57,81.68,79.33
81.32,79.86,81.57,79.79
80.44,78.65,80.80,78.47
79.49,80.98,81.81,79.49
80.36,79.81,80.62,79.37
79.88,79.28,81.43,78.89
79.83,80.21,80.80,79.54
78.87,78.93,79.10,77.65
79.14,79.67,80.20,78.48
81.12,80.77,81.45,79.79
80.61,81.50,81.75,80.15
81.58,81.25,81.67,80.73
81.14,79.94,81.54,79.68
80.00,80.62,81.90,79.25
82.87,85.09,87.44,80.00
85.15,83.16,85.38,83.03
82.71,80.03,82.71,79.89
79.52,78.97,80.07,78.68
78.04,78.34,78.51,76.70
77.38,77.58,78.30,75.80
78.35,77.34,78.61,76.51
76.28,77.88,78.36,75.45
76.60,75.14,77.27,74.88
75.01,75.04,75.65,74.40
75.30,72.49,75.75,72.37
72.37,69.94,72.37,69.94
70.34,70.14,71.54,69.77
70.27,71.03,71.44,69.40
71.30,71.69,72.70,71.22
70.74,72.41,72.68,69.86
72.51,72.18,72.69,71.35
71.87,72.24,72.98,71.86
73.13,74.24,74.43,72.56
73.12,72.14,73.25,71.29
71.86,72.50,73.16,71.11
70.56,68.88,70.88,68.84
69.32,66.56,69.77,66.15
66.35,68.03,68.10,65.78
68.83,70.24,70.69,68.76
70.84,70.18,71.58,69.59
69.95,70.63,70.64,69.05
71.51,68.57,71.52,68.51
69.07,70.46,70.53,68.69
70.16,68.49,70.57,68.18
68.80,69.42,69.99,68.65
69.86,70.66,70.78,69.30
70.18,71.46,71.56,69.64
71.88,73.20,73.53,71.63
72.98,73.45,73.94,72.07
73.34,69.87,73.70,69.65
70.21,69.82,70.66,69.06
68.44,67.46,68.46,66.92
67.54,67.64,67.96,66.99
67.91,68.03,68.21,67.15
67.36,68.42,68.46,65.97
70.07,70.37,71.28,69.80
70.50,69.82,70.96,68.92
69.92,71.62,72.30,69.89
71.32,70.91,71.79,70.27
69.83,69.18,69.85,68.87
69.08,69.34,69.43,68.00
70.15,69.53,71.36,69.14
69.48,69.10,70.36,68.80
68.34,69.06,69.42,67.38
69.14,70.51,70.51,69.08
70.10,69.64,70.18,68.99
69.92,70.56,70.59,68.59
70.24,70.79,71.00,70.12
70.69,72.45,72.85,70.50
71.87,70.13,71.87,70.06
68.35,67.48,68.37,66.20
67.55,65.21,67.55,64.45
65.43,65.06,65.99,64.16
66.50,66.03,66.88,65.55
66.63,67.76,68.33,66.14
67.74,66.84,67.97,66.38
66.55,66.69,67.11,66.02
65.41,64.94,66.92,61.39
64.60,64.67,65.35,63.64
66.18,67.27,68.34,66.02
67.49,67.46,68.43,67.17
67.55,68.69,69.15,67.55
68.03,70.09,70.34,66.82
70.18,70.31,70.47,69.58
69.90,70.22,70.45,69.56
69.83,70.48,70.56,69.83
70.89,69.85,70.89,69.56
69.64,70.86,71.09,69.64
71.06,71.08,71.47,70.08
71.20,71.82,72.00,71.05
71.46,70.62,71.81,70.26
70.66,70.74,72.05,70.24
70.63,71.50,71.61,70.02
71.11,71.56,71.93,70.82
71.21,71.50,71.85,70.81
71.63,71.28,71.78,70.65
71.09,71.10,71.46,70.35
71.04,71.98,72.23,70.54
71.27,71.11,71.71,70.83
71.58,72.13,72.34,70.96
72.01,72.69,73.00,71.20
72.54,71.61,72.73,70.90
72.02,73.85,73.95,71.98
73.98,74.99,75.35,73.80
74.88,74.43,75.41,74.29
74.54,74.87,75.12,74.25
75.10,76.43,76.45,74.80
76.43,79.76,79.91,76.11
80.29,83.81,84.60,79.81
83.21,81.24,83.32,81.06
81.13,80.77,81.76,80.16
80.91,81.49,81.86,80.62
80.77,79.99,80.92,79.76
81.41,79.45,81.62,79.38
78.80,79.34,79.86,78.01
79.84,77.19,79.88,77.18
77.57,76.95,77.77,76.42
77.41,77.40,77.82,76.89
76.86,76.35,76.86,75.86
76.59,77.07,77.99,76.40
77.35,77.47,78.08,76.96
77.74,77.68,78.80,77.14
78.12,77.42,78.49,77.08
77.85,77.74,78.28,77.31
77.31,77.71,78.26,77.27
77.69,76.13,77.69,75.85
76.34,74.52,76.34,74.42
75.35,75.76,76.55,75.19
75.85,74.99,76.56,74.49
75.15,75.67,75.96,75.03
76.10,75.77,76.54,75.14
75.83,77.10,77.38,75.38
76.99,78.75,78.87,76.95
78.29,77.00,78.73,76.02
76.68,77.21,77.49,76.46
75.92,75.59,75.97,75.08
76.07,75.59,76.30,75.10
76.34,75.99,76.51,75.31
75.94,75.17,76.42,73.96
74.64,77.74,78.47,74.48
77.92,79.70,80.69,77.15
80.00,78.61,80.07,78.60
78.50,79.36,79.56,77.84
79.82,80.01,80.11,78.96
78.53,77.94,79.50,77.76
78.07,76.55,78.07,76.17
75.94,75.96,76.63,75.69
76.06,75.73,76.31,75.15
74.69,75.51,75.95,74.31
75.97,74.11,76.83,73.76
73.93,73.53,74.33,72.56
73.61,74.99,75.10,72.97
75.98,76.59,76.72,75.53
76.20,76.77,76.99,75.83
77.00,76.89,77.37,76.19
77.47,78.24,78.31,76.06
78.18,78.29,78.75,77.72
78.15,78.36,78.52,76.70
78.38,79.68,79.78,77.33
80.00,81.36,81.69,79.51
81.65,82.01,82.44,80.79
82.47,81.53,82.47,80.94
81.48,81.33,82.21,80.67
81.57,81.25,82.27,80.36
81.26,81.01,81.48,80.54
81.31,81.72,81.82,80.52
81.31,82.46,82.73,81.20
82.64,83.83,83.88,82.64
84.32,83.59,84.78,83.40
83.42,82.53,83.88,82.04
82.73,82.08,82.82,81.94
82.30,84.06,84.06,82.30
84.10,86.16,86.17,83.85
85.74,84.53,86.79,83.00
84.42,84.85,85.27,84.29
83.49,83.98,83.99,82.83
83.82,84.02,84.42,83.44
84.04,83.27,84.27,83.27
83.23,82.96,83.82,82.40
82.31,82.32,83.17,82.18
82.17,83.94,84.16,82.10
86.21,86.10,86.21,84.39
86.03,86.48,87.05,85.79
86.64,86.90,87.62,86.35
86.44,85.64,86.45,85.38
85.74,85.96,86.15,85.35
86.16,85.56,86.39,85.37
86.19,86.35,86.40,86.00
86.47,86.24,86.54,85.83
86.12,86.28,86.49,85.86
85.83,86.41,87.16,85.83
86.18,86.46,86.69,85.60
86.84,87.81,88.20,86.79
87.79,88.00,88.13,86.97
87.79,88.05,88.24,87.55
87.43,88.82,89.29,87.42
88.96,88.95,89.79,88.71
89.21,91.79,91.83,88.76
91.99,91.31,91.99,91.00
91.22,91.84,92.05,90.72
90.00,91.99,92.87,82.93
92.00,92.14,92.73,91.55
92.55,95.10,95.46,92.55
94.18,94.62,95.10,94.14
94.92,95.15,95.81,94.40
95.05,95.48,95.84,94.77
96.33,97.17,98.69,95.54
97.09,98.43,98.50,97.09
97.91,98.31,98.84,97.26
98.19,98.43,99.28,98.17
98.18,98.77,100.00,97.65
98.28,99.35,99.58,98.28
99.30,98.44,99.30,97.99
98.54,99.59,99.59,98.46
99.52,96.84,100.33,96.84
96.95,95.96,97.25,95.40
96.62,96.75,96.75,95.80
97.02,94.63,97.24,94.63
95.15,95.19,95.65,94.20
94.98,96.23,96.81,94.71
96.11,96.64,97.89,96.11
95.70,96.77,97.44,94.78
96.60,96.81,97.28,95.73
97.46,97.89,98.26,97.34
97.90,97.88,97.97,97.25
97.82,97.97,98.04,97.29
98.50,99.21,99.31,97.96
99.08,99.80,99.98,98.63
99.47,99.76,100.33,99.13
99.66,99.50,99.99,98.94
99.61,99.35,99.87,99.15
99.00,98.47,99.14,97.94
97.53,98.50,98.85,97.29
98.54,97.37,98.80,96.69
97.79,98.90,99.13,97.65
98.49,98.48,99.31,97.80
98.87,98.03,98.95,97.55
98.50,98.43,99.07,98.22
99.10,100.69,100.86,99.00
99.76,99.08,99.76,98.73
99.17,99.41,99.50,98.73
99.00,97.84,99.70,97.40
98.20,97.53,98.87,97.16
97.67,95.62,97.94,95.08
95.58,95.43,95.60,94.52
93.93,94.34,94.59,92.96
94.57,97.56,97.68,94.20
98.24,98.64,99.27,97.69
99.01,99.85,100.91,98.87
99.97,100.02,100.47,99.56
99.48,99.66,99.94,98.72
98.97,94.34,98.97,94.31
95.37,94.17,95.42,93.90
93.38,91.47,93.52,91.09
91.64,90.82,91.66,90.23
91.40,92.54,92.66,90.89
92.87,93.32,94.17,91.84
93.91,94.52,94.87,93.49
94.60,94.54,94.93,93.86
94.50,97.03,97.08,93.84
96.57,96.50,96.57,95.58
96.79,97.78,97.78,96.24
97.49,99.02,99.02,97.10
98.07,97.35,101.46,96.99
97.45,98.08,98.77,96.61
98.99,98.77,99.58,98.03
98.80,99.76,100.31,98.39
100.42,99.93,101.15,99.45
99.58,99.25,99.82,97.90
99.16,98.18,99.41,97.96
98.34,97.62,98.34,97.62
97.70,97.00,97.70,96.34
97.00,97.12,97.77,96.62
96.64,96.99,97.16,95.99
97.00,96.00,97.36,95.49
96.57,96.94,97.20,96.46
96.90,96.57,97.37,96.28
97.00,96.64,97.00,96.20
97.00,94.49,97.24,94.11
93.35,94.27,94.44,92.42
93.51,92.44,93.51,92.16
93.81,92.94,94.28,91.73
92.24,91.50,92.49,90.71
91.78,91.91,92.62,91.23
91.42,91.83,92.65,91.42
91.88,90.81,91.91,89.83
90.80,90.57,91.28,89.90
90.20,88.40,90.51,88.16
88.15,90.83,90.83,88.00
91.42,91.08,91.46,89.97
91.21,90.81,91.72,90.01
89.39,89.25,90.40,88.72
89.84,87.23,89.84,87.08
87.14,89.61,89.83,87.14
89.56,88.43,90.67,88.24
89.17,89.03,89.69,88.50
89.08,90.89,91.56,88.86
