SNOA,Sonoma Pharmaceuticals,NASDAQ
1.98,2.08,2.15,1.98
2.03,2.02,2.09,2.00
2.05,2.04,2.06,2.00
2.10,2.01,2.16,2.00
2.00,1.97,2.01,1.82
1.92,1.99,2.04,1.88
1.96,1.98,1.98,1.94
1.98,2.01,2.01,1.90
2.00,2.04,2.10,1.98
2.05,2.02,2.10,2.00
2.12,2.18,2.19,2.09
2.15,2.18,2.19,2.13
2.18,2.19,2.20,2.15
2.19,2.21,2.21,2.13
2.21,2.14,2.23,2.13
2.14,2.04,2.14,2.03
2.10,2.05,2.13,2.01
2.03,2.18,2.20,2.02
2.20,2.13,2.20,2.11
2.10,2.11,2.19,2.06
2.13,2.05,2.17,2.05
2.08,2.04,2.13,2.02
2.04,1.98,2.04,1.95
1.95,1.98,2.00,1.95
1.98,1.95,2.00,1.89
1.92,1.90,1.92,1.85
1.94,1.85,1.94,1.85
1.89,1.82,1.90,1.82
1.83,1.84,1.84,1.81
1.85,1.93,1.93,1.85
1.96,1.90,1.96,1.89
1.90,1.84,1.95,1.84
1.87,1.90,1.91,1.82
1.88,2.03,2.05,1.80
2.05,1.99,2.05,1.90
1.97,1.94,2.00,1.94
1.91,1.98,2.03,1.91
1.94,1.96,2.00,1.93
1.99,1.90,2.00,1.90
1.94,1.92,2.04,1.92
1.92,1.90,1.99,1.90
1.95,1.95,1.97,1.90
1.95,1.95,1.95,1.92
1.95,1.94,1.99,1.91
1.91,1.88,1.95,1.85
1.92,1.97,1.99,1.92
1.93,1.94,1.97,1.89
2.00,1.85,2.00,1.77
1.84,1.83,1.91,1.79
1.86,1.87,1.88,1.81
1.88,1.78,1.88,1.75
1.79,1.90,1.90,1.73
1.93,1.80,1.93,1.80
1.83,1.71,1.83,1.60
1.69,1.69,1.74,1.62
1.67,1.60,1.67,1.59
1.59,1.68,1.73,1.58
1.72,1.71,1.73,1.59
1.74,1.72,1.76,1.68
1.67,1.71,1.72,1.60
1.71,1.66,1.71,1.61
1.70,1.65,1.75,1.60
1.68,1.65,1.75,1.61
1.65,1.65,1.73,1.65
1.70,1.63,1.72,1.62
1.64,1.62,1.70,1.60
1.62,1.64,1.67,1.62
1.70,1.70,1.70,1.66
1.66,1.66,1.69,1.65
1.65,1.60,1.69,1.60
1.60,1.63,1.64,1.60
1.63,1.71,1.73,1.63
1.67,1.74,1.75,1.66
1.74,1.77,1.78,1.72
1.78,1.66,1.78,1.65
1.66,1.70,1.71,1.63
1.68,1.62,1.70,1.62
1.64,1.57,1.65,1.51
1.60,1.63,1.63,1.57
1.63,1.61,1.66,1.60
1.57,1.59,1.64,1.57
1.57,1.55,1.64,1.54
1.53,1.47,1.59,1.41
1.43,1.43,1.47,1.41
1.42,1.48,1.50,1.42
1.56,1.56,1.56,1.51
1.56,1.52,1.60,1.46
1.50,1.49,1.54,1.48
1.48,1.44,1.50,1.42
1.42,1.45,1.46,1.42
1.45,1.52,1.52,1.41
1.49,1.52,1.52,1.42
1.49,1.49,1.51,1.44
1.50,1.54,1.60,1.50
1.56,1.65,1.76,1.56
1.64,1.70,1.74,1.64
1.75,1.79,1.80,1.72
1.80,1.84,1.84,1.68
1.84,1.85,1.85,1.77
1.84,1.82,1.84,1.75
1.82,1.68,1.84,1.68
1.70,1.63,1.73,1.63
1.76,1.69,1.76,1.64
1.69,1.64,1.69,1.61
1.65,1.56,1.67,1.54
1.56,1.55,1.60,1.53
1.57,1.53,1.59,1.53
1.58,1.59,1.61,1.55
1.59,1.57,1.62,1.56
1.60,1.60,1.60,1.55
1.62,1.63,1.77,1.56
1.75,1.69,1.75,1.65
1.75,1.65,1.78,1.63
1.65,1.60,1.69,1.60
1.62,1.64,1.67,1.60
1.64,1.59,1.64,1.59
1.59,1.60,1.67,1.55
1.63,1.62,1.69,1.60
1.63,1.61,1.66,1.57
1.64,1.75,1.79,1.62
1.75,1.73,1.75,1.69
1.73,1.69,1.73,1.69
1.67,1.67,1.70,1.66
1.65,1.67,1.69,1.64
1.67,1.73,1.75,1.65
1.74,1.75,1.76,1.74
1.77,1.76,1.78,1.72
1.75,1.67,1.76,1.67
1.70,1.66,1.73,1.63
1.68,1.66,1.70,1.64
1.66,1.71,1.74,1.66
1.75,1.75,1.75,1.71
1.74,1.75,1.75,1.71
1.72,1.70,1.73,1.70
1.70,1.65,1.73,1.65
1.67,1.67,1.72,1.62
1.67,1.64,1.67,1.63
1.66,1.73,1.75,1.61
1.75,1.89,1.89,1.74
1.89,1.86,1.89,1.86
1.88,1.85,1.89,1.85
1.87,1.81,1.87,1.79
1.83,1.73,1.83,1.71
1.76,1.73,1.80,1.71
1.72,1.67,1.74,1.67
1.70,1.65,1.71,1.65
1.65,1.72,1.72,1.65
1.72,1.67,1.72,1.67
1.66,1.73,1.75,1.66
1.70,1.69,1.72,1.67
1.71,1.74,1.74,1.69
1.74,1.80,1.81,1.73
1.80,1.85,1.86,1.76
1.90,1.98,2.00,1.90
2.00,1.90,2.00,1.90
1.91,2.06,2.08,1.91
2.07,2.15,2.16,2.04
2.15,2.16,2.20,2.15
2.19,2.03,2.19,1.90
2.01,2.10,2.11,1.95
2.10,2.10,2.15,2.10
2.10,2.04,2.10,2.03
2.04,2.04,2.12,2.04
2.06,2.13,2.17,2.03
2.19,2.13,2.21,2.11
2.13,2.11,2.13,2.09
2.13,2.08,2.14,2.06
2.10,2.06,2.10,2.03
2.04,2.04,2.06,2.01
2.03,2.02,2.04,2.00
2.01,1.91,2.01,1.73
2.00,1.99,2.05,1.95
2.00,2.06,2.15,2.00
2.04,1.93,2.06,1.93
1.93,1.84,1.93,1.78
2.25,2.25,2.65,2.20
2.21,2.11,2.29,2.07
2.15,2.05,2.15,2.00
2.05,2.02,2.05,2.00
2.15,2.04,2.15,2.02
2.26,2.22,2.26,2.10
2.25,2.25,2.27,2.17
2.25,2.12,2.33,2.10
2.14,2.12,2.25,2.11
2.27,2.11,2.27,2.10
2.13,2.00,2.13,1.98
2.02,2.00,2.10,2.00
2.07,2.03,2.07,2.01
2.03,2.05,2.09,2.00
2.04,2.02,2.04,2.00
2.06,2.06,2.07,2.02
2.12,2.09,2.12,2.06
2.10,2.08,2.14,2.08
2.08,2.08,2.11,2.08
2.10,2.02,2.10,1.99
2.09,2.04,2.09,1.96
2.01,2.02,2.03,1.96
2.03,2.03,2.06,1.98
2.04,2.02,2.05,2.01
2.00,1.98,2.00,1.90
1.96,2.01,2.06,1.96
2.02,1.95,2.02,1.92
1.94,2.00,2.01,1.94
2.03,1.97,2.03,1.95
1.95,1.98,1.98,1.92
2.00,2.00,2.00,1.95
2.03,2.03,2.07,1.96
2.07,2.08,2.10,2.01
2.10,2.05,2.10,2.05
2.05,2.06,2.08,2.05
2.05,2.01,2.06,2.00
2.03,2.01,2.06,1.96
2.00,1.92,2.05,1.92
1.94,1.96,2.00,1.92
1.97,2.00,2.00,1.95
1.96,1.96,2.00,1.95
1.94,1.93,1.96,1.91
1.91,1.94,1.99,1.88
1.96,1.92,1.98,1.91
1.91,1.90,1.92,1.88
1.88,1.95,1.95,1.85
1.92,1.90,1.94,1.88
1.91,1.89,1.94,1.88
1.90,1.86,1.90,1.84
1.85,1.83,1.86,1.80
1.82,1.83,1.86,1.78
1.84,1.82,1.84,1.80
1.83,1.75,1.83,1.75
1.76,1.75,1.80,1.70
1.71,1.75,1.75,1.70
1.77,1.87,1.94,1.77
1.83,1.94,2.00,1.82
1.96,1.86,2.00,1.86
1.88,1.85,1.88,1.85
1.85,1.82,1.87,1.80
1.80,1.82,1.87,1.77
1.85,1.87,1.90,1.85
1.86,1.86,1.87,1.80
1.90,1.98,1.99,1.88
1.98,1.96,1.98,1.92
1.95,1.89,1.95,1.88
1.90,1.90,1.93,1.85
1.90,1.91,1.93,1.90
1.92,1.89,1.95,1.85
1.88,1.81,1.90,1.81
1.82,1.79,1.85,1.79
1.84,1.95,1.95,1.80
1.93,1.96,2.00,1.93
1.95,2.07,2.10,1.95
2.08,2.00,2.08,1.99
2.01,2.10,2.16,1.95
2.12,2.14,2.15,2.02
2.16,2.15,2.20,2.10
2.19,2.15,2.19,2.07
2.14,2.15,2.18,2.05
1.94,1.82,2.00,1.79
1.76,1.78,1.83,1.73
1.73,1.70,1.78,1.70
1.69,1.72,1.80,1.55
1.71,1.71,1.74,1.65
1.67,1.72,1.73,1.65
1.71,1.65,1.71,1.63
1.65,1.65,1.71,1.63
1.65,1.59,1.68,1.59
1.60,1.60,1.62,1.59
1.61,1.60,1.62,1.59
1.57,1.66,1.68,1.56
1.68,1.69,1.75,1.67
1.69,1.63,1.69,1.62
1.62,1.61,1.68,1.59
1.62,1.61,1.66,1.60
1.64,1.69,1.70,1.61
1.75,1.76,1.78,1.68
1.76,1.78,1.80,1.75
1.79,1.84,1.92,1.79
1.80,1.76,1.83,1.71
1.80,1.74,1.83,1.74
1.70,1.78,1.80,1.70
1.80,1.75,1.80,1.72
1.70,1.67,1.80,1.66
1.67,1.60,1.70,1.60
1.62,1.66,1.69,1.61
1.65,1.65,1.69,1.63
1.65,1.66,1.70,1.62
1.65,1.69,1.70,1.60
1.70,1.60,1.72,1.60
1.61,1.66,1.67,1.61
1.66,1.61,1.66,1.59
1.63,1.61,1.71,1.60
1.72,1.59,1.72,1.59
1.57,1.62,1.63,1.52
1.61,1.53,1.61,1.53
1.61,1.64,1.65,1.52
1.62,1.57,1.62,1.57
1.60,1.59,1.61,1.55
1.60,1.57,1.61,1.55
1.57,1.53,1.58,1.51
1.52,1.51,1.58,1.51
1.52,1.43,1.53,1.39
1.33,1.43,1.43,1.33
0.98,1.22,1.32,0.97
1.21,1.26,1.27,1.21
1.30,1.30,1.31,1.27
1.27,1.37,1.43,1.27
1.37,1.48,1.50,1.37
1.53,1.55,1.59,1.50
1.54,1.50,1.55,1.47
1.54,1.49,1.54,1.40
1.42,1.38,1.45,1.38
1.32,1.43,1.45,1.30
1.44,1.36,1.49,1.34
1.35,1.36,1.40,1.28
1.36,1.41,1.47,1.36
1.35,1.33,1.41,1.28
1.32,1.33,1.35,1.31
1.35,1.30,1.35,1.30
1.30,1.32,1.40,1.30
1.32,1.31,1.44,1.30
1.42,1.41,1.42,1.32
1.41,1.39,1.44,1.36
1.35,1.33,1.40,1.24
1.35,1.32,1.39,1.30
1.33,1.26,1.37,1.25
1.26,1.26,1.30,1.25
1.22,1.25,1.28,1.22
1.27,1.22,1.30,1.20
1.20,1.20,1.25,1.20
1.22,1.18,1.22,1.15
1.20,1.35,1.35,1.20
1.29,1.27,1.29,1.26
1.24,1.22,1.37,1.20
1.23,1.55,1.70,1.23
1.75,1.70,1.85,1.43
1.60,1.60,1.70,1.53
1.77,1.64,1.77,1.56
1.65,1.53,1.68,1.52
1.51,1.44,1.55,1.42
1.44,1.57,1.58,1.42
1.50,1.51,1.55,1.43
1.51,1.37,1.53,1.37
1.35,1.42,1.57,1.35
1.42,1.39,1.51,1.36
1.51,1.55,1.55,1.40
1.55,1.40,1.55,1.40
1.40,1.44,1.55,1.40
1.40,1.40,1.49,1.37
1.42,1.42,1.46,1.38
1.38,1.37,1.42,1.37
1.41,1.36,1.45,1.36
1.44,1.38,1.44,1.36
1.36,1.36,1.40,1.36
1.36,1.50,1.50,1.36
1.49,1.52,1.59,1.49
1.52,1.52,1.57,1.52
1.57,1.54,1.60,1.50
1.47,1.54,1.58,1.47
1.53,1.56,1.56,1.46
1.56,1.42,1.57,1.42
1.45,1.50,1.53,1.42
1.56,1.58,1.63,1.53
1.63,1.67,1.69,1.62
1.67,1.65,1.70,1.64
1.68,1.60,1.68,1.55
1.62,1.45,1.68,1.41
1.41,1.43,1.51,1.36
1.41,1.47,1.55,1.41
1.46,1.44,1.53,1.42
1.54,1.44,1.55,1.44
1.44,1.46,1.49,1.42
1.45,1.50,1.55,1.45
1.48,1.52,1.54,1.45
1.47,1.44,1.52,1.44
1.45,1.41,1.51,1.41
1.50,1.53,1.54,1.41
1.50,1.59,1.59,1.45
1.55,1.53,1.63,1.50
1.49,1.56,1.60,1.46
1.50,1.52,1.53,1.50
1.55,1.63,1.63,1.55
1.60,1.65,1.65,1.50
1.65,1.60,1.65,1.55
1.60,1.52,1.60,1.52
1.51,1.51,1.55,1.51
1.50,1.51,1.61,1.50
1.52,1.51,1.55,1.48
1.52,1.45,1.54,1.45
1.46,1.44,1.59,1.41
1.44,1.40,1.52,1.40
1.40,1.40,1.43,1.36
1.40,1.46,1.49,1.40
1.42,1.43,1.44,1.40
1.43,1.36,1.44,1.34
1.43,1.38,1.48,1.35
1.36,1.33,1.40,1.30
1.30,1.30,1.37,1.26
1.30,1.34,1.39,1.30
1.39,1.30,1.39,1.30
1.17,1.13,1.17,1.11
1.17,1.09,1.17,1.03
1.07,1.05,1.09,1.02
1.03,0.98,1.05,0.98
0.99,1.05,1.05,0.95
1.10,1.14,1.15,1.07
1.17,1.18,1.25,1.07
1.16,1.16,1.22,1.16
1.15,1.19,1.20,1.15
1.17,1.16,1.19,1.13
1.15,1.14,1.19,1.13
1.17,1.10,1.19,1.10
1.10,1.09,1.12,1.06
1.09,1.13,1.13,1.06
1.10,1.13,1.15,1.08
1.11,1.07,1.13,1.07
1.11,1.05,1.12,1.05
1.01,1.05,1.06,1.00
1.05,1.00,1.07,1.00
1.00,0.99,1.05,0.99
0.99,1.00,1.02,0.97
1.00,1.01,1.01,0.96
1.01,1.06,1.09,1.01
1.08,1.06,1.08,1.05
1.04,1.02,1.08,1.02
1.04,1.06,1.08,1.04
1.05,1.05,1.08,1.03
1.09,1.05,1.10,1.03
1.06,1.05,1.06,1.03
1.04,1.00,1.04,1.00
1.00,0.96,1.01,0.95
0.95,0.89,1.00,0.83
0.92,1.15,1.15,0.90
1.16,1.38,1.40,1.13
1.37,1.28,1.37,1.21
1.32,1.26,1.37,1.16
1.29,1.16,1.29,1.14
1.18,1.24,1.24,1.17
1.20,1.28,1.31,1.20
1.28,1.35,1.45,1.28
1.32,1.40,1.40,1.25
1.39,1.26,1.44,1.26
1.31,1.36,1.45,1.31
1.36,1.31,1.41,1.28
1.35,1.40,1.41,1.31
1.39,1.37,1.40,1.36
1.40,1.37,1.40,1.35
1.37,1.34,1.41,1.32
1.33,1.30,1.38,1.28
1.34,1.25,1.34,1.25
1.25,1.29,1.33,1.25
1.29,1.26,1.29,1.22
1.23,1.28,1.30,1.23
1.31,1.30,1.31,1.27
1.31,1.21,1.31,1.20
1.21,1.23,1.26,1.17
1.26,1.18,1.26,1.18
1.18,1.22,1.25,1.18
1.22,1.21,1.23,1.20
1.19,1.14,1.23,1.11
1.17,0.98,1.17,0.91
1.00,1.09,1.11,1.00
1.11,1.11,1.11,1.09
1.12,1.20,1.20,1.10
1.20,1.26,1.27,1.18
1.29,1.32,1.34,1.20
1.35,1.33,1.35,1.30
1.35,1.33,1.35,1.25
1.29,1.31,1.35,1.24
1.31,1.25,1.34,1.25
1.25,1.21,1.25,1.21
1.20,1.12,1.21,1.12
1.12,1.15,1.17,1.05
1.14,1.17,1.20,1.14
1.15,1.18,1.19,1.15
1.19,1.17,1.20,1.15
1.20,1.19,1.21,1.15
1.20,1.15,1.20,1.14
1.18,1.13,1.19,1.05
1.15,1.20,1.20,1.14
1.20,1.18,1.20,1.14
1.14,1.01,1.14,0.98
1.01,0.99,1.04,0.99
1.00,0.98,1.00,0.96
1.00,0.99,1.00,0.99
0.99,1.01,1.04,0.99
1.04,1.03,1.04,1.02
1.04,0.99,1.05,0.99
0.98,1.02,1.05,0.98
1.00,0.96,1.00,0.94
0.97,0.98,0.99,0.96
0.96,0.98,0.99,0.95
0.99,0.96,0.99,0.94
0.94,0.91,0.95,0.91
0.91,0.91,0.94,0.91
0.92,0.91,0.93,0.90
0.90,0.84,0.90,0.80
0.86,0.82,0.86,0.78
0.79,0.75,0.80,0.74
0.78,0.74,0.78,0.71
0.75,0.72,0.79,0.71
0.73,0.70,0.73,0.70
0.67,0.69,0.73,0.64
0.68,0.68,0.70,0.66
0.69,0.74,0.78,0.68
0.78,0.73,0.78,0.73
0.73,0.76,0.76,0.72
0.77,0.73,0.77,0.70
0.77,0.75,0.77,0.70
0.71,0.74,0.74,0.71
0.72,0.71,0.72,0.67
0.69,0.74,0.74,0.68
0.74,0.74,0.74,0.71
0.74,0.74,0.74,0.71
0.75,0.69,0.76,0.66
0.70,0.65,0.70,0.65
0.68,0.74,0.74,0.66
0.74,0.70,0.74,0.69
0.66,0.72,0.73,0.64
0.72,0.71,0.73,0.67
0.71,0.71,0.71,0.66
0.71,0.65,0.71,0.60
0.64,0.71,0.74,0.60
0.68,0.74,0.74,0.67
0.70,0.70,0.76,0.68
0.75,0.73,0.77,0.70
0.70,0.70,0.75,0.67
0.70,0.71,0.73,0.67
0.63,0.69,0.70,0.63
0.74,0.74,0.74,0.69
0.69,0.74,0.74,0.67
0.71,0.75,0.75,0.70
0.75,0.73,0.77,0.72
0.71,0.70,0.75,0.70
0.68,0.76,0.76,0.68
0.80,0.73,0.85,0.72
0.75,0.70,0.76,0.70
0.70,0.72,0.79,0.70
0.73,0.77,0.77,0.71
0.73,0.75,0.81,0.73
0.73,0.79,0.79,0.73
0.79,0.79,0.82,0.75
0.79,0.76,0.80,0.75
0.73,0.74,0.78,0.73
0.73,0.72,0.76,0.71
0.72,0.70,0.78,0.67
0.64,0.68,0.69,0.63
0.66,0.68,0.70,0.66
0.66,0.64,0.74,0.61
0.65,0.69,0.70,0.65
0.74,0.74,0.74,0.66
0.74,0.76,0.78,0.74
0.77,0.77,0.78,0.72
0.86,0.80,0.86,0.80
0.84,0.80,0.86,0.80
0.83,0.80,0.84,0.76
0.83,0.83,0.83,0.82
0.90,0.87,0.90,0.84
0.90,0.90,0.92,0.87
0.94,0.91,0.94,0.91
0.94,0.96,0.96,0.93
0.96,0.93,0.96,0.92
0.95,1.00,1.00,0.94
0.97,0.96,0.99,0.95
0.96,0.97,0.98,0.96
0.97,0.92,0.98,0.91
0.91,0.91,0.94,0.89
0.90,0.93,0.94,0.85
0.93,0.93,0.93,0.88
0.95,0.90,0.95,0.87
0.91,0.89,0.94,0.88
0.88,0.89,0.91,0.88
0.89,0.93,0.94,0.89
0.90,0.90,0.94,0.87
0.89,0.89,0.93,0.89
0.92,0.94,0.94,0.90
0.95,0.95,0.99,0.91
0.95,0.92,0.97,0.91
0.91,0.92,0.94,0.91
0.93,0.91,0.95,0.90
0.94,0.91,0.95,0.90
0.95,0.97,0.98,0.93
0.98,0.94,0.98,0.93
0.93,0.93,1.00,0.92
0.93,0.92,0.95,0.92
0.93,0.91,0.97,0.90
0.93,0.92,0.95,0.90
0.95,0.89,0.95,0.89
0.90,0.90,0.93,0.89
0.90,0.89,0.95,0.89
0.89,0.91,0.91,0.89
0.95,0.92,0.95,0.90
0.94,0.94,0.94,0.89
0.90,0.90,0.94,0.90
0.91,0.90,0.91,0.89
0.89,0.90,0.90,0.87
0.87,0.87,0.87,0.86
0.86,0.89,0.92,0.86
0.88,0.85,0.90,0.80
0.90,0.88,0.90,0.85
0.88,0.87,0.88,0.84
0.86,0.85,0.88,0.85
0.85,0.87,0.89,0.85
0.87,0.83,0.87,0.83
0.88,0.87,0.89,0.85
0.88,0.84,0.88,0.83
0.85,0.87,0.87,0.83
0.85,0.84,0.87,0.83
0.83,0.82,0.84,0.82
0.80,0.79,0.82,0.78
0.75,0.80,0.80,0.75
0.76,0.80,0.80,0.76
0.82,0.83,0.85,0.76
0.82,0.83,0.85,0.80
0.85,0.85,0.86,0.80
0.85,0.83,0.85,0.81
0.85,0.80,0.85,0.76
0.80,0.80,0.83,0.75
0.76,0.77,0.80,0.76
0.75,0.79,0.80,0.75
0.76,0.76,0.83,0.76
0.79,0.71,0.79,0.71
0.71,0.68,0.73,0.66
0.69,0.68,0.72,0.67
0.69,0.65,0.75,0.62
0.64,0.68,0.70,0.64
0.68,0.71,0.72,0.65
0.67,0.68,0.71,0.64
0.68,0.71,0.71,0.64
0.72,0.70,0.72,0.70
0.72,0.67,0.72,0.66
0.69,0.70,0.70,0.67
0.70,0.67,0.70,0.66
0.67,0.70,0.70,0.67
0.70,0.66,0.70,0.66
0.67,0.69,0.69,0.66
0.68,0.62,0.68,0.62
0.64,0.59,0.65,0.59
0.60,0.64,0.65,0.59
0.64,0.65,0.65,0.60
0.64,0.64,0.64,0.59
0.59,0.67,0.70,0.59
0.68,0.69,0.70,0.67
0.68,0.65,0.68,0.62
0.64,0.64,0.67,0.64
0.64,0.65,0.66,0.63
0.65,0.66,0.67,0.63
0.66,0.64,0.66,0.62
0.62,0.61,0.64,0.60
0.65,0.64,0.66,0.61
0.60,0.63,0.66,0.60
0.60,0.61,0.66,0.60
0.65,0.52,0.69,0.50
0.56,0.61,0.65,0.55
0.65,0.61,0.65,0.61
0.65,0.64,0.65,0.61
0.64,0.64,0.65,0.55
0.59,0.64,0.65,0.58
0.66,0.67,0.67,0.66
0.68,0.68,0.68,0.63
0.68,0.68,0.70,0.68
0.71,0.77,0.79,0.71
0.80,0.82,0.84,0.75
0.85,0.78,0.85,0.75
0.74,0.77,0.77,0.73
0.78,0.76,0.78,0.74
0.77,0.73,0.77,0.73
0.75,0.74,0.76,0.73
0.75,0.75,0.75,0.73
0.74,0.75,0.76,0.73
0.76,0.77,0.78,0.75
0.79,0.77,0.79,0.73
0.77,0.75,0.78,0.75
0.76,0.75,0.76,0.74
0.75,0.72,0.77,0.72
0.73,0.71,0.74,0.69
0.75,0.74,0.75,0.69
0.74,0.74,0.74,0.71
0.71,0.72,0.73,0.68
0.70,0.73,0.73,0.70
0.75,0.75,0.76,0.71
0.74,0.75,0.75,0.74
0.70,0.69,0.75,0.69
0.73,0.68,0.74,0.66
0.71,0.67,0.72,0.66
0.65,0.68,0.71,0.65
0.72,0.68,0.72,0.67
0.65,0.67,0.70,0.65
0.66,0.66,0.71,0.66
0.67,0.62,0.70,0.60
0.59,0.63,0.64,0.58
0.64,0.59,0.64,0.59
0.59,0.62,0.62,0.58
0.58,0.61,0.61,0.58
0.61,0.59,0.61,0.57
0.61,0.60,0.61,0.55
0.61,0.60,0.61,0.56
0.61,0.61,0.63,0.57
0.58,0.54,0.62,0.52
0.41,0.43,0.44,0.41
0.43,0.46,0.46,0.42
0.45,0.45,0.46,0.43
0.47,0.45,0.47,0.44
0.44,0.44,0.46,0.43
0.44,0.42,0.45,0.42
0.42,0.44,0.44,0.42
0.43,0.41,0.43,0.41
0.42,0.42,0.42,0.41
0.42,0.41,0.43,0.41
0.42,0.42,0.42,0.40
0.43,0.41,0.43,0.41
0.41,0.41,0.42,0.38
0.43,0.42,0.43,0.40
0.43,0.40,0.43,0.40
0.42,0.44,0.45,0.42
3.14,3.37,3.46,3.14
3.46,3.51,3.59,3.35
3.57,3.64,3.70,3.54
3.70,3.72,3.74,3.59
3.72,3.92,3.93,3.72
3.99,3.90,4.10,3.80
3.90,3.81,3.95,3.76
3.88,3.79,3.89,3.73
3.83,3.90,3.93,3.80
3.96,4.00,4.09,3.90
4.05,4.06,4.20,3.90
4.01,4.13,4.22,4.01
4.20,4.20,4.31,4.14
4.20,4.51,4.53,4.15
4.63,4.95,4.99,4.63
4.99,4.75,5.15,4.60
4.75,4.84,5.00,4.71
4.88,4.87,4.98,4.76
4.94,4.98,5.10,4.84
5.08,5.53,5.53,5.04
5.31,5.43,5.75,5.31
5.41,5.26,5.41,5.09
5.26,5.60,5.69,5.26
5.40,6.00,6.43,5.40
6.29,5.97,6.37,5.91
6.10,5.85,6.10,5.70
5.96,5.00,5.96,4.83
4.90,4.20,4.90,4.10
4.28,4.26,4.53,4.23
4.34,4.32,4.42,4.15
4.26,4.23,4.33,4.20
4.31,4.21,4.32,4.11
4.17,3.85,4.17,3.72
3.81,3.90,3.90,3.50
3.85,4.22,4.42,3.85
4.20,3.95,4.20,3.90
4.01,3.92,4.01,3.75
3.90,3.94,4.16,3.80
3.83,4.16,4.28,3.79
4.06,4.34,4.35,4.06
4.44,4.13,4.70,4.08
4.16,3.55,4.16,3.48
3.62,3.69,3.78,3.35
3.66,3.68,3.80,3.56
3.72,3.65,3.72,3.38
3.61,3.59,3.62,3.41
3.58,3.53,3.58,3.38
3.33,3.34,3.61,3.11
3.34,3.47,3.52,3.28
3.51,3.47,3.58,3.30
3.41,3.50,3.50,3.29
3.50,3.50,3.53,3.32
3.54,3.64,3.69,3.33
3.25,3.22,3.30,3.10
3.21,3.02,3.25,2.95
2.99,3.01,3.01,2.75
2.97,3.00,3.00,2.88
