CACC,Credit Acceptance Corporation - Common Stock,NASDAQ
48.50,48.50,48.90,48.25
48.26,48.17,48.75,48.01
48.21,48.41,49.16,48.06
48.75,49.48,49.50,48.75
48.85,49.18,49.44,48.61
49.00,48.77,49.31,48.30
48.95,48.23,48.95,47.38
48.65,48.40,48.83,48.05
48.54,47.47,48.75,47.18
47.54,48.50,48.50,47.54
48.99,48.64,49.49,47.40
48.86,49.14,49.16,48.51
49.00,49.78,49.98,48.30
49.96,50.36,50.48,49.00
50.36,50.13,50.39,49.67
50.03,50.02,50.22,49.95
48.57,49.16,49.49,48.04
49.11,50.00,50.19,48.00
49.42,50.06,50.14,49.04
50.13,48.87,50.13,48.86
49.50,50.10,50.10,49.41
50.08,52.50,52.89,50.08
53.08,53.44,54.45,52.50
53.90,53.97,54.10,53.15
53.60,53.12,53.84,52.88
52.75,52.65,52.79,51.77
51.83,55.98,56.00,51.80
56.41,55.99,56.67,55.39
55.94,55.03,56.42,55.03
55.42,58.57,58.72,55.26
57.00,56.05,57.13,55.78
55.50,58.00,58.00,55.10
58.11,59.75,59.75,58.11
59.39,58.36,59.39,57.73
57.60,58.14,58.21,57.08
57.43,58.09,58.33,57.00
57.67,57.89,58.92,57.18
57.96,59.31,59.35,57.36
59.75,60.91,61.08,59.36
61.21,61.23,61.41,60.00
61.35,59.42,61.35,58.73
59.05,59.12,59.37,56.69
59.55,59.13,60.34,58.98
58.20,58.33,59.30,56.86
58.19,59.39,59.53,58.19
59.74,59.03,59.92,58.52
59.64,59.67,60.05,58.50
59.65,56.73,59.67,56.73
56.56,56.65,57.58,56.06
57.11,59.48,59.51,56.71
59.68,59.49,59.89,58.92
59.50,59.49,59.50,59.04
59.50,58.79,59.90,58.75
58.97,59.60,59.78,58.97
59.90,59.52,60.00,59.12
59.90,59.81,59.90,59.19
59.91,59.73,59.97,59.23
59.42,60.49,60.91,59.42
60.45,63.39,63.45,60.45
62.01,61.14,63.32,60.86
62.02,61.47,62.14,61.37
61.47,62.24,62.91,61.35
62.03,60.19,62.03,59.81
60.19,60.89,61.65,59.91
60.74,60.36,62.15,60.10
60.66,61.98,62.00,59.84
62.00,60.43,62.39,60.06
60.42,61.47,61.86,60.42
61.40,61.55,61.87,60.32
61.55,60.56,61.87,59.96
60.57,57.58,61.20,57.20
57.02,56.92,57.49,55.07
57.15,57.62,58.15,56.15
57.69,57.09,57.84,57.02
57.30,58.47,59.61,56.78
57.20,58.42,58.65,57.20
58.52,58.80,59.38,58.07
58.49,58.23,58.55,58.11
58.01,58.57,59.47,58.01
58.66,58.51,58.96,57.00
59.10,58.51,59.22,58.06
58.47,58.64,58.93,58.17
59.10,57.88,59.51,57.71
58.27,58.44,59.03,57.97
58.85,57.78,58.85,56.72
57.95,58.15,58.15,56.85
56.78,57.75,58.89,56.74
57.28,58.67,59.03,56.83
57.09,58.33,59.19,57.09
59.20,58.52,59.45,57.97
58.37,58.81,59.36,58.00
58.84,58.23,59.24,57.22
58.99,58.01,59.63,57.49
58.85,59.86,59.97,58.83
60.18,62.00,62.00,60.18
62.00,61.82,62.00,61.04
61.75,60.55,61.75,60.45
60.32,60.01,60.71,59.50
60.00,60.00,60.28,59.75
59.75,59.57,60.00,59.21
59.20,59.04,59.52,59.00
59.03,57.39,59.51,57.21
57.04,55.39,57.22,54.12
55.66,56.18,57.50,55.66
56.58,58.33,58.47,56.58
57.99,58.78,59.02,56.28
58.75,59.79,61.01,58.40
58.98,59.85,60.00,58.96
60.25,61.30,61.30,60.18
60.76,61.15,61.30,60.76
60.92,63.07,63.17,60.92
62.77,62.07,63.05,61.74
62.00,61.89,62.00,61.28
61.95,62.00,62.25,61.55
61.51,61.92,61.96,61.27
61.59,62.00,62.22,61.40
62.25,61.79,62.25,61.48
61.69,61.52,61.80,61.42
61.60,61.92,62.12,61.34
61.61,61.53,61.94,61.35
61.64,61.31,61.65,61.26
61.50,61.65,61.75,61.27
61.65,61.52,61.95,61.45
61.46,61.75,61.75,61.34
61.62,61.81,61.90,61.40
61.85,61.34,61.85,61.26
61.60,61.55,61.60,61.25
61.50,61.47,61.50,61.34
61.91,61.98,62.39,61.91
62.30,62.89,63.58,62.30
62.14,62.29,62.47,61.68
62.19,61.78,62.34,61.71
61.97,61.59,62.32,61.27
61.57,62.77,62.90,61.57
63.00,63.75,63.77,62.76
64.00,61.65,64.09,61.51
62.88,63.11,63.11,61.72
62.88,63.02,63.24,62.57
62.93,59.85,62.93,58.67
59.38,59.27,60.00,58.78
59.29,59.84,59.85,58.68
60.15,59.00,60.15,59.00
59.00,59.07,59.53,58.74
58.87,58.37,58.98,58.21
58.31,56.67,58.31,55.53
56.15,54.84,56.36,54.77
54.81,54.24,55.14,53.84
54.61,54.05,55.74,53.91
53.93,54.31,54.94,53.04
54.02,55.97,56.33,54.02
56.14,59.00,59.99,56.02
59.39,59.09,59.48,58.09
58.81,57.21,58.81,56.46
57.42,56.55,57.42,56.00
57.21,58.50,58.64,56.21
58.23,58.00,58.78,57.91
58.25,60.30,60.65,58.25
60.30,62.13,62.20,60.25
60.54,62.20,62.20,58.22
61.75,62.82,62.85,61.57
64.36,64.90,64.90,63.76
64.74,65.01,65.18,64.74
65.00,65.32,65.32,64.81
65.22,65.30,65.45,64.98
65.03,65.15,65.44,65.03
65.35,66.60,66.73,65.17
66.74,67.68,68.07,66.19
68.11,70.40,70.62,68.00
69.59,70.34,70.80,67.50
70.34,70.30,71.00,69.03
70.26,70.17,70.55,69.88
70.64,70.37,70.69,70.00
70.36,70.60,70.60,70.02
71.08,71.03,71.10,70.48
71.10,70.61,71.10,70.31
71.00,71.92,71.92,70.87
71.85,70.88,71.85,70.53
70.53,70.79,71.00,69.90
70.68,70.85,71.61,70.59
71.20,72.50,72.55,71.20
71.93,69.80,71.93,69.71
69.77,68.76,70.50,67.25
67.85,68.10,69.13,67.79
66.87,68.12,68.55,66.85
67.80,68.17,68.31,67.23
68.75,68.15,69.33,67.71
68.26,68.57,68.81,68.26
69.02,69.81,69.81,68.61
69.80,69.91,70.00,69.48
69.87,69.90,70.00,69.18
70.00,69.66,70.00,69.00
69.47,70.03,70.45,69.47
70.00,69.70,70.00,69.51
69.50,69.50,69.50,69.19
69.61,69.78,70.10,69.34
69.45,70.96,71.93,69.25
71.00,74.41,75.00,71.00
74.52,74.68,75.65,74.52
74.69,75.34,75.34,74.14
75.48,76.86,77.50,75.26
76.87,76.52,77.04,75.40
76.94,76.69,77.00,75.43
76.67,76.18,78.10,75.83
75.93,75.39,76.05,73.85
75.65,75.11,76.05,74.43
74.42,74.37,75.71,74.17
74.18,77.38,77.60,73.86
77.49,77.29,78.03,76.57
77.71,76.33,77.71,75.91
77.57,76.26,77.57,75.41
76.64,76.55,76.64,75.95
76.47,77.39,77.58,76.47
77.68,77.80,79.37,77.68
77.98,78.16,79.08,77.50
78.00,78.19,78.43,77.84
78.22,80.90,81.25,78.22
81.40,80.05,82.29,79.91
81.05,79.89,81.75,78.25
79.75,78.61,79.75,78.29
78.54,77.19,79.00,77.19
78.09,76.40,78.45,76.18
76.20,77.47,77.76,76.20
78.10,78.03,78.39,77.56
77.93,78.16,79.11,76.94
77.58,79.73,81.13,77.58
79.65,77.75,79.77,76.99
77.62,76.15,78.45,76.04
75.97,75.57,76.95,75.24
76.26,75.97,76.79,75.62
76.30,76.26,76.99,75.58
75.87,75.50,76.63,75.50
75.13,77.45,78.88,75.03
78.20,76.32,78.20,75.47
75.94,76.65,77.00,75.27
76.04,76.86,77.57,75.76
76.98,78.16,78.77,76.78
78.59,80.00,80.16,77.47
79.92,75.98,79.92,75.91
76.17,76.18,77.29,75.62
75.30,75.56,76.64,75.25
75.10,76.52,76.96,75.01
77.40,76.81,77.57,76.60
76.65,76.31,77.47,76.23
76.48,77.29,77.51,76.48
77.09,75.81,77.37,75.74
76.29,75.75,77.76,75.71
76.17,78.02,78.21,75.82
77.55,78.02,78.98,77.50
77.91,78.69,78.98,77.68
79.04,76.71,79.30,76.62
76.80,79.35,79.67,76.66
79.50,80.51,80.64,78.85
80.21,80.21,80.69,79.82
79.48,80.07,80.30,78.72
80.30,77.98,80.30,77.07
78.25,79.53,79.77,77.34
80.00,80.71,80.71,79.60
80.71,80.96,81.00,78.26
81.00,84.47,84.50,80.88
84.66,86.06,86.87,83.97
85.98,85.25,85.98,84.31
85.45,85.23,85.46,84.47
85.49,85.28,86.06,84.56
84.48,84.93,85.25,84.31
84.36,83.01,84.77,82.49
83.14,82.63,84.31,82.17
82.71,83.53,83.99,82.68
83.81,82.88,84.13,82.52
83.38,82.97,83.94,82.16
82.77,81.73,82.77,81.57
82.29,82.00,82.29,81.72
82.34,82.60,83.02,82.34
83.24,84.04,84.62,81.63
84.20,82.91,84.50,82.91
82.28,82.51,84.14,82.25
82.98,80.82,83.11,80.12
80.76,78.12,80.76,77.52
78.49,79.62,80.35,78.49
79.13,79.31,80.04,78.38
80.32,80.52,80.92,78.27
80.50,75.04,77.37,71.50
75.00,75.67,77.37,71.50
75.00,75.00,76.15,74.25
75.21,74.00,75.72,72.66
72.66,71.51,74.95,70.75
73.09,73.58,73.77,69.44
72.71,68.68,73.33,68.00
69.17,71.51,72.00,69.17
72.13,71.77,72.86,71.07
72.00,72.35,72.97,71.15
71.85,71.34,72.04,70.29
71.34,72.52,72.96,71.34
71.03,67.61,71.03,65.69
66.72,66.69,68.99,65.69
68.02,65.52,68.02,64.15
65.87,66.05,66.48,64.72
65.85,67.31,67.58,65.01
67.85,65.19,68.15,65.06
65.16,65.87,66.02,65.01
66.80,67.97,68.39,66.48
67.87,68.25,68.58,66.87
68.36,69.14,69.49,67.52
69.30,68.48,70.73,67.37
67.15,65.22,67.35,64.73
63.73,65.56,65.79,63.73
66.44,66.58,67.48,65.93
66.00,65.16,67.17,64.81
65.16,64.56,65.18,63.92
64.00,65.07,65.68,64.00
65.33,65.53,66.02,64.28
66.12,66.94,67.56,64.74
67.74,65.51,67.74,65.10
66.02,64.70,66.02,64.52
63.67,63.41,64.47,62.30
63.75,61.63,64.57,61.52
61.88,60.03,62.19,60.00
59.34,57.63,59.91,56.55
57.68,63.49,63.63,57.68
63.49,64.39,64.55,61.72
64.98,64.77,66.32,64.04
65.14,62.47,66.58,62.44
63.59,64.43,64.74,62.76
63.75,64.36,65.38,63.26
63.69,60.75,65.10,60.75
60.60,65.10,65.70,60.09
64.59,66.53,67.16,63.11
66.68,67.60,67.69,65.72
67.87,66.75,67.88,65.30
68.30,68.58,68.64,66.89
68.46,69.30,70.24,67.52
70.13,67.40,70.13,66.98
68.80,65.56,68.80,64.44
66.02,65.00,66.27,64.27
64.80,62.47,65.31,62.28
62.97,64.39,64.79,62.96
63.98,62.24,64.72,62.24
62.36,62.74,63.43,61.43
63.83,64.62,65.05,63.02
64.95,67.59,68.13,64.95
66.89,64.99,67.20,64.74
66.06,66.92,67.17,64.77
68.89,72.96,73.52,67.46
72.39,72.09,72.69,71.58
71.56,68.92,71.56,68.91
66.57,67.78,68.84,65.91
69.80,72.76,73.48,68.29
73.75,76.93,77.50,71.79
76.49,75.84,76.53,75.12
75.93,76.62,76.73,74.46
77.06,78.82,79.17,76.82
77.20,76.01,78.24,75.55
77.26,77.67,78.00,77.00
78.22,79.16,79.23,77.29
78.75,80.75,81.64,78.45
80.73,82.56,82.87,78.05
81.56,79.27,81.56,78.77
79.23,77.28,80.15,76.78
77.29,79.16,79.72,77.01
77.64,76.81,78.82,76.81
76.30,76.05,77.91,76.02
75.79,73.99,75.79,73.77
73.59,73.79,74.42,73.46
75.86,75.95,77.66,69.52
76.01,76.65,76.92,74.56
78.99,82.01,82.01,76.16
81.40,82.16,82.94,79.53
83.09,84.56,86.54,82.87
86.23,86.12,86.96,85.23
86.67,87.00,87.41,85.36
86.37,87.75,87.83,85.14
86.78,85.57,87.85,85.14
85.88,91.18,92.78,84.74
89.56,92.14,92.89,88.72
93.10,91.03,93.10,89.93
90.58,84.56,90.58,84.55
85.98,85.13,86.38,84.45
85.96,85.85,86.50,84.05
86.10,83.31,86.43,83.04
84.89,85.07,85.56,83.00
84.96,83.90,84.96,83.46
84.44,84.10,85.10,83.91
84.62,83.36,85.99,83.36
83.62,84.02,84.94,83.52
84.87,82.02,84.87,81.35
81.97,82.44,83.01,81.22
82.17,82.28,83.03,82.04
84.11,81.46,84.11,81.13
80.91,78.47,80.91,78.23
78.47,78.94,79.25,76.95
79.00,78.50,79.48,77.54
78.97,78.91,79.62,77.99
80.08,81.02,81.62,80.08
80.62,80.21,81.82,79.35
79.91,80.77,81.29,78.51
79.71,80.40,81.08,79.71
80.82,80.31,80.83,80.00
80.53,81.60,81.77,80.05
81.67,82.50,83.70,81.67
82.24,83.19,83.68,82.24
82.97,82.11,82.97,81.38
81.06,81.62,81.74,80.56
81.90,81.79,82.50,81.12
81.85,81.82,82.58,81.42
81.89,83.12,83.28,81.63
82.98,82.94,83.30,81.46
83.60,84.42,85.05,81.66
84.47,87.31,87.91,83.95
86.13,85.28,86.65,83.20
89.94,92.58,95.80,86.04
92.49,91.42,92.49,89.34
91.86,93.05,93.49,90.60
92.97,94.26,94.32,91.89
94.38,94.37,94.80,92.93
93.26,92.67,94.07,92.49
93.90,94.89,95.00,92.73
94.55,94.49,95.50,93.25
94.91,92.99,95.32,92.76
92.75,96.40,96.55,92.75
96.43,95.30,96.99,94.90
94.99,95.80,95.94,94.14
95.14,97.45,98.65,94.20
97.85,98.62,100.75,96.21
98.98,98.69,99.98,98.62
98.53,98.65,99.11,96.01
98.02,97.17,99.16,96.05
96.58,96.26,97.74,96.16
96.96,95.37,97.06,95.34
95.47,91.81,95.74,91.09
91.26,95.09,95.47,90.02
94.00,92.41,94.84,92.04
93.44,93.57,93.91,92.25
94.30,95.45,95.80,92.53
95.76,98.16,99.12,94.99
98.25,97.95,99.09,96.85
98.95,99.87,100.00,97.51
99.34,97.72,99.87,97.52
97.99,99.71,99.71,96.29
99.96,99.50,100.95,98.75
99.83,101.50,102.84,99.20
101.31,101.52,103.42,99.57
102.36,102.73,102.94,100.98
101.97,102.22,104.49,101.53
102.74,104.68,104.90,101.22
105.25,106.50,107.09,102.97
106.21,102.51,106.70,102.28
102.47,101.78,103.06,100.79
100.46,100.63,101.66,100.10
101.90,101.01,101.97,99.57
100.40,100.54,101.81,99.92
100.12,98.78,100.78,98.53
98.00,97.76,98.66,97.10
97.18,99.07,99.70,97.06
97.05,95.64,98.76,95.00
95.64,93.91,96.34,91.91
94.75,95.47,95.91,93.56
95.30,94.22,96.15,93.90
94.01,92.01,94.04,91.73
92.54,95.11,96.87,92.54
95.43,94.29,96.22,93.50
94.31,93.72,94.86,93.14
92.54,91.98,94.32,91.92
93.71,93.98,94.13,92.25
92.42,92.23,93.02,90.95
92.07,93.83,94.27,91.98
94.94,94.71,95.39,93.89
95.19,95.62,96.16,94.08
95.60,95.95,95.95,94.40
95.33,94.03,95.88,93.86
94.21,94.75,95.95,93.55
93.66,93.52,93.66,90.91
92.76,87.86,92.76,86.40
88.54,84.77,89.08,84.22
85.07,86.79,87.20,84.41
85.79,88.36,88.59,85.79
87.89,87.70,88.28,87.70
88.49,85.61,88.49,84.96
84.73,87.99,89.94,84.73
86.83,84.86,87.53,84.76
84.03,86.14,88.44,84.03
87.09,86.76,88.15,86.73
85.93,84.68,87.48,84.68
84.81,86.09,87.06,84.81
86.13,86.72,87.67,86.13
86.91,86.30,87.40,86.05
86.02,88.05,88.15,85.41
88.36,89.06,90.21,87.18
89.20,87.78,89.23,87.60
88.15,86.34,88.18,86.00
85.55,84.45,88.00,84.28
84.76,84.74,86.19,83.19
83.18,81.05,84.47,80.54
81.21,80.12,81.79,80.00
80.12,81.92,82.00,80.01
83.00,84.62,85.47,82.50
85.60,85.02,85.87,83.84
84.21,84.85,85.11,84.03
85.25,83.69,85.30,83.43
84.44,85.82,86.00,83.88
85.44,85.70,87.37,84.89
86.00,86.04,86.68,85.18
85.68,86.16,86.47,85.01
85.50,84.70,86.28,84.44
85.44,86.00,86.50,85.03
86.18,84.89,86.18,84.39
84.97,83.61,84.97,82.65
83.79,84.02,84.90,83.61
83.11,83.44,84.37,83.11
83.54,83.32,84.28,83.20
83.20,82.91,83.71,82.13
82.30,82.99,83.46,81.68
84.68,84.43,84.87,83.06
83.82,92.69,92.69,83.82
92.23,93.41,95.96,91.97
92.73,94.00,95.30,92.41
92.53,91.95,93.12,90.15
91.61,93.10,93.76,91.61
93.40,92.33,93.67,91.17
92.22,92.05,92.50,90.82
91.12,92.16,92.98,90.67
92.29,94.99,95.00,90.22
94.99,94.20,95.00,94.01
94.90,97.48,97.96,94.62
97.07,98.46,99.27,97.07
98.43,98.27,98.56,97.62
97.44,97.37,98.46,97.28
96.05,94.96,96.09,94.28
95.43,94.69,96.16,93.84
95.46,94.39,96.60,94.10
95.57,94.56,97.44,94.00
95.00,96.86,97.31,94.56
96.52,97.15,98.24,96.01
97.22,95.86,97.72,95.33
96.04,96.93,99.43,95.98
95.33,97.60,98.60,94.38
100.03,100.98,101.65,97.97
100.27,101.40,104.34,99.61
101.49,101.25,101.84,100.30
100.02,102.24,104.97,100.02
102.50,100.69,102.78,100.02
100.89,102.33,102.59,98.14
101.86,100.70,102.48,97.98
101.05,99.72,102.33,99.02
99.68,99.56,100.96,98.99
100.34,100.78,101.74,98.21
100.33,100.29,101.21,99.75
100.32,99.48,100.63,98.30
98.60,97.35,99.50,96.84
97.07,97.24,97.70,95.96
97.27,96.29,97.27,94.78
95.66,96.70,96.85,95.21
97.41,97.57,97.69,96.40
97.17,98.06,98.58,96.59
97.06,99.00,99.34,96.85
98.12,98.05,99.00,97.53
98.75,98.46,99.58,97.65
98.45,101.33,102.67,98.25
101.01,99.48,101.75,98.97
92.50,91.09,92.50,89.94
91.25,90.00,92.17,88.95
90.00,91.10,91.88,90.00
90.65,90.61,91.48,90.07
91.17,90.56,91.37,90.06
91.13,90.61,91.39,90.12
91.12,90.45,91.12,89.05
90.44,90.26,90.78,90.08
90.67,90.05,90.67,89.79
90.10,89.47,90.10,88.02
88.77,89.29,89.42,88.69
89.98,89.99,89.99,89.10
89.90,89.08,89.97,88.95
89.43,87.57,90.22,87.42
88.11,86.72,88.11,86.38
87.48,87.00,87.96,86.35
86.42,85.51,87.24,84.90
85.38,85.93,87.13,85.38
86.73,85.33,86.73,82.40
85.35,85.58,86.67,84.45
85.94,86.32,86.52,85.50
86.41,85.51,87.02,85.07
85.61,85.24,85.95,84.60
85.50,84.77,85.79,84.01
84.65,84.20,85.02,84.00
84.84,84.10,84.84,83.10
84.40,86.69,87.40,84.40
87.15,87.78,87.94,86.61
88.00,87.12,88.00,86.61
87.32,87.05,87.77,86.34
87.56,85.62,87.72,85.62
85.05,84.42,86.38,83.54
84.45,84.50,85.12,83.82
84.19,83.95,84.35,83.12
84.58,82.47,84.58,81.69
83.12,83.03,83.48,82.10
82.68,82.69,83.32,81.81
82.50,81.65,82.88,80.40
82.12,83.28,83.78,81.22
83.79,81.58,83.79,80.47
81.58,82.30,82.80,80.62
82.75,86.30,86.35,82.35
85.95,82.72,86.50,82.02
82.37,85.05,85.84,82.37
84.94,85.04,86.10,84.53
85.11,85.11,86.52,85.11
84.98,85.48,86.61,84.89
85.44,84.14,86.19,83.97
84.40,84.40,85.70,83.01
84.05,86.00,86.30,83.30
86.21,85.52,86.54,84.52
85.12,85.45,86.43,84.98
85.92,85.80,86.90,84.99
86.12,89.08,89.29,86.12
88.64,89.81,91.15,88.40
90.01,89.45,90.63,89.38
89.38,91.09,91.59,88.98
91.95,92.96,93.20,91.21
93.34,92.26,93.34,91.15
91.37,89.78,91.89,88.62
90.15,91.54,91.87,88.66
91.93,91.76,92.35,90.65
90.91,91.01,92.09,90.38
91.42,91.25,91.48,90.89
90.55,92.36,92.94,90.01
91.56,92.80,93.03,91.56
93.00,93.11,93.99,92.32
92.53,93.25,94.00,92.10
93.33,94.67,95.09,93.14
94.75,95.31,96.00,94.63
95.43,94.58,95.43,93.51
94.74,96.63,97.00,94.57
96.98,97.57,97.60,95.78
97.19,98.59,98.78,95.21
98.37,99.23,99.50,98.00
99.72,99.01,99.72,97.72
98.79,98.58,99.22,98.05
98.45,99.64,100.38,98.44
99.63,101.68,102.58,98.27
102.55,103.35,104.22,102.55
103.17,103.00,103.40,102.04
103.57,104.24,104.64,102.91
103.32,105.07,105.69,102.57
104.68,105.09,105.87,104.52
105.24,106.26,106.58,104.80
106.24,105.51,106.24,104.94
105.54,104.50,105.75,102.87
103.93,102.40,103.93,101.50
101.74,102.93,103.50,98.81
102.43,102.19,102.93,101.00
102.17,101.41,102.50,100.33
101.10,98.92,101.51,98.63
98.62,99.25,99.39,95.54
99.49,99.53,99.70,97.85
99.53,98.65,100.00,98.21
98.77,97.41,98.77,97.14
97.66,96.96,97.96,96.38
97.06,97.29,97.87,96.35
97.19,97.20,97.75,96.26
97.72,99.57,100.00,97.69
99.88,100.56,100.56,99.18
100.39,105.78,107.35,100.00
105.88,106.98,107.58,105.84
106.83,107.02,107.73,105.50
107.28,106.49,107.51,105.70
106.95,107.43,108.00,106.95
107.72,107.59,107.96,107.30
107.88,110.53,110.85,107.73
110.26,110.78,111.26,105.99
110.80,112.24,112.81,110.30
112.77,113.56,114.56,111.16
113.34,116.01,116.33,113.28
115.70,116.35,117.33,115.21
116.06,107.27,116.06,106.87
108.19,106.64,108.19,104.15
107.00,105.76,110.55,105.10
105.70,105.69,106.23,104.51
105.94,107.41,109.37,105.94
107.66,110.53,111.01,107.55
109.51,113.06,113.94,109.51
112.54,116.66,117.02,111.99
117.85,119.99,121.86,117.75
119.32,119.64,121.03,119.32
119.14,122.81,123.79,119.08
123.63,125.57,125.93,122.77
125.00,125.00,126.08,124.59
125.24,124.26,125.24,124.19
124.56,125.56,125.88,123.88
126.06,126.05,126.15,123.98
126.30,126.24,127.48,123.73
125.69,126.98,128.90,125.69
128.52,125.66,128.63,125.45
125.84,127.38,128.70,125.27
127.29,126.92,127.57,125.64
127.69,126.88,127.69,126.31
127.24,123.39,127.24,123.00
124.09,122.92,124.60,122.21
122.12,122.75,122.92,120.60
122.64,122.14,123.00,121.79
121.69,120.71,121.85,119.82
120.83,120.00,121.49,119.76
119.77,117.02,119.94,116.74
116.75,119.30,119.36,116.75
117.29,117.25,118.55,116.84
118.00,115.50,118.00,114.25
115.26,111.50,117.71,111.39
111.74,112.00,113.02,109.00
110.82,108.72,110.82,107.88
105.00,102.52,105.00,102.43
101.88,101.00,103.59,100.35
101.05,102.29,102.60,100.12
101.77,101.67,102.20,100.29
101.93,97.90,101.93,97.10
97.43,96.75,99.39,95.71
96.87,99.08,99.64,96.53
100.67,98.97,100.67,98.19
98.00,99.99,100.00,98.00
99.85,101.32,101.95,99.07
101.49,100.13,101.49,99.35
100.63,100.12,101.27,100.11
99.88,100.33,101.17,99.88
101.10,97.90,101.10,97.58
98.71,98.89,99.07,97.83
99.53,99.18,100.71,98.86
99.38,102.26,102.40,99.38
102.30,103.67,104.00,101.95
103.67,103.99,104.35,102.45
104.39,104.61,105.10,103.78
105.00,105.73,105.78,104.60
105.35,104.56,105.89,104.44
104.45,106.04,106.19,104.45
105.57,107.87,108.15,105.49
107.93,106.15,107.99,105.22
106.28,108.75,108.83,105.92
108.97,108.69,109.06,108.45
108.37,108.16,109.20,108.06
108.16,105.38,108.59,104.75
104.60,108.21,108.31,103.17
108.85,111.01,114.26,108.78
112.81,113.96,114.92,112.81
113.77,111.99,114.39,111.40
112.08,114.12,114.95,112.08
113.83,113.86,114.99,111.78
114.01,115.06,115.13,113.28
114.53,115.10,115.92,114.12
114.52,111.74,114.52,109.78
111.95,113.72,113.73,109.76
114.55,113.14,114.55,110.88
112.90,112.65,113.74,112.18
111.67,111.47,113.17,110.08
111.41,110.33,112.05,109.66
110.02,113.53,114.07,109.72
113.68,111.36,113.93,111.17
111.95,109.50,112.00,109.01
109.18,109.96,111.20,108.89
110.00,110.14,111.49,108.97
