TRT,Trio-Tech International Common Stock,NASDAQ
5.20,5.53,5.80,5.20
5.48,5.49,5.75,5.30
5.26,5.53,5.58,5.20
5.57,5.80,6.88,5.57
5.81,5.97,6.20,5.81
5.97,5.95,6.14,5.94
5.85,6.00,6.00,5.85
5.90,6.04,6.27,5.85
6.24,6.06,6.44,6.06
6.23,6.26,6.35,6.08
6.25,6.27,6.30,6.20
6.24,6.17,6.30,6.11
6.02,6.06,6.19,5.97
6.18,6.19,6.19,6.09
6.40,6.08,6.40,5.91
5.92,5.95,5.95,5.80
6.06,6.06,6.48,6.03
6.09,5.95,6.09,5.90
5.86,5.87,5.95,5.64
5.86,5.89,6.10,5.85
5.99,5.70,5.99,5.70
5.55,5.33,5.55,5.25
5.26,4.70,5.26,4.62
4.72,4.51,4.88,4.50
4.55,4.70,4.70,4.32
4.73,4.76,4.90,4.60
4.85,4.81,4.95,4.79
4.95,5.20,5.20,4.90
5.01,5.20,5.26,5.01
5.10,5.10,5.10,5.10
5.00,5.24,5.74,4.98
5.15,4.99,5.15,4.93
4.79,4.85,4.99,4.70
4.84,4.69,5.00,4.69
4.83,4.87,4.95,4.75
4.91,4.81,4.91,4.71
4.90,4.84,4.90,4.65
4.90,4.72,4.93,4.72
4.78,4.65,4.78,4.65
4.63,4.60,4.63,4.57
4.62,4.37,4.62,4.36
4.35,4.46,4.54,4.35
4.55,4.41,4.55,4.40
4.32,4.34,4.40,4.31
4.35,4.34,4.41,4.34
4.36,4.28,4.44,4.25
4.20,4.25,4.26,4.20
4.20,4.20,4.20,4.20
4.25,4.32,4.46,4.20
4.30,4.33,4.39,4.30
4.29,4.35,4.37,4.29
4.28,4.29,4.29,4.25
4.28,4.44,4.44,4.26
4.25,4.50,4.50,4.15
4.45,4.18,4.50,4.10
4.37,4.31,4.49,4.20
4.30,4.19,4.30,4.01
4.19,4.19,4.20,4.19
4.21,4.20,4.22,4.19
4.20,4.24,4.26,4.20
4.21,4.21,4.22,4.21
4.21,4.20,4.25,4.10
4.16,4.17,4.20,4.16
4.10,4.28,4.33,4.10
4.15,4.23,4.23,4.15
4.11,4.20,4.20,4.01
4.15,4.16,4.16,4.15
4.19,4.20,4.29,3.90
4.17,4.31,4.34,4.17
4.35,4.92,5.03,4.35
4.86,4.80,4.86,4.60
4.79,4.74,4.93,4.62
4.85,4.80,5.05,4.80
4.80,4.65,4.80,4.63
4.74,5.00,5.03,4.68
5.10,5.01,5.10,5.01
5.21,5.08,5.21,5.08
5.08,5.10,5.13,5.00
4.89,4.86,4.91,4.64
4.86,5.10,5.10,4.86
5.18,5.15,5.18,5.15
5.15,5.09,5.15,5.08
5.09,5.00,5.09,4.99
5.00,5.00,5.00,5.00
5.08,5.07,5.08,5.07
5.07,5.07,5.07,5.07
5.09,5.09,5.10,5.08
5.09,5.06,5.20,5.06
5.05,5.06,5.06,4.74
4.92,5.00,5.05,4.92
5.04,5.04,5.04,5.04
5.04,5.04,5.04,5.04
4.79,4.99,5.00,4.79
4.54,4.89,4.89,4.40
4.80,4.77,4.86,4.70
4.35,4.70,4.70,4.35
4.70,4.80,5.00,4.64
4.80,4.84,4.96,4.59
4.89,4.85,4.99,4.70
4.87,4.86,4.99,4.69
4.95,4.75,4.95,4.66
4.82,4.80,4.82,4.75
4.80,4.96,4.96,4.80
4.90,4.93,5.20,4.75
4.88,4.92,5.19,4.88
5.09,4.90,5.09,4.85
5.07,4.71,5.07,4.61
4.75,4.71,4.75,4.59
4.71,4.70,4.72,4.69
4.60,4.61,4.62,4.58
4.66,4.60,4.66,4.58
4.51,4.51,4.52,4.50
4.51,4.69,4.69,4.51
4.69,4.69,4.69,4.69
4.56,4.54,4.56,4.54
4.56,4.56,4.58,4.56
4.48,4.54,4.54,4.48
4.54,4.55,4.65,4.53
4.56,4.55,4.56,4.55
4.55,4.55,4.55,4.55
4.41,4.55,4.55,4.40
4.55,4.55,4.55,4.55
4.55,4.55,4.55,4.55
4.51,4.48,4.51,4.48
4.60,4.60,4.60,4.59
4.59,4.71,4.71,4.58
4.74,4.69,4.74,4.69
4.69,4.69,4.69,4.69
4.51,4.50,4.51,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.74,4.52,4.74,4.49
4.52,4.52,4.52,4.52
4.54,4.52,4.55,4.45
4.52,4.52,4.52,4.52
4.52,4.52,4.52,4.52
4.50,4.50,4.50,4.50
4.48,4.49,4.49,4.48
4.51,4.48,4.51,4.48
4.50,4.45,4.50,4.45
4.45,4.45,4.45,4.45
4.32,4.48,4.50,4.32
4.41,4.40,4.43,4.22
4.30,4.30,4.30,4.30
4.42,4.57,4.57,4.41
4.36,4.53,4.56,4.36
4.53,4.53,4.53,4.53
4.53,4.53,4.53,4.53
4.53,4.53,4.53,4.53
4.64,4.59,4.64,4.59
4.59,4.59,4.59,4.59
4.59,4.59,4.59,4.59
4.33,4.54,4.54,4.33
4.37,4.15,4.37,3.88
4.15,4.20,4.21,4.15
4.23,3.61,4.26,3.61
3.58,3.70,3.71,3.55
3.61,3.70,3.70,3.50
3.73,3.79,3.79,3.73
3.77,3.72,3.77,3.72
3.63,3.65,3.65,3.63
3.61,3.63,3.63,3.60
3.57,3.50,3.59,3.40
3.52,3.53,3.56,3.51
3.56,3.51,3.56,3.50
3.63,3.52,3.63,3.52
3.54,3.54,3.54,3.53
3.52,3.50,3.52,3.50
3.59,3.63,3.70,3.55
3.63,3.63,3.63,3.63
3.63,3.63,3.63,3.63
3.51,3.50,3.54,3.50
3.40,3.47,3.63,3.35
3.51,3.49,3.63,3.43
3.40,3.34,3.42,3.30
3.37,3.40,3.40,3.35
3.40,3.30,3.40,3.25
3.30,3.30,3.32,3.29
3.30,3.36,3.36,3.30
3.36,3.36,3.36,3.36
3.53,3.44,3.63,3.44
3.42,3.42,3.42,3.41
3.45,3.45,3.45,3.45
3.45,3.45,3.45,3.45
3.37,3.35,3.37,3.21
3.31,3.30,3.31,3.30
3.48,3.34,3.48,3.25
3.34,3.29,3.34,3.29
3.21,3.39,3.39,3.21
3.25,3.30,3.30,3.21
3.30,3.30,3.30,3.30
3.25,3.39,3.39,3.25
3.30,3.40,3.50,3.30
3.40,3.53,3.53,3.40
3.60,3.67,3.92,3.59
3.58,3.71,3.75,3.58
3.89,3.89,3.89,3.89
3.89,3.89,3.89,3.89
3.85,3.84,3.85,3.84
3.65,3.89,3.90,3.65
3.70,3.74,3.74,3.70
3.90,3.90,3.90,3.89
3.89,3.90,3.90,3.89
3.90,3.84,3.90,3.75
3.84,3.84,3.84,3.84
3.67,3.72,3.73,3.67
3.54,3.70,3.81,3.54
3.90,3.72,3.90,3.54
3.56,3.60,3.67,3.54
3.53,3.54,3.80,3.53
3.54,3.49,3.54,3.49
3.40,3.40,3.40,3.40
3.58,3.58,3.58,3.58
3.40,3.55,3.55,3.33
3.51,3.35,3.51,3.35
3.35,3.48,3.48,3.33
3.50,3.56,3.57,3.41
3.64,3.59,3.74,3.59
3.40,3.37,3.44,3.25
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.30,3.38,3.38,3.30
3.18,3.20,3.25,3.18
3.34,3.56,3.56,3.34
3.36,3.27,3.36,3.24
3.27,3.27,3.27,3.27
3.25,3.27,3.28,3.25
3.21,3.22,3.27,3.21
3.22,3.25,3.34,3.22
3.26,3.40,3.40,3.26
3.40,3.42,3.45,3.40
3.40,3.30,3.40,3.28
3.28,3.21,3.28,3.09
3.21,3.21,3.21,3.21
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.09,3.15,3.17,3.09
3.15,3.11,3.24,3.11
3.26,3.14,3.26,3.14
3.25,3.25,3.25,3.25
3.22,3.22,3.22,3.22
3.39,3.27,3.39,3.22
3.27,3.27,3.27,3.27
3.37,3.30,3.37,3.21
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.14,3.11,3.14,3.11
3.21,3.13,3.21,3.13
3.00,2.89,3.00,2.55
2.72,2.70,2.75,2.70
2.70,2.70,2.70,2.70
2.70,2.73,2.73,2.70
2.70,2.72,2.72,2.70
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.71,2.81,2.81,2.71
2.81,2.81,2.81,2.81
2.71,2.73,2.73,2.69
2.72,2.72,2.72,2.72
2.87,2.87,2.87,2.87
2.90,2.99,2.99,2.90
3.04,2.99,3.04,2.99
3.14,2.76,3.14,2.73
2.73,2.84,2.84,2.73
2.73,2.73,2.73,2.73
2.91,2.73,2.91,2.73
2.25,2.61,2.73,2.25
2.68,2.68,2.68,2.68
2.68,2.68,2.68,2.68
2.50,2.56,2.56,2.48
2.50,2.59,2.62,2.50
2.61,2.61,2.61,2.61
2.61,2.61,2.61,2.61
2.53,2.60,2.60,2.51
2.73,2.76,2.76,2.73
2.89,2.57,2.89,2.57
2.45,2.57,2.57,2.45
2.43,2.54,2.59,2.43
2.46,2.49,2.49,2.45
2.49,2.49,2.49,2.49
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.47,2.39,2.47,2.30
2.37,2.37,2.46,2.37
2.21,2.19,2.44,2.18
2.27,2.40,2.40,2.27
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.46,2.48,2.51,2.46
2.48,2.48,2.48,2.48
2.47,2.25,2.47,2.25
2.21,2.25,2.25,2.21
2.35,2.33,2.38,2.33
2.33,2.33,2.33,2.33
2.28,2.31,2.31,2.28
2.15,2.26,2.28,2.15
2.26,2.26,2.26,2.26
2.30,2.34,2.34,2.20
2.20,2.20,2.20,2.20
2.22,2.30,2.30,2.20
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.21,2.20,2.21,2.20
2.29,2.35,2.35,2.21
2.22,2.21,2.22,2.20
2.25,2.25,2.25,2.20
2.25,2.25,2.25,2.25
2.23,2.22,2.23,2.21
2.23,2.22,2.23,2.20
2.30,2.39,2.39,2.30
2.32,2.31,2.32,2.31
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.34,2.39,2.47,2.34
2.54,2.53,2.54,2.53
2.34,2.43,2.43,2.34
2.43,2.43,2.43,2.43
2.43,2.43,2.43,2.43
2.36,2.36,2.36,2.36
2.36,2.36,2.36,2.36
2.36,2.36,2.36,2.36
2.38,2.38,2.38,2.21
2.26,2.25,2.30,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.27,2.27,2.27,2.26
2.25,2.37,2.37,2.25
2.29,2.40,2.49,2.27
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.47,2.56,2.57,2.47
2.44,2.44,2.44,2.44
2.45,2.45,2.45,2.45
2.23,2.42,2.42,2.23
2.26,2.38,2.38,2.25
2.24,2.33,2.33,2.20
2.01,2.20,2.26,2.01
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.17,2.16,2.17,2.16
2.16,2.16,2.16,2.16
2.11,2.12,2.12,2.11
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.10,2.12,2.12,2.10
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.06,2.05,2.06,2.05
2.06,2.05,2.06,2.00
2.05,2.05,2.05,2.05
2.02,2.05,2.05,2.00
2.15,2.14,2.15,2.11
2.14,2.15,2.15,2.14
2.15,2.15,2.15,2.15
2.15,2.10,2.15,2.10
2.10,2.00,2.19,2.00
2.00,2.21,2.21,2.00
2.05,2.01,2.11,2.01
2.18,2.17,2.18,2.16
2.03,2.05,2.08,2.03
2.06,2.06,2.06,2.06
2.06,2.06,2.06,2.06
2.05,2.05,2.05,2.05
2.07,2.06,2.07,2.05
2.06,2.06,2.06,2.06
2.07,2.16,2.16,2.07
2.16,2.16,2.16,2.16
2.14,2.14,2.16,2.14
2.02,2.05,2.06,2.02
2.03,2.14,2.14,2.02
2.14,2.14,2.14,2.14
2.14,2.08,2.14,2.08
2.03,2.03,2.03,2.02
2.02,2.02,2.02,2.02
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.13,2.06,2.13,2.06
2.13,2.14,2.14,2.13
2.15,2.19,2.19,2.15
2.17,2.17,2.17,2.17
2.22,2.23,2.23,2.21
2.12,2.12,2.12,2.12
2.11,2.22,2.23,2.11
2.03,2.14,2.14,2.03
2.09,2.17,2.22,2.09
2.20,2.25,2.25,2.20
2.24,2.24,2.24,2.24
2.24,2.24,2.24,2.24
2.13,2.18,2.18,2.13
2.18,2.18,2.18,2.18
2.03,2.05,2.05,2.02
1.85,1.98,2.03,1.85
1.98,1.93,1.98,1.93
1.92,1.90,1.92,1.90
1.90,1.90,1.90,1.90
1.79,1.90,1.92,1.79
1.80,1.90,1.90,1.80
1.87,1.74,1.88,1.74
1.73,1.70,1.73,1.70
1.63,1.70,1.70,1.63
1.60,1.75,1.75,1.49
1.34,1.70,1.70,1.34
1.67,1.56,1.67,1.56
1.57,1.52,1.58,1.52
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.59,1.52,1.59,1.47
1.48,1.40,1.49,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.50,1.52,1.52,1.50
1.51,1.51,1.51,1.51
1.56,1.51,1.56,1.51
1.51,1.51,1.51,1.51
1.48,1.45,1.48,1.45
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.51,1.40,1.51,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.47,1.47,1.47,1.47
1.47,1.47,1.47,1.47
1.56,1.58,1.58,1.56
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.49
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.52,1.54,1.54,1.44
1.55,1.43,1.55,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.45,1.45,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.45,1.45,1.45,1.45
1.48,1.40,1.50,1.40
1.38,1.38,1.38,1.38
1.36,1.35,1.36,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.37,1.24
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.37,1.42,1.42,1.37
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.35,1.37,1.37,1.35
1.37,1.37,1.37,1.37
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.31,1.35,1.35,1.31
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.40,1.30,1.40,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.21,1.30,1.32,1.21
1.30,1.53,1.56,1.30
1.53,1.72,1.72,1.13
1.63,1.65,1.68,1.59
1.65,1.93,2.18,1.65
1.99,1.85,1.99,1.69
1.93,1.60,1.93,1.60
1.63,1.50,1.66,1.32
1.52,1.44,1.60,1.40
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.42,1.35,1.45,1.35
1.40,1.39,1.40,1.38
1.39,1.39,1.39,1.39
1.43,1.45,1.45,1.43
1.45,1.45,1.45,1.45
1.35,1.36,1.36,1.31
1.40,1.65,1.77,1.40
1.66,1.48,1.94,1.47
1.53,1.48,1.53,1.48
1.48,1.41,1.48,1.35
1.44,1.42,1.48,1.41
1.50,1.63,1.67,1.50
1.71,1.55,1.84,1.55
1.55,1.52,1.59,1.50
1.55,1.54,1.55,1.54
1.51,1.58,1.58,1.51
1.73,1.81,1.90,1.51
1.99,1.77,2.06,1.76
1.75,1.60,1.75,1.60
1.65,1.65,1.65,1.65
1.72,1.77,1.79,1.72
1.89,1.90,1.92,1.89
1.89,1.89,1.89,1.89
1.73,1.65,1.78,1.19
1.55,1.58,1.58,1.53
1.50,1.51,1.53,1.47
1.57,1.45,1.57,1.45
1.39,1.39,1.39,1.39
1.44,1.35,1.44,1.35
1.36,1.35,1.36,1.29
1.35,1.35,1.35,1.35
1.49,1.40,1.49,1.40
1.36,1.36,1.36,1.36
1.29,1.67,1.73,1.29
1.65,1.60,1.95,1.46
1.70,1.60,1.70,1.53
1.78,1.69,1.78,1.69
1.73,1.71,1.76,1.71
1.74,1.59,1.74,1.55
1.65,1.56,1.65,1.56
1.69,1.61,1.69,1.60
1.59,1.66,1.66,1.59
1.73,1.79,1.79,1.73
1.61,1.57,1.61,1.55
1.63,1.63,1.64,1.63
1.71,1.79,1.92,1.64
1.71,1.71,1.71,1.70
1.69,1.62,1.71,1.62
1.71,1.74,1.74,1.68
1.69,1.69,1.69,1.62
1.70,1.69,1.78,1.68
1.65,1.63,1.71,1.62
1.62,1.70,1.78,1.62
1.70,1.65,1.71,1.63
1.67,1.71,1.71,1.63
1.65,1.70,1.73,1.65
1.77,1.74,1.77,1.66
1.74,1.74,1.74,1.74
1.72,1.65,1.73,1.56
1.63,1.56,1.63,1.56
1.57,1.55,1.57,1.55
1.55,1.52,1.60,1.51
1.50,1.53,1.56,1.50
1.52,1.61,1.70,1.50
1.62,1.60,1.71,1.60
1.63,1.65,1.65,1.63
1.75,1.67,1.75,1.56
1.71,1.76,1.76,1.66
1.71,1.67,1.71,1.66
1.73,1.69,1.73,1.69
1.69,1.69,1.69,1.69
1.76,1.60,1.76,1.60
1.55,1.60,1.60,1.55
1.73,1.65,1.73,1.65
1.67,1.69,1.69,1.67
1.69,1.74,1.74,1.67
1.77,1.75,1.77,1.65
1.76,1.81,1.87,1.76
1.92,1.94,1.97,1.72
1.90,1.80,1.90,1.80
1.74,1.80,1.80,1.70
1.89,2.00,2.00,1.71
1.95,2.05,2.07,1.92
2.12,2.25,2.30,2.11
2.20,2.01,2.20,1.92
2.19,2.38,2.40,2.14
2.27,2.27,2.40,2.26
2.39,2.36,2.39,2.27
2.38,2.18,2.38,2.09
2.16,1.85,2.16,1.85
2.01,2.07,2.11,1.96
2.10,1.99,2.10,1.99
1.84,1.90,1.98,1.70
2.00,2.00,2.00,1.89
1.85,1.80,1.86,1.77
1.86,1.78,1.86,1.78
1.78,1.81,1.81,1.65
1.83,2.08,2.10,1.81
2.19,2.03,2.20,2.03
2.17,2.15,2.20,1.99
2.21,2.15,2.31,2.12
2.00,2.31,2.37,2.00
2.40,2.30,2.40,2.30
2.38,2.35,2.40,2.30
2.32,2.38,2.40,2.32
2.38,2.38,2.38,2.38
2.38,2.40,2.40,2.25
2.31,2.33,2.40,2.31
2.36,2.35,2.36,2.33
2.38,2.36,2.39,2.36
2.24,2.12,2.31,1.91
2.01,2.03,2.03,1.97
1.96,2.05,2.05,1.96
2.17,2.07,2.17,2.02
2.03,2.08,2.08,1.96
2.18,2.23,2.23,2.12
2.12,2.15,2.18,2.12
2.13,1.98,2.22,1.98
2.08,2.24,2.27,2.08
1.92,2.07,2.07,1.92
2.07,2.07,2.07,2.07
2.07,2.07,2.07,2.07
2.02,2.21,2.25,2.02
2.25,2.20,2.25,2.20
2.11,2.11,2.11,2.11
2.09,2.01,2.09,1.98
2.01,2.01,2.01,2.01
1.94,2.02,2.02,1.81
1.99,2.00,2.00,1.99
1.95,1.96,2.00,1.95
2.00,1.99,2.00,1.99
1.99,1.99,1.99,1.99
1.99,1.90,1.99,1.90
2.03,2.03,2.03,2.03
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.84,1.84,1.84,1.84
1.84,1.95,1.95,1.84
1.75,1.80,1.85,1.75
1.84,1.84,1.84,1.84
1.84,1.80,1.90,1.80
1.79,2.03,2.04,1.79
2.09,2.04,2.09,2.03
2.04,2.04,2.04,2.04
2.04,2.04,2.04,2.04
2.09,2.09,2.09,2.09
1.93,2.02,2.13,1.93
2.11,2.10,2.11,2.04
2.16,2.20,2.21,2.14
2.16,2.12,2.16,2.12
2.12,2.20,2.20,2.11
2.29,2.20,2.32,2.20
2.15,2.23,2.25,2.15
2.12,2.12,2.12,2.05
2.00,1.90,2.12,1.89
1.94,1.98,1.98,1.94
1.93,1.93,1.93,1.93
1.93,1.89,1.93,1.89
1.87,1.80,1.87,1.80
1.80,1.86,1.87,1.79
1.85,2.10,2.16,1.83
2.10,2.02,2.10,2.02
2.19,2.11,2.19,1.96
2.13,2.14,2.18,2.13
2.20,2.18,2.20,2.18
2.03,2.03,2.03,2.03
2.03,2.13,2.13,2.03
2.10,2.10,2.29,2.10
2.05,2.03,2.05,2.03
2.17,2.19,2.19,2.02
1.98,1.98,1.98,1.98
2.17,2.22,2.24,2.16
2.21,2.23,2.23,2.20
2.23,2.32,2.33,2.23
2.27,2.30,2.30,2.27
2.27,2.21,2.33,2.21
2.14,2.16,2.25,2.04
2.27,2.25,2.27,2.25
2.26,2.28,2.28,2.26
