CWEI,Clayton Williams Energy,NASDAQ
57.61,59.75,60.43,57.49
59.36,58.45,60.94,58.22
57.10,57.63,57.81,55.35
57.59,55.79,58.03,55.45
55.71,55.68,56.62,53.55
56.08,57.58,57.85,56.08
58.07,59.97,61.18,57.44
60.35,60.05,61.25,59.70
59.94,61.58,62.10,59.29
61.83,65.00,66.76,61.75
64.32,62.91,64.95,62.03
64.73,66.25,66.96,64.35
64.85,67.07,68.36,64.00
65.81,65.06,66.42,64.37
64.79,64.49,65.52,63.61
64.98,65.62,66.50,63.54
66.19,65.18,66.59,64.47
66.08,68.69,70.48,66.08
69.10,68.85,70.09,67.66
69.86,72.06,72.35,69.58
72.75,72.99,73.74,71.01
73.10,74.30,76.01,73.10
74.43,74.70,75.50,72.99
73.69,74.00,75.27,72.60
74.28,71.72,74.35,71.42
71.32,69.00,71.77,68.20
70.97,67.11,72.22,66.28
65.07,66.32,67.98,62.61
67.39,64.41,67.99,63.49
63.99,62.45,64.99,61.75
62.32,63.49,64.99,61.75
61.97,58.94,63.59,58.77
59.90,56.96,61.64,54.26
54.03,48.77,55.00,48.20
50.29,51.67,53.39,45.95
50.22,51.50,56.52,50.11
51.96,56.33,58.01,50.82
57.43,57.56,61.47,56.88
58.50,60.64,61.05,57.34
59.42,57.35,59.91,55.56
58.31,57.75,60.64,57.14
55.09,53.70,55.09,51.35
52.14,53.33,55.64,52.14
55.14,50.36,55.14,50.03
50.71,53.10,53.55,50.00
53.76,53.64,54.09,51.69
54.32,52.40,54.40,51.94
51.88,54.45,55.19,51.88
55.50,57.90,58.03,55.49
57.39,56.72,57.39,54.20
57.30,56.74,58.73,55.52
56.95,55.75,57.91,55.32
54.21,53.22,55.03,51.66
51.05,52.83,53.11,50.88
54.14,54.74,55.91,54.14
54.33,53.76,55.72,53.04
52.88,51.71,54.27,51.35
50.53,51.57,52.81,50.10
51.97,51.84,52.77,50.40
52.47,53.11,54.16,50.90
54.00,54.47,55.33,53.63
54.89,53.61,55.36,52.51
51.56,51.34,53.30,50.25
51.73,50.71,52.98,50.25
50.55,49.05,52.73,48.74
46.88,45.41,47.47,44.59
45.03,46.24,47.57,44.96
46.67,48.30,48.43,44.41
48.80,49.73,51.88,48.80
49.75,45.35,50.23,45.01
47.07,45.56,47.75,44.09
44.72,42.81,46.36,42.73
42.11,38.24,42.36,36.88
36.54,40.91,41.29,34.50
41.21,42.59,43.43,39.83
42.29,43.16,44.29,41.00
43.20,43.04,44.85,41.41
44.15,48.97,49.48,43.97
48.18,50.76,52.11,47.66
51.18,53.92,56.26,51.18
53.23,53.64,54.50,51.54
55.38,59.57,59.75,55.18
59.34,56.60,60.00,56.14
56.93,59.89,60.80,53.75
60.60,56.56,60.60,55.84
56.49,56.85,57.00,53.01
58.23,59.86,60.00,57.51
60.00,63.47,63.96,59.95
63.00,60.10,64.85,59.71
61.74,62.67,63.44,58.28
65.98,77.01,82.09,64.28
75.96,70.21,76.44,68.38
68.21,65.34,68.21,65.14
62.92,62.55,64.22,60.32
63.33,64.21,65.16,60.00
65.34,68.69,69.66,62.38
69.09,67.88,69.60,65.23
67.94,67.27,69.28,66.12
67.97,67.44,68.96,65.24
64.91,61.37,65.67,61.00
62.93,63.47,65.03,60.21
64.20,66.04,66.94,64.20
65.40,64.27,66.84,63.36
64.42,66.35,67.03,63.61
65.30,66.80,71.19,64.90
66.87,62.69,68.63,62.32
63.29,66.45,67.03,63.29
65.04,66.22,66.99,63.35
66.08,65.31,67.22,63.17
64.06,59.96,64.28,59.63
59.74,59.04,61.57,58.58
62.26,65.45,65.68,61.50
65.72,67.85,68.51,63.97
72.45,73.96,74.85,71.60
73.53,73.60,74.80,71.99
75.60,79.89,79.99,74.80
81.51,80.74,83.70,79.52
81.29,83.53,85.83,79.28
82.64,82.22,83.45,78.53
80.84,77.15,82.40,76.85
77.60,84.71,85.35,77.60
83.15,82.76,84.71,79.75
83.04,78.44,84.92,76.90
77.05,75.02,79.16,73.57
76.42,74.00,77.86,73.21
75.12,77.40,79.20,73.72
78.48,74.34,79.04,73.90
76.92,77.32,78.09,75.00
76.89,75.30,76.89,73.03
76.05,75.51,76.67,74.45
76.40,75.65,76.40,74.73
75.33,78.48,78.57,75.18
78.46,75.44,78.46,75.01
76.07,77.18,77.55,75.30
76.92,75.88,77.42,75.88
78.70,80.65,81.55,77.89
79.95,78.64,79.95,77.68
78.00,78.58,79.80,76.83
78.58,76.40,78.73,75.91
76.03,75.87,76.98,74.71
77.23,76.98,78.60,76.55
76.69,75.59,77.31,74.40
75.88,75.54,76.32,74.73
74.30,74.87,75.79,73.04
75.98,76.38,77.34,75.28
76.25,79.28,79.50,75.72
78.85,78.21,79.28,77.08
77.60,77.53,78.44,76.70
77.78,80.16,80.77,77.01
79.34,81.50,82.52,77.74
81.54,86.65,87.65,80.52
87.61,82.36,87.61,81.82
82.51,85.93,85.99,81.62
84.45,83.17,84.80,83.01
84.15,81.39,84.70,80.61
81.99,80.85,82.33,79.50
81.01,81.68,82.62,79.54
83.71,84.50,84.82,82.95
83.45,86.87,87.01,82.94
86.57,85.53,86.57,84.28
86.25,84.05,86.25,83.08
84.57,82.90,85.01,82.30
81.32,80.21,81.78,79.20
81.63,84.83,84.83,80.68
84.41,85.24,85.42,83.50
85.95,82.75,85.95,82.08
82.50,86.67,86.73,81.27
87.28,86.09,87.82,84.87
86.36,87.39,89.89,86.36
86.22,85.68,87.77,84.49
86.69,88.20,89.76,86.22
88.52,91.68,92.68,88.52
92.48,95.88,98.17,92.04
96.18,93.67,97.59,93.00
94.99,88.35,95.45,88.23
88.73,88.40,91.20,86.92
88.53,82.82,88.53,82.78
82.53,81.48,83.36,80.42
79.76,78.89,80.04,77.34
79.30,80.58,81.83,78.00
81.50,82.59,82.69,78.99
82.67,81.76,84.84,81.31
81.31,78.26,81.81,77.70
79.28,79.00,80.27,76.42
78.65,76.94,79.27,75.87
77.27,79.06,79.08,75.97
79.39,82.21,83.58,78.27
82.01,84.13,85.49,82.00
82.84,82.17,83.55,80.80
82.60,81.17,83.60,79.97
79.72,77.93,79.90,77.00
78.58,82.34,82.97,76.92
83.99,83.73,84.80,82.82
83.93,82.86,84.64,82.00
82.72,80.67,82.72,78.61
79.69,78.17,80.13,77.02
79.16,79.44,80.18,77.00
79.25,79.75,81.98,78.62
79.62,79.26,80.44,78.25
77.79,77.50,77.96,76.00
77.20,76.99,79.26,76.48
74.90,75.38,77.00,74.37
75.52,72.99,77.22,72.37
74.72,73.98,75.64,73.30
74.33,78.22,78.99,74.33
76.61,76.87,77.02,75.69
77.16,76.24,77.79,75.22
79.18,79.32,81.59,78.89
78.99,77.06,79.60,76.04
77.15,75.58,78.43,73.92
77.47,75.79,78.70,74.83
73.30,74.01,75.05,71.71
73.93,75.27,76.49,72.96
76.70,76.09,77.37,72.91
76.33,75.77,77.00,74.99
76.30,76.41,76.77,74.46
76.45,73.54,76.45,72.62
73.77,75.00,77.09,73.60
73.60,72.81,74.24,72.26
72.61,70.17,72.90,69.53
69.71,67.71,69.71,66.22
67.17,67.54,68.77,65.62
67.05,68.66,68.78,63.93
67.50,66.18,67.50,64.97
67.09,66.38,68.49,65.72
65.31,65.52,69.49,65.23
64.67,64.68,65.84,64.37
