LBTYB,Liberty Global plc - Class B Ordinary Shares,NASDAQ
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
46.61,46.61,46.61,46.61
42.75,42.94,42.94,42.75
42.94,42.94,42.94,42.94
42.94,42.94,42.94,42.94
42.94,42.94,42.94,42.94
41.05,41.04,41.08,41.04
41.40,41.25,41.50,40.94
34.80,36.07,39.05,34.38
38.26,38.26,38.26,38.26
38.26,38.26,38.26,38.26
38.26,38.26,38.26,38.26
39.84,39.84,39.84,39.84
39.84,39.84,39.84,39.84
39.84,39.84,39.84,39.84
41.05,43.50,43.50,41.05
43.50,43.50,43.50,43.50
40.38,40.38,40.38,40.38
40.38,40.38,40.38,40.38
35.70,37.73,37.75,35.70
37.73,37.73,37.73,37.73
37.73,37.73,37.73,37.73
37.73,37.73,37.73,37.73
37.73,37.73,37.73,37.73
37.73,37.73,37.73,37.73
41.68,44.63,44.63,41.68
44.63,44.63,44.63,44.63
44.63,44.63,44.63,44.63
39.08,39.08,39.08,39.08
39.05,41.13,41.13,39.05
41.13,41.13,41.13,41.13
41.13,41.13,41.13,41.13
41.13,41.13,41.13,41.13
41.13,41.13,41.13,41.13
41.13,41.13,41.13,41.13
41.13,41.13,41.13,41.13
38.13,37.80,38.13,37.67
39.66,39.69,39.69,39.63
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
39.69,39.69,39.69,39.69
43.28,42.76,43.28,42.76
42.76,42.76,42.76,42.76
42.76,42.76,42.76,42.76
43.01,41.58,43.01,39.51
42.37,42.46,42.46,41.55
42.46,42.46,42.46,42.46
40.56,40.41,40.56,40.36
40.41,40.41,40.41,40.41
40.30,41.25,41.25,40.30
41.25,41.25,41.25,41.25
41.25,41.25,41.25,41.25
41.25,41.25,41.25,41.25
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
39.37,39.37,39.37,39.37
40.24,40.24,40.24,40.24
40.24,40.24,40.24,40.24
40.24,40.24,40.24,40.24
40.24,40.24,40.24,40.24
40.24,40.24,40.24,40.24
40.24,40.24,40.24,40.24
41.10,41.10,41.10,41.10
41.10,41.10,41.10,41.10
41.10,41.10,41.10,41.10
41.10,41.10,41.10,41.10
41.10,41.10,41.10,41.10
42.30,42.30,42.30,42.30
46.31,46.31,46.31,46.31
46.31,46.31,46.31,46.31
43.20,43.20,43.20,43.20
43.20,43.20,43.20,43.20
43.20,43.20,43.20,43.20
43.63,43.71,43.75,43.57
43.71,43.71,43.71,43.71
43.71,43.71,43.71,43.71
44.72,44.80,44.80,44.72
44.80,44.80,44.80,44.80
44.80,44.80,44.80,44.80
45.22,45.22,45.22,45.20
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
45.88,45.88,45.88,45.88
47.36,48.58,48.58,47.36
48.79,48.80,48.80,48.79
48.80,48.80,48.80,48.80
48.90,49.24,49.24,48.90
48.88,48.92,48.92,48.88
49.74,49.74,49.74,49.74
49.74,49.74,49.74,49.74
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
49.43,49.43,49.43,49.43
50.53,50.53,50.53,50.53
50.53,50.53,50.53,50.53
49.78,48.87,49.78,46.08
48.87,48.87,48.87,48.87
48.87,48.87,48.87,48.87
48.87,48.87,48.87,48.87
48.87,48.87,48.87,48.87
50.50,51.33,51.46,50.50
51.33,51.33,51.33,51.33
51.33,51.33,51.33,51.33
50.43,50.37,50.43,50.35
50.37,50.37,50.37,50.37
50.37,50.37,50.37,50.37
50.37,50.37,50.37,50.37
50.37,50.37,50.37,50.37
50.37,50.37,50.37,50.37
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
49.65,49.62,49.65,49.62
49.62,49.62,49.62,49.62
49.62,49.62,49.62,49.62
49.62,49.62,49.62,49.62
49.62,49.62,49.62,49.62
49.62,49.62,49.62,49.62
49.62,49.62,49.62,49.62
47.74,47.74,47.74,47.74
47.74,47.74,47.74,47.74
48.66,48.66,48.66,48.66
48.66,48.66,48.66,48.66
48.66,48.66,48.66,48.66
48.66,48.66,48.66,48.66
48.66,48.66,48.66,48.66
48.66,48.66,48.66,48.66
49.49,49.68,49.68,49.49
49.68,49.68,49.68,49.68
48.40,48.40,48.40,48.40
48.40,48.40,48.40,48.40
48.40,48.40,48.40,48.40
49.78,49.78,49.78,49.78
49.78,49.78,49.78,49.78
49.78,49.78,49.78,49.78
50.10,50.10,50.10,50.10
50.13,50.13,50.13,50.13
50.13,50.13,50.13,50.13
50.13,50.13,50.13,50.13
49.04,49.04,49.04,49.04
48.81,49.04,49.26,48.72
49.04,49.04,49.04,49.04
50.48,51.02,51.02,50.39
50.44,50.44,50.44,50.44
49.47,49.47,49.47,49.47
49.36,49.36,49.36,49.36
49.36,49.36,49.36,49.36
47.32,46.93,47.32,46.93
46.43,46.43,46.43,46.43
47.75,47.70,47.81,47.70
47.80,46.24,47.80,46.24
47.74,47.24,47.74,47.15
47.48,48.02,48.67,47.48
47.89,47.50,47.93,45.96
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
46.22,46.65,46.71,46.16
47.08,47.08,47.08,47.07
47.08,47.08,47.08,47.08
47.08,47.08,47.08,47.08
47.26,47.26,47.26,47.26
47.26,47.26,47.26,47.26
47.26,47.26,47.26,47.26
47.26,47.26,47.26,47.26
47.26,47.26,47.26,47.26
47.26,47.50,47.50,47.26
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
48.51,48.51,48.51,48.51
48.51,48.51,48.51,48.51
48.14,47.94,48.14,47.67
47.94,47.94,47.94,47.94
47.94,47.94,47.94,47.94
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
51.12,51.12,51.12,51.12
51.15,51.15,51.15,51.15
51.15,51.15,51.15,51.15
51.15,51.15,51.15,51.15
51.15,51.15,51.15,51.15
49.49,49.49,49.49,49.49
48.99,48.99,48.99,48.99
50.04,50.04,50.04,50.04
50.04,50.04,50.04,50.04
50.04,50.04,50.04,50.04
50.04,50.04,50.04,50.04
50.04,50.04,50.04,50.04
52.95,52.74,52.95,52.18
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
52.04,52.04,52.04,52.04
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
53.44,53.44,53.44,53.44
54.89,54.92,54.92,54.81
54.92,54.92,54.92,54.92
54.92,54.92,54.92,54.92
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
54.66,54.66,54.66,54.66
57.20,57.20,57.20,57.20
57.20,57.20,57.20,57.20
57.20,57.20,57.20,57.20
57.20,57.20,57.20,57.20
58.38,58.22,58.38,57.68
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
59.15,59.25,59.45,59.06
59.25,59.25,59.25,59.25
59.25,59.25,59.25,59.25
59.25,59.25,59.25,59.25
59.25,59.25,59.25,59.25
59.25,59.25,59.25,59.25
59.25,59.25,59.25,59.25
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
61.23,61.23,61.23,61.23
60.56,60.56,60.56,60.56
60.56,60.56,60.56,60.56
60.56,60.56,60.56,60.56
60.56,60.56,60.56,60.56
61.67,61.74,61.74,61.67
61.99,62.30,62.30,61.99
62.30,62.30,62.30,62.30
62.30,62.30,62.30,62.30
62.30,62.30,62.30,62.30
60.93,60.93,60.93,60.93
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
61.03,61.03,61.03,61.03
55.61,55.56,55.61,55.56
56.20,56.20,56.20,56.16
56.20,56.20,56.20,56.20
57.38,57.38,57.38,57.38
57.38,57.38,57.38,57.38
57.38,57.38,57.38,57.38
57.38,57.38,57.38,57.38
57.38,57.38,57.38,57.38
57.04,57.01,57.12,57.01
57.01,57.01,57.01,57.01
57.01,57.01,57.01,57.01
57.94,57.94,57.94,57.94
57.94,57.94,57.94,57.94
57.31,59.12,59.12,57.31
59.12,59.12,59.12,59.12
59.84,59.84,59.84,59.84
59.84,59.84,59.84,59.84
60.31,60.31,60.31,60.31
60.31,60.31,60.31,60.31
60.31,60.31,60.31,60.31
60.31,60.31,60.31,60.31
60.31,60.31,60.31,60.31
61.48,61.48,61.48,61.48
63.05,63.05,63.05,63.05
63.05,63.05,63.05,63.05
61.63,61.96,62.80,61.60
61.96,61.96,61.96,61.96
61.59,61.59,61.59,61.59
60.89,61.98,61.98,60.89
61.98,61.98,61.98,61.98
62.30,62.80,62.84,62.30
64.65,64.63,64.68,64.29
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
64.63,64.63,64.63,64.63
66.46,66.36,66.46,66.36
66.36,66.36,66.36,66.36
66.36,66.36,66.36,66.36
67.68,67.68,67.68,67.68
68.57,68.57,68.57,68.57
67.99,67.99,67.99,67.99
67.99,67.99,67.99,67.99
67.99,67.99,67.99,67.99
67.99,67.99,67.99,67.99
68.74,69.07,69.07,68.74
69.07,69.07,69.07,69.07
69.07,69.07,69.07,69.07
68.26,68.26,68.26,68.26
70.13,70.22,70.22,70.13
70.15,70.00,70.25,70.00
67.67,67.89,67.89,67.48
64.85,66.11,66.11,64.09
67.14,67.86,68.40,67.14
67.20,67.46,67.46,67.20
67.30,67.30,67.30,67.30
67.30,67.30,67.30,67.30
66.95,66.95,66.95,66.95
66.41,66.41,66.41,66.41
66.41,66.41,66.41,66.41
64.89,64.89,64.89,64.89
64.87,64.87,64.87,64.87
63.95,64.09,64.09,63.93
63.52,63.52,63.52,63.52
64.66,65.18,65.23,64.01
65.18,65.18,65.18,65.18
67.66,67.77,67.77,67.66
68.61,68.73,68.73,68.29
68.73,68.73,68.73,68.73
68.73,68.73,68.73,68.73
68.73,68.73,68.73,68.73
68.73,68.73,68.73,68.73
68.73,68.73,68.73,68.73
71.31,71.31,71.31,71.31
71.31,71.31,71.31,71.31
71.31,71.31,71.31,71.31
71.31,71.31,71.31,71.31
71.31,71.31,71.31,71.31
69.18,68.36,69.26,68.36
68.39,68.34,68.39,68.34
69.16,69.16,69.16,69.16
67.90,69.29,69.58,67.77
69.29,69.29,69.29,69.29
69.29,69.29,69.29,69.29
69.29,69.29,69.29,69.29
71.50,71.45,71.50,71.44
71.45,71.45,71.45,71.45
71.45,71.45,71.45,71.45
71.45,71.45,71.45,71.45
71.45,71.45,71.45,71.45
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.12,75.12,75.12,75.12
75.11,75.03,75.11,75.03
75.03,75.03,75.03,75.03
74.31,74.25,74.31,73.82
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.37,73.37,73.37,73.37
73.99,74.15,74.15,73.99
74.15,74.15,74.15,74.15
74.15,74.15,74.15,74.15
74.15,74.15,74.15,74.15
74.15,74.15,74.15,74.15
75.81,77.06,77.06,75.81
77.06,77.06,77.06,77.06
77.06,77.06,77.06,77.06
77.06,77.06,77.06,77.06
77.00,76.89,77.00,76.89
76.89,76.89,76.89,76.89
76.89,76.89,76.89,76.89
76.89,76.89,76.89,76.89
76.89,76.89,76.89,76.89
76.16,76.16,76.16,76.16
76.16,76.16,76.16,76.16
76.16,76.16,76.16,76.16
77.02,75.78,77.02,75.69
74.49,74.48,74.49,74.48
74.48,74.48,74.48,74.48
74.48,74.48,74.48,74.48
74.48,74.48,74.48,74.48
74.48,74.48,74.48,74.48
73.12,73.12,73.12,73.12
72.76,72.76,72.76,72.76
72.76,72.76,72.76,72.76
73.87,73.71,73.98,73.71
73.46,73.78,74.09,73.32
73.78,73.78,73.78,73.78
73.78,73.78,73.78,73.78
73.78,73.78,73.78,73.78
74.25,71.27,74.25,71.27
71.27,71.27,71.27,71.27
