UHAL,Amerco - Common Stock,NASDAQ
59.10,58.73,59.87,57.93
57.79,56.38,57.79,56.00
56.55,55.05,57.29,54.73
55.29,55.29,55.70,53.98
55.80,54.11,55.80,53.04
55.50,54.42,56.10,54.31
54.85,57.96,57.99,54.78
59.74,59.20,60.97,59.00
59.35,58.59,59.35,57.35
58.15,57.75,58.84,57.36
58.52,62.90,63.60,58.00
62.26,62.09,63.30,60.87
61.22,61.63,62.24,60.68
60.86,59.02,61.63,58.14
59.15,59.39,59.74,58.06
58.31,60.36,60.40,57.70
60.78,59.83,61.12,59.36
60.74,63.99,64.32,59.83
63.39,64.59,65.13,62.21
64.59,66.97,67.28,63.77
67.79,69.27,69.99,66.16
69.26,68.67,69.93,68.01
69.25,68.67,69.73,68.32
67.29,68.17,69.18,67.16
68.00,66.93,68.00,65.33
66.74,66.46,67.21,64.06
66.61,69.50,69.99,66.22
72.55,75.56,77.03,71.52
73.89,73.71,75.55,73.30
74.57,77.50,78.42,74.57
76.43,78.36,80.46,75.00
76.53,75.89,77.90,75.41
75.02,76.76,77.53,74.50
76.63,79.99,80.05,76.05
79.69,80.99,81.55,77.92
81.73,81.41,82.75,80.57
81.52,81.25,81.99,80.51
80.68,79.27,81.15,77.56
78.62,80.50,80.75,77.10
80.90,74.56,81.05,74.24
73.36,74.52,76.01,71.01
74.12,76.33,76.43,73.29
76.52,75.83,77.49,75.47
76.97,79.26,79.70,75.95
79.28,79.65,81.88,79.28
79.65,80.54,80.97,79.10
81.99,82.11,83.83,80.25
82.33,82.21,82.53,79.00
82.49,81.90,83.00,80.23
81.72,80.15,82.75,79.46
80.68,81.11,81.48,79.97
82.37,80.93,82.55,79.60
81.06,80.18,82.24,80.15
81.27,81.35,81.55,80.40
81.27,81.00,82.40,80.47
80.70,81.38,81.46,80.36
81.03,79.61,81.45,79.44
80.85,79.00,80.85,77.05
79.03,80.75,81.12,77.44
80.40,80.16,81.52,80.08
80.02,82.99,82.99,80.01
80.43,77.93,80.96,77.00
79.53,79.83,79.89,77.90
80.00,79.68,80.79,79.53
79.72,80.26,80.59,77.70
80.00,80.92,81.91,79.54
81.95,79.48,81.95,79.04
80.74,78.39,80.74,76.60
79.09,76.48,79.34,76.42
77.62,80.94,81.20,77.19
80.50,79.81,81.07,79.05
80.65,80.49,81.11,79.35
80.76,82.32,82.90,79.75
82.29,81.60,82.85,81.26
81.56,82.66,82.99,81.00
82.70,82.64,82.99,82.26
82.28,82.00,82.63,80.86
82.91,83.20,83.83,81.24
83.18,83.94,85.19,82.52
82.31,79.92,82.56,78.70
80.64,81.06,81.58,80.53
81.27,79.66,81.35,76.02
79.76,78.89,80.75,77.45
79.33,80.07,81.50,78.45
79.38,80.17,81.44,78.40
79.44,80.74,81.07,79.12
81.35,80.41,81.35,79.23
79.52,82.32,83.74,79.52
82.92,79.61,82.92,77.17
80.37,82.02,82.60,80.37
81.86,83.63,84.60,81.86
91.95,89.69,93.80,88.82
90.00,91.50,92.31,89.82
91.11,88.09,92.43,85.65
88.09,87.76,89.90,86.73
88.35,90.42,90.84,87.26
89.34,91.01,92.56,88.96
89.85,90.89,92.13,89.00
91.95,91.57,93.00,89.06
91.15,92.65,93.01,90.54
92.92,95.00,95.64,92.36
96.44,94.31,97.73,94.13
94.00,95.47,95.68,92.91
94.99,95.43,95.73,92.93
94.04,94.66,95.40,93.58
95.47,97.98,98.94,95.16
97.39,96.03,97.75,96.02
95.55,97.61,97.95,94.00
96.59,96.94,98.61,95.22
98.92,100.50,101.75,98.12
100.91,99.89,101.24,99.28
98.93,108.62,109.11,98.93
108.05,105.02,108.12,103.34
106.44,105.03,108.48,103.85
105.00,103.81,105.05,103.34
105.19,103.73,105.19,103.02
104.67,104.62,105.01,102.61
104.95,103.58,105.04,102.31
104.28,101.78,104.28,101.33
101.94,100.16,103.06,99.87
100.18,99.66,100.45,99.38
99.42,94.63,99.42,94.21
95.41,97.50,98.22,95.41
98.32,98.05,98.50,97.16
98.67,97.99,98.88,96.87
98.10,97.03,98.10,96.71
97.05,97.64,97.83,95.45
97.47,96.27,97.47,93.75
96.80,97.63,98.00,96.41
97.73,96.47,98.14,96.32
96.30,96.04,96.97,95.01
97.40,97.79,98.68,96.60
98.41,94.04,98.41,90.61
94.06,92.50,94.69,91.60
92.62,91.17,93.78,90.68
91.22,91.64,92.39,89.53
90.77,89.01,91.49,87.44
89.42,88.66,90.90,86.65
89.67,88.55,89.67,87.14
88.85,90.62,91.34,88.56
90.62,91.90,92.35,90.42
91.33,91.49,92.25,90.67
91.53,90.39,92.27,90.25
90.25,89.10,91.08,88.80
90.05,87.77,92.17,87.77
88.22,88.69,89.96,86.29
87.95,90.09,90.33,86.79
90.05,94.59,94.97,88.47
94.73,92.50,94.73,91.22
91.97,88.98,91.97,88.00
90.09,91.01,91.46,88.05
91.32,92.70,93.07,90.04
92.02,93.57,94.93,92.02
94.39,102.52,104.00,93.50
102.51,95.88,103.68,95.07
96.26,97.76,98.78,95.51
97.83,98.35,98.95,97.44
98.19,97.29,98.87,96.30
96.23,97.06,98.17,96.01
96.40,96.73,97.49,95.49
96.66,95.56,97.68,94.41
94.90,99.30,102.00,93.40
100.06,99.21,100.69,96.40
99.34,101.34,103.00,98.65
101.49,100.42,102.21,99.84
99.09,97.27,99.82,96.45
97.29,93.96,98.22,93.01
93.50,94.36,95.20,91.60
94.30,96.31,96.90,92.90
97.07,96.59,97.52,95.62
96.69,92.29,96.69,90.46
92.30,95.47,95.93,91.50
96.59,97.86,98.58,95.06
97.53,97.21,98.32,95.23
97.52,91.79,97.60,89.32
92.35,98.23,99.03,91.89
98.24,99.12,100.25,97.09
97.60,92.20,97.60,91.40
91.58,91.89,92.76,90.42
90.67,92.56,93.97,89.66
89.11,90.43,91.72,89.11
90.38,89.38,90.61,88.32
91.91,90.28,92.31,89.30
91.40,88.44,91.69,88.24
90.36,92.61,94.51,89.51
92.98,91.97,93.95,91.04
91.54,95.32,96.09,91.17
95.49,94.57,95.49,93.65
95.04,94.77,96.88,94.04
94.75,95.43,95.84,93.15
95.04,96.13,96.86,93.75
96.84,97.56,98.12,95.21
96.78,97.00,98.34,96.35
97.49,96.78,97.49,96.21
97.22,99.96,100.04,96.21
99.27,99.45,100.50,98.83
99.70,97.28,99.93,96.27
97.79,101.21,102.53,96.73
101.99,101.37,101.99,99.25
101.37,98.85,101.37,98.20
97.83,100.41,101.31,96.29
101.28,96.03,101.64,95.60
95.07,96.13,97.70,95.07
95.72,96.35,96.82,92.37
95.23,99.81,100.27,93.37
100.07,97.17,100.07,96.72
99.49,97.34,99.56,95.79
98.31,98.02,98.46,97.14
98.02,95.20,98.02,94.78
95.39,97.96,98.65,95.02
98.20,100.62,101.77,96.83
100.85,100.24,100.85,98.87
100.39,101.72,103.36,99.41
102.53,100.16,102.53,100.00
100.16,99.89,100.49,98.55
100.44,98.75,100.44,97.50
98.46,97.15,99.73,96.18
98.32,96.99,99.68,96.68
97.29,97.36,98.50,96.50
98.01,98.76,98.80,96.41
98.07,95.25,98.07,94.93
95.00,96.19,96.36,93.49
96.57,93.71,97.85,93.70
93.52,92.16,94.45,92.07
91.82,88.02,92.67,87.13
88.34,90.43,90.43,86.53
90.78,90.29,91.87,90.06
89.52,89.90,90.52,88.29
87.79,86.39,89.68,86.23
89.83,84.98,89.83,84.81
84.37,86.75,87.57,84.37
86.51,85.19,86.51,85.01
85.93,87.79,87.79,84.31
88.97,90.29,91.92,87.45
90.47,84.83,91.34,84.39
85.20,86.52,87.20,84.01
84.80,84.25,86.37,84.03
84.05,85.15,85.69,83.90
86.20,85.69,86.25,84.86
85.25,86.33,86.60,84.96
93.23,93.25,95.79,91.33
92.51,91.15,94.53,90.67
92.74,89.36,92.74,88.57
90.01,90.84,91.12,89.10
89.63,88.20,90.32,87.38
88.85,95.16,96.15,88.85
95.86,92.81,96.99,91.56
92.18,95.80,95.91,92.12
96.80,96.44,96.80,95.00
95.59,94.64,96.28,94.64
93.85,94.59,95.28,91.50
94.96,95.73,96.09,94.34
95.48,95.36,95.57,94.75
95.74,95.97,96.08,94.49
96.33,92.91,96.33,91.79
93.32,96.15,96.30,92.92
96.08,96.79,97.25,95.02
96.79,95.30,96.79,94.93
95.10,95.40,97.01,94.09
96.39,95.40,96.77,94.45
93.80,95.96,96.42,93.80
94.82,93.24,95.39,91.92
90.77,91.78,92.68,90.77
92.09,93.24,94.11,91.62
93.20,90.94,94.02,90.81
91.68,93.39,94.68,91.63
93.54,93.01,93.54,91.96
94.27,94.51,94.84,92.81
94.81,93.19,94.81,91.73
93.57,94.93,95.60,91.94
94.81,94.29,94.81,93.05
92.80,92.09,93.89,91.82
91.84,92.34,92.72,90.55
92.34,90.30,92.44,89.69
89.56,90.20,90.89,88.72
88.55,90.14,91.77,88.26
93.04,90.90,93.25,88.73
90.20,88.09,91.25,88.07
88.66,89.65,90.51,85.73
88.60,79.87,88.60,79.20
81.76,77.75,83.29,76.47
74.40,71.70,77.97,71.43
73.48,76.48,77.44,68.00
73.01,71.66,74.92,70.26
72.31,76.53,78.15,72.31
77.44,75.15,78.34,74.04
75.90,76.07,76.84,74.71
74.91,74.69,75.35,72.61
75.23,74.52,75.53,72.08
71.62,68.09,72.90,67.70
66.94,67.30,70.17,66.87
69.82,66.81,69.82,66.21
66.90,70.86,70.86,65.51
70.24,71.09,72.48,69.14
72.01,69.78,72.01,68.19
69.27,71.70,71.91,68.86
72.45,74.24,74.39,71.85
73.70,74.64,75.04,72.47
75.27,73.31,76.14,71.64
73.30,70.79,74.48,70.61
69.24,67.07,69.93,66.43
65.00,65.94,66.39,64.30
67.21,67.99,68.57,66.99
67.77,65.37,68.11,65.22
64.24,66.39,67.46,64.24
65.29,65.64,66.74,64.46
65.94,66.01,67.50,65.30
65.26,67.84,68.88,64.95
68.86,69.23,69.33,67.31
69.85,67.51,69.85,67.02
66.50,66.32,66.83,65.32
66.80,65.68,67.80,65.65
65.42,64.17,65.80,64.00
62.12,60.74,64.16,60.18
60.86,61.36,62.30,60.80
62.00,63.23,63.83,60.25
64.93,65.43,67.00,63.51
65.33,61.32,65.44,61.30
63.14,63.63,63.70,62.21
62.16,62.45,63.80,62.16
61.78,60.73,63.30,60.71
60.44,62.48,63.82,60.44
63.14,62.95,63.61,61.43
62.89,64.70,65.43,62.78
65.17,63.70,66.25,62.04
65.10,67.19,67.25,64.08
66.22,67.65,68.22,66.04
68.16,71.05,71.93,66.90
71.72,70.47,71.72,69.33
71.99,72.27,72.34,70.01
71.69,68.57,71.69,68.50
68.95,72.25,72.67,67.25
72.15,69.33,72.39,68.36
69.27,69.23,70.23,67.14
70.93,71.36,71.44,69.55
71.81,74.07,74.53,71.81
73.44,71.01,73.44,70.77
72.62,72.70,73.51,70.41
75.33,80.56,80.92,73.52
80.20,79.10,81.57,78.64
77.28,75.71,78.17,75.43
71.80,70.34,72.94,69.71
72.30,75.72,76.70,71.95
76.46,81.49,83.31,74.00
80.14,81.22,81.79,78.81
81.40,79.70,81.40,77.94
80.87,82.20,82.66,79.29
79.30,78.55,80.96,78.37
80.61,80.30,81.46,79.21
81.73,80.21,82.00,79.65
79.80,78.38,80.87,77.78
77.81,79.74,80.48,77.69
78.82,77.71,79.99,77.56
77.99,76.95,77.99,76.52
77.55,76.91,77.61,75.52
75.53,75.06,75.92,74.75
75.27,73.98,75.27,73.75
73.43,71.30,73.55,71.02
70.77,68.70,71.45,68.03
69.40,72.41,73.50,69.40
72.81,73.39,74.42,69.13
77.30,78.00,78.11,74.09
78.07,77.46,78.62,76.84
78.68,78.94,79.49,77.77
80.40,79.42,80.40,78.69
79.92,80.17,80.82,78.51
79.61,79.91,80.32,78.93
79.39,80.25,81.75,79.34
80.75,83.24,83.50,80.31
82.36,82.85,83.21,81.71
83.65,81.72,84.19,81.26
81.21,81.22,82.71,81.08
83.02,83.44,84.03,81.08
84.22,83.18,85.22,82.93
84.05,82.26,84.44,82.08
83.98,85.75,85.97,83.21
84.55,86.86,87.78,83.93
87.60,88.71,89.04,87.52
90.00,89.29,90.00,88.22
88.92,88.28,89.57,88.00
88.04,87.87,88.76,87.04
88.12,89.03,89.27,87.95
89.25,88.40,90.45,88.21
91.09,92.61,92.78,89.34
91.72,90.85,92.65,90.85
90.33,93.68,94.99,90.25
93.84,92.66,94.80,91.02
93.57,92.06,93.57,90.93
93.72,93.82,94.49,92.98
93.62,94.53,94.69,92.69
94.67,95.84,95.90,93.06
94.06,94.09,95.27,93.19
95.18,94.83,95.63,93.52
95.11,95.28,95.44,93.68
95.29,95.74,95.80,94.73
95.28,95.48,96.38,95.03
95.69,96.61,96.75,95.13
96.18,98.10,98.19,94.41
97.65,99.72,101.01,96.97
100.62,100.00,100.62,99.03
99.67,100.45,100.86,98.97
99.39,96.80,99.39,96.73
97.91,96.72,97.91,96.16
97.50,98.76,99.50,96.25
98.12,99.30,99.75,96.80
101.00,101.59,101.99,98.46
101.69,101.70,102.98,100.23
102.01,102.80,102.80,101.00
102.99,102.63,103.82,101.34
111.00,116.25,126.14,111.00
115.51,114.38,117.90,113.78
116.32,112.82,116.32,111.43
112.09,107.42,113.15,106.65
107.98,105.20,108.78,104.45
105.73,110.01,110.10,105.73
110.58,108.48,110.86,107.54
109.99,106.44,109.99,105.61
106.65,105.88,106.65,104.94
105.67,107.02,107.44,105.00
107.68,106.48,108.35,106.09
106.03,106.27,106.93,102.88
105.92,107.46,107.46,105.06
107.79,104.14,107.79,104.12
105.39,102.43,105.59,102.10
103.49,99.46,103.49,98.70
98.81,104.01,104.24,98.81
102.99,102.75,104.82,101.81
103.43,108.24,108.40,103.08
109.31,108.27,109.61,104.99
108.56,111.34,111.55,108.55
110.75,112.26,112.26,109.34
112.87,111.77,114.52,108.84
111.02,110.95,111.82,110.00
110.55,113.14,114.54,110.55
113.69,110.85,113.70,109.31
107.96,110.08,112.80,107.96
108.82,106.26,108.82,106.15
107.00,106.16,107.97,105.49
104.52,107.10,107.20,103.59
106.65,108.14,108.49,105.57
109.03,110.89,112.35,108.85
110.62,108.03,110.62,107.00
108.69,107.04,109.02,106.61
106.37,106.61,107.26,104.13
107.81,105.51,107.81,105.32
105.10,106.30,106.71,104.51
105.70,103.25,105.94,103.23
102.00,102.01,102.91,100.47
101.18,102.11,104.05,100.82
99.97,101.25,103.35,99.46
100.62,99.83,101.85,99.12
101.25,102.08,102.25,100.60
102.48,104.74,105.89,101.49
103.85,102.73,104.84,102.73
103.86,102.18,104.54,101.89
103.27,103.28,105.66,102.50
102.62,102.98,103.52,102.00
103.68,100.08,104.55,100.04
102.08,101.67,102.74,100.47
99.53,99.76,100.45,99.37
100.08,100.00,101.10,98.03
101.62,100.79,102.19,100.15
100.92,101.43,101.93,98.82
101.73,103.06,105.00,101.23
102.25,100.44,102.81,99.90
100.18,97.77,103.16,97.50
97.40,98.38,99.88,95.46
98.65,96.34,98.65,95.73
96.32,92.92,96.32,92.20
92.47,94.37,95.38,90.78
93.76,97.42,98.08,93.41
95.18,92.56,96.44,92.30
93.03,91.89,93.45,90.92
91.50,91.68,93.74,91.40
90.58,88.73,90.83,88.73
88.52,90.12,90.68,88.52
90.85,89.42,90.85,88.48
89.32,87.37,90.05,87.37
87.04,87.19,88.16,84.80
87.88,87.33,87.88,85.80
87.65,85.92,87.74,85.63
85.41,86.38,87.05,84.75
87.01,88.16,88.39,83.84
89.68,87.17,89.68,86.41
87.31,87.44,88.91,84.56
86.50,85.73,87.22,84.38
85.86,84.12,85.86,82.87
82.41,81.60,82.41,79.05
81.78,80.02,81.78,79.58
79.44,81.21,81.80,75.41
82.40,88.23,88.51,82.40
94.61,83.21,99.00,81.57
83.00,85.95,86.96,81.14
87.57,85.35,88.32,85.10
86.24,85.99,87.00,83.82
85.47,86.57,87.73,84.75
86.44,88.44,88.93,85.55
88.21,88.80,89.81,87.94
88.51,89.00,90.72,87.86
89.17,92.06,92.56,88.93
92.13,91.45,93.23,91.33
91.38,87.94,92.38,87.65
89.28,87.95,89.28,86.05
86.10,85.06,87.21,84.92
84.88,87.32,89.52,84.88
87.26,87.08,88.16,85.83
86.04,86.85,86.96,84.63
89.40,89.97,90.48,88.25
91.19,93.32,93.33,89.95
92.79,96.30,97.06,92.79
95.64,94.50,95.64,93.02
93.09,93.58,93.96,93.03
93.40,94.61,94.96,92.49
95.10,90.51,95.46,90.02
90.44,92.04,92.51,88.02
90.02,93.23,93.67,90.02
93.47,94.66,95.89,93.47
94.49,93.70,94.67,92.57
94.71,93.84,96.25,93.78
93.38,94.65,95.17,93.38
94.59,94.01,95.11,94.00
93.07,92.62,94.54,92.62
90.60,90.40,91.67,88.76
90.54,88.22,90.54,87.58
89.27,88.46,91.63,88.26
90.15,91.02,91.66,87.26
91.83,93.48,94.12,90.23
93.67,93.12,93.85,91.79
93.26,93.40,94.49,91.85
93.40,89.81,93.40,89.70
89.46,88.15,91.65,87.43
89.24,92.75,92.75,88.42
92.80,93.71,94.58,88.42
94.60,95.19,96.09,93.71
94.26,95.71,96.97,94.20
94.50,94.23,95.60,92.42
94.00,91.56,94.35,91.43
92.02,93.48,93.85,91.56
94.44,93.91,95.36,93.35
93.38,94.44,94.55,92.73
93.79,95.98,96.58,93.01
96.00,99.02,99.02,94.58
98.31,98.08,98.89,97.30
98.95,97.95,100.09,97.00
97.94,95.83,97.94,95.57
96.50,96.24,96.85,95.57
95.71,97.48,97.95,95.61
97.61,96.30,97.61,95.50
96.30,96.10,96.68,95.80
96.20,96.07,96.38,95.81
95.67,94.38,95.72,93.65
95.66,93.05,95.66,93.00
94.14,101.23,101.25,94.14
103.84,99.27,103.84,99.00
100.02,100.76,101.26,98.12
101.34,101.85,102.16,100.07
102.54,103.47,103.59,102.54
103.02,105.68,105.68,103.02
106.17,106.06,107.04,104.18
105.53,106.43,107.36,104.87
106.79,107.67,107.67,106.00
106.65,105.08,106.81,104.15
104.75,104.66,105.81,103.59
104.31,103.93,105.30,102.89
103.21,103.46,104.00,102.56
105.49,102.90,105.49,101.78
103.28,105.08,105.34,102.31
105.37,105.62,106.76,105.22
106.07,106.28,106.60,105.40
106.60,109.38,109.83,106.31
108.60,106.36,108.60,106.04
106.80,107.10,108.02,106.14
107.27,107.84,108.81,106.01
107.71,108.02,109.82,106.54
108.40,110.24,110.59,107.50
111.08,109.44,111.08,108.92
109.22,108.35,109.68,107.51
108.17,108.00,108.93,107.00
107.87,108.67,108.89,107.77
109.75,111.21,111.26,108.82
110.95,110.63,111.93,110.56
110.42,112.65,112.83,110.17
113.33,116.58,116.87,113.33
116.25,117.34,117.62,115.07
117.00,116.93,117.36,116.15
115.98,113.73,116.00,113.53
113.43,113.56,115.01,112.54
112.97,114.15,114.45,112.50
114.52,113.54,114.78,113.08
114.98,114.65,115.01,113.71
114.60,112.66,115.38,111.52
112.42,115.54,115.60,112.15
116.00,115.51,117.50,114.87
116.00,114.35,116.78,113.75
114.00,115.10,115.80,108.75
115.56,116.39,116.89,114.45
114.75,112.51,115.90,112.30
114.47,116.26,119.20,113.70
115.43,118.05,118.75,115.43
118.93,118.62,120.34,118.15
117.56,120.29,121.99,117.56
120.56,117.59,120.56,116.50
112.74,111.09,114.49,98.74
110.97,112.11,112.67,110.00
113.17,114.65,114.99,112.38
114.00,112.65,114.00,110.00
112.55,114.68,115.70,111.71
115.36,116.01,116.20,114.31
116.00,115.34,116.16,112.88
115.54,117.74,118.11,114.70
117.45,116.75,117.47,115.35
118.00,120.08,120.80,116.82
120.65,120.01,120.65,118.66
120.91,119.04,120.91,118.41
119.11,119.32,119.95,117.43
119.47,119.41,120.90,118.47
119.62,117.57,119.62,116.37
118.50,118.38,118.50,116.58
118.28,117.43,118.28,113.64
118.30,117.43,118.30,115.54
118.09,117.05,118.09,116.20
117.00,116.49,117.70,116.20
116.45,116.78,117.37,115.61
117.47,117.48,117.48,114.48
117.78,120.81,120.99,116.65
120.81,118.97,120.96,118.15
118.73,121.01,121.21,117.75
120.98,120.92,121.98,119.14
120.85,121.93,125.37,120.85
122.50,121.91,122.77,120.27
121.85,121.98,123.00,121.25
121.76,122.00,123.25,121.76
122.52,126.81,126.89,122.52
129.12,131.83,132.73,128.91
131.69,131.91,132.49,130.16
132.03,132.89,133.57,130.86
131.63,131.26,132.47,130.12
130.55,129.30,130.87,128.81
130.13,131.49,131.59,129.07
131.68,131.65,132.03,129.46
131.98,131.53,132.78,130.45
131.72,131.83,132.44,130.89
131.26,130.31,131.26,128.92
129.52,128.71,129.97,128.42
129.43,131.71,131.74,129.00
131.22,130.79,131.77,128.52
131.29,131.49,131.72,129.52
131.77,130.65,131.92,130.08
130.64,130.76,132.00,130.05
131.56,132.40,132.86,129.95
132.25,134.09,134.77,130.99
134.17,134.53,134.98,132.11
134.50,131.37,134.50,130.80
131.37,134.46,134.78,131.37
134.78,134.23,135.11,131.71
132.70,131.95,133.00,130.04
132.45,135.99,136.00,132.45
135.44,137.02,137.78,134.26
137.20,137.62,139.21,136.26
138.65,138.34,139.93,137.60
138.69,142.36,143.58,138.34
142.96,144.17,145.38,142.96
145.05,147.91,148.61,145.05
147.62,145.44,148.20,145.28
146.51,151.82,152.68,146.51
151.85,155.30,156.61,151.85
155.21,151.96,156.07,151.57
151.64,148.02,152.60,147.51
148.94,151.10,151.29,148.81
151.42,146.90,152.36,146.61
148.03,147.48,150.00,146.02
147.50,150.81,153.69,147.50
151.07,150.71,152.31,148.50
149.26,150.90,151.80,148.90
151.28,155.55,155.65,151.00
156.01,156.85,158.85,156.01
157.79,158.82,160.01,157.53
159.20,158.25,159.20,157.18
159.55,158.70,159.55,158.25
158.50,157.75,158.85,157.53
157.61,157.55,158.43,156.26
157.50,158.67,158.68,157.50
159.44,163.56,163.79,158.66
164.08,166.21,166.68,164.04
165.38,171.30,172.28,165.11
172.84,176.42,177.21,172.83
177.93,177.50,178.70,177.04
176.90,173.68,177.64,172.58
174.00,174.35,175.69,173.95
175.46,176.02,176.89,173.45
176.60,177.42,177.90,176.41
175.32,175.75,177.90,175.32
175.18,173.54,177.55,173.00
172.76,170.15,173.80,167.85
170.97,168.07,173.29,167.45
167.91,164.06,168.14,161.71
163.78,165.41,165.50,163.38
162.38,164.36,164.93,161.56
165.38,166.69,166.84,163.89
167.47,164.49,167.47,164.33
164.80,167.05,168.68,164.65
167.05,167.24,168.50,166.05
166.01,163.90,166.01,162.49
162.92,156.09,162.92,155.10
157.16,157.07,158.87,155.72
155.43,153.36,157.98,150.24
152.93,152.55,153.88,152.14
152.24,156.25,156.26,150.40
155.35,152.93,156.24,151.74
153.64,157.86,158.74,153.64
157.25,158.65,159.67,156.63
158.61,156.47,160.91,155.91
156.01,157.24,158.30,154.76
156.64,159.39,161.36,156.64
159.71,160.70,160.77,157.52
159.63,151.37,159.63,151.00
152.59,156.06,156.67,152.59
158.47,162.66,164.33,156.10
162.32,165.84,167.30,160.06
166.62,171.75,172.82,165.95
171.43,170.97,172.32,169.05
171.25,168.33,171.63,167.31
168.97,168.80,169.50,168.25
168.25,166.98,168.45,166.73
166.33,168.31,169.37,166.00
167.64,168.50,168.93,166.68
168.50,167.66,168.63,167.27
168.91,171.70,172.41,167.63
171.68,175.36,178.00,171.68
175.91,174.00,177.24,171.12
174.00,170.61,176.15,170.01
169.62,170.36,170.36,166.43
169.85,170.75,171.25,168.04
172.48,177.16,178.97,171.01
175.54,172.00,176.02,170.75
172.90,175.04,175.99,172.30
172.25,172.40,175.40,167.90
172.88,175.16,176.56,168.43
174.89,172.51,177.58,170.10
171.48,170.73,173.15,169.62
177.00,172.36,182.77,167.04
172.92,171.90,174.71,171.00
171.86,171.13,171.86,169.36
168.72,169.52,171.09,166.85
170.60,169.91,171.90,169.72
170.96,173.41,174.88,170.43
174.48,171.27,175.92,170.00
173.35,170.94,174.63,169.30
170.70,173.15,173.90,170.65
172.62,169.35,173.15,168.31
167.60,163.99,168.15,162.75
