MAGS,Magal Security Systems Ltd. - Ordinary Shares,NASDAQ
3.88,3.91,3.91,3.85
3.88,3.90,3.90,3.81
3.91,3.85,3.91,3.83
3.85,3.92,3.95,3.85
3.89,3.89,3.94,3.89
3.89,3.90,3.90,3.89
3.99,3.84,3.99,3.83
3.83,3.83,3.84,3.83
3.83,3.84,3.84,3.75
3.92,3.91,3.92,3.86
3.92,3.82,3.92,3.75
3.84,3.85,3.85,3.82
3.89,3.84,3.90,3.78
3.72,3.69,3.72,3.69
3.70,3.81,3.81,3.70
3.81,3.81,3.81,3.81
3.81,3.81,3.81,3.81
3.81,3.81,3.81,3.81
3.70,3.70,3.74,3.70
3.69,3.69,3.70,3.69
3.58,3.63,3.63,3.58
3.54,3.54,3.62,3.53
3.65,3.55,3.65,3.53
3.55,3.55,3.55,3.55
3.55,3.51,3.59,3.51
3.55,3.58,3.64,3.55
3.63,3.33,3.64,3.32
3.33,3.33,3.41,3.08
2.93,3.28,3.32,2.92
3.21,3.28,3.30,3.01
3.21,3.26,3.26,2.60
3.08,3.12,3.26,2.96
2.89,2.71,2.89,2.70
2.84,2.65,2.84,2.50
2.70,2.60,2.78,2.60
2.76,2.70,2.79,2.65
2.72,2.69,2.73,2.65
2.75,2.68,2.77,2.67
2.73,2.57,2.73,2.55
2.62,2.61,2.67,2.61
2.70,2.59,2.72,2.55
2.54,2.55,2.69,2.54
2.57,2.57,2.63,2.55
2.58,2.55,2.60,2.55
2.56,2.56,2.65,2.55
2.59,2.57,2.60,2.57
2.51,2.58,2.58,2.50
2.53,2.55,2.55,2.50
2.55,2.55,2.55,2.55
2.60,2.86,2.86,2.52
2.86,2.77,2.93,2.77
2.71,2.85,3.00,2.71
2.91,2.84,3.00,2.65
2.90,2.86,2.91,2.80
2.82,2.87,2.87,2.80
2.81,2.80,2.81,2.80
2.80,2.76,2.81,2.75
2.75,2.79,2.81,2.75
2.76,2.73,2.76,2.70
2.72,2.92,2.98,2.72
2.81,2.78,2.91,2.74
2.78,2.86,2.86,2.77
2.86,2.76,2.88,2.76
2.91,2.81,2.91,2.78
2.85,2.73,2.86,2.72
2.85,2.85,2.87,2.83
2.88,2.85,2.88,2.82
2.90,2.89,2.90,2.89
2.87,2.80,2.87,2.76
2.76,2.77,2.88,2.70
2.87,2.72,3.27,2.70
2.75,2.74,2.75,2.74
2.80,2.82,2.87,2.72
2.79,2.78,2.79,2.78
2.80,2.85,2.85,2.79
2.82,2.89,2.89,2.70
2.91,2.82,2.91,2.80
2.80,2.82,2.82,2.80
2.82,2.82,2.82,2.82
3.27,2.97,3.28,2.82
3.00,2.90,3.00,2.88
2.98,2.94,2.98,2.94
2.98,2.99,3.00,2.96
2.99,3.01,3.01,2.99
3.01,3.01,3.01,3.01
2.90,2.95,3.00,2.89
2.99,2.99,2.99,2.99
2.91,2.91,2.91,2.91
2.79,2.79,2.79,2.79
2.79,2.79,3.01,2.79
2.84,2.75,2.84,2.75
2.80,2.80,2.80,2.80
2.81,2.74,2.81,2.74
2.76,2.75,2.76,2.75
2.75,2.72,2.75,2.72
2.72,2.72,2.72,2.72
2.74,2.74,2.74,2.74
2.71,2.71,2.71,2.71
2.71,2.71,2.71,2.71
2.78,2.80,2.80,2.77
2.80,2.80,2.80,2.80
2.81,2.81,2.81,2.81
2.90,2.90,2.90,2.90
2.90,2.85,2.90,2.85
2.82,2.89,2.89,2.75
2.90,2.90,2.90,2.90
2.76,2.77,2.77,2.76
2.77,2.73,2.77,2.72
2.73,2.73,2.73,2.73
2.81,2.81,2.81,2.80
2.91,2.86,2.91,2.86
2.90,2.88,2.90,2.88
2.89,2.81,2.90,2.80
2.93,2.82,2.93,2.82
2.77,2.89,2.89,2.77
2.95,2.99,2.99,2.91
3.02,2.94,3.03,2.94
2.97,2.90,2.99,2.90
2.90,3.04,3.06,2.89
3.00,3.04,3.04,3.00
3.03,3.04,3.04,3.00
3.02,3.02,3.02,3.01
3.01,3.00,3.01,3.00
3.09,3.10,3.10,3.00
3.20,3.12,3.22,3.07
3.15,3.18,3.19,3.10
3.20,3.10,3.27,3.10
3.25,3.24,3.25,3.19
3.25,3.08,3.26,3.00
3.11,3.22,3.22,3.08
3.16,3.20,3.22,3.07
3.16,3.14,3.20,3.14
3.14,3.14,3.14,3.14
3.06,3.23,3.23,3.06
3.31,3.20,3.56,3.15
3.17,3.15,3.22,3.00
3.15,3.12,3.18,3.04
3.12,3.06,3.17,3.03
3.06,3.06,3.06,3.06
3.10,3.12,3.19,3.10
3.13,3.16,3.18,3.11
3.16,3.16,3.20,3.04
3.16,3.11,3.16,3.01
3.02,3.11,3.17,3.02
3.15,3.18,3.18,3.15
3.19,3.19,3.19,3.07
3.18,3.18,3.18,3.18
3.19,3.08,3.21,3.01
3.13,3.10,3.15,3.06
3.07,3.12,3.12,3.07
3.08,3.09,3.09,3.08
3.06,3.03,3.06,3.01
3.07,3.10,3.10,3.01
3.01,3.05,3.05,3.00
3.10,3.01,3.10,3.00
3.05,3.08,3.14,3.05
3.10,3.10,3.10,3.10
3.03,3.06,3.06,3.00
3.01,2.99,3.01,2.89
3.55,3.21,3.68,3.06
3.30,3.20,3.30,3.07
3.06,3.21,3.30,3.01
3.21,3.21,3.21,3.21
3.35,3.18,3.35,3.08
3.15,3.14,3.24,3.08
3.15,3.16,3.35,3.10
3.09,3.10,3.29,3.01
3.12,3.03,3.12,3.02
3.12,3.12,3.12,3.04
3.06,3.09,3.10,3.04
3.02,3.05,3.08,3.00
3.09,3.05,3.09,3.01
3.16,3.04,3.17,3.01
3.33,3.21,3.45,3.20
3.20,3.20,3.21,3.10
3.19,3.05,3.25,3.05
3.17,3.08,3.17,3.06
3.19,3.09,3.19,3.08
3.09,3.09,3.12,3.05
3.03,3.05,3.13,3.01
3.02,3.09,3.09,3.01
3.09,3.05,3.11,3.02
3.01,3.03,3.04,3.01
3.03,3.02,3.03,3.00
3.12,3.17,3.19,3.07
3.02,3.08,3.15,3.02
3.06,3.11,3.12,3.06
3.21,3.16,3.24,3.13
3.26,3.17,3.29,3.13
3.21,3.25,3.29,3.21
3.19,3.25,3.29,3.19
3.24,3.08,3.24,3.08
3.08,3.07,3.13,3.05
3.26,3.07,3.26,3.07
3.07,3.08,3.10,3.07
3.25,3.08,3.25,3.08
3.08,3.10,3.10,3.08
3.11,3.11,3.22,3.10
3.12,3.02,3.16,3.02
3.01,3.00,3.06,2.95
3.06,2.97,3.08,2.97
2.91,2.99,3.05,2.91
3.01,2.96,3.01,2.93
2.93,2.96,2.97,2.90
3.01,2.93,3.01,2.63
2.88,2.82,2.92,2.80
2.76,2.76,2.83,2.75
2.80,2.87,2.88,2.80
2.82,2.97,2.98,2.81
2.97,2.97,2.97,2.97
2.90,2.90,2.90,2.90
2.96,2.93,2.96,2.93
3.00,2.96,3.02,2.96
2.91,2.90,3.15,2.90
2.96,2.90,2.96,2.85
2.90,2.88,2.90,2.85
2.92,3.05,3.05,2.92
3.01,2.96,3.01,2.94
2.93,2.95,3.01,2.93
2.95,2.94,2.95,2.94
2.94,2.94,2.94,2.94
2.93,2.96,2.96,2.90
2.97,2.97,2.97,2.97
2.99,3.04,3.04,2.99
3.02,3.00,3.02,3.00
2.99,2.99,3.00,2.95
3.00,3.00,3.00,2.95
3.05,3.05,3.05,3.04
3.05,3.01,3.10,3.01
3.01,3.07,3.07,2.95
3.07,3.07,3.07,3.07
3.13,3.02,3.13,3.00
3.06,3.05,3.07,2.99
3.10,3.05,3.10,3.00
3.01,3.05,3.05,3.01
3.10,2.93,3.10,2.92
2.93,3.03,3.06,2.92
2.94,3.03,3.03,2.94
3.07,3.00,3.07,3.00
2.96,3.03,3.08,2.96
3.03,3.03,3.07,3.03
3.15,3.09,3.23,3.05
3.06,3.12,3.15,3.06
3.13,3.09,3.13,3.09
3.10,3.08,3.10,3.08
3.08,3.06,3.09,3.06
3.07,3.11,3.11,3.06
3.12,3.11,3.15,3.08
3.07,3.07,3.07,3.07
3.00,3.06,3.07,3.00
3.06,3.06,3.06,3.06
3.02,3.04,3.04,3.00
3.04,3.04,3.04,3.04
3.04,3.01,3.07,3.01
3.02,3.02,3.11,3.02
3.02,3.02,3.08,3.01
3.10,3.07,3.10,3.04
3.07,3.08,3.10,3.07
3.12,3.08,3.12,3.06
3.08,3.01,3.08,3.00
3.02,2.96,3.02,2.96
3.03,3.03,3.03,3.03
2.97,3.05,3.05,2.97
3.02,3.05,3.14,3.01
3.15,3.08,3.15,3.05
3.11,3.13,3.14,3.11
3.23,3.15,3.23,3.11
3.20,3.17,3.20,3.15
3.17,3.15,3.18,3.15
3.18,3.20,3.23,3.17
3.20,3.21,3.21,3.19
3.23,3.24,3.24,3.20
3.20,3.24,3.24,3.07
3.22,3.19,3.22,3.16
3.14,3.11,3.14,3.11
3.11,3.10,3.15,3.10
3.13,3.11,3.13,3.11
3.08,3.13,3.13,3.08
3.11,3.08,3.15,3.08
3.10,3.02,3.11,3.02
3.11,3.05,3.11,3.04
3.00,3.10,3.10,3.00
3.08,3.08,3.12,3.08
3.08,3.08,3.08,3.08
3.03,3.04,3.05,2.95
2.99,2.97,2.99,2.97
2.98,3.06,3.07,2.98
3.01,3.03,3.07,3.01
3.15,3.08,3.15,3.05
3.56,3.35,3.56,3.21
3.34,3.21,3.34,3.19
3.29,3.19,3.29,3.19
3.14,3.12,3.19,3.10
3.12,3.15,3.16,3.10
3.15,3.15,3.18,3.10
3.18,3.13,3.18,3.12
3.14,3.13,3.14,3.09
3.11,3.10,3.11,3.10
3.16,3.14,3.17,3.10
3.14,3.14,3.15,3.11
3.07,3.08,3.14,3.04
3.04,3.04,3.10,3.04
3.01,3.07,3.09,3.00
3.05,3.03,3.07,3.01
3.03,3.03,3.03,3.03
3.03,3.03,3.03,3.03
3.01,3.03,3.05,3.01
3.00,3.03,3.03,2.94
3.03,3.05,3.07,3.03
3.05,3.05,3.06,3.03
3.05,3.05,3.07,3.05
3.09,3.04,3.09,3.04
3.06,3.04,3.06,2.99
3.06,3.06,3.06,3.06
3.05,3.00,3.06,3.00
3.01,3.02,3.06,3.01
3.01,3.04,3.06,3.01
3.01,3.02,3.03,2.95
2.97,3.00,3.05,2.95
3.06,3.08,3.09,3.03
3.16,3.06,3.16,3.06
3.05,2.98,3.09,2.98
3.00,3.00,3.02,2.97
3.00,3.00,3.03,3.00
2.95,2.97,3.02,2.90
2.98,2.98,3.03,2.98
2.98,2.98,2.98,2.98
3.00,3.00,3.03,3.00
3.00,2.98,3.00,2.96
3.00,3.00,3.00,3.00
3.00,2.91,3.00,2.82
2.98,2.91,2.98,2.85
3.00,3.00,3.00,3.00
2.95,2.82,2.95,2.81
2.73,2.74,2.79,2.67
2.65,2.59,2.65,2.44
2.48,2.62,2.71,2.39
2.88,2.38,2.88,2.37
2.60,2.52,2.60,2.39
2.70,2.70,2.71,2.68
2.72,2.89,2.89,2.72
2.92,2.92,2.95,2.92
2.86,2.95,3.03,2.86
2.95,2.95,2.95,2.95
2.95,2.86,2.95,2.85
2.90,2.90,2.90,2.88
2.90,2.80,2.90,2.80
2.85,2.85,2.94,2.85
2.85,2.90,2.92,2.80
2.87,2.92,2.92,2.87
2.92,2.92,2.92,2.92
2.95,2.94,2.95,2.94
2.94,2.90,2.95,2.88
2.95,2.94,2.95,2.88
2.95,2.96,2.99,2.81
2.96,2.98,2.98,2.96
2.98,2.88,2.98,2.88
2.86,2.86,2.87,2.80
2.86,2.85,2.87,2.83
2.79,2.65,2.79,2.58
2.60,2.61,2.73,2.60
2.58,2.41,2.60,2.40
2.47,2.32,2.47,2.32
2.30,2.20,2.31,2.18
2.29,2.27,2.33,2.27
2.32,2.31,2.32,2.29
2.30,2.38,2.38,2.30
2.34,2.31,2.34,2.30
2.34,2.30,2.34,2.30
2.29,2.29,2.29,2.29
2.28,2.26,2.28,2.20
2.30,2.40,2.45,2.30
2.45,2.42,2.52,2.40
2.45,2.42,2.47,2.42
2.42,2.42,2.42,2.42
2.35,2.32,2.35,2.32
2.35,2.36,2.36,2.32
2.39,2.39,2.39,2.39
2.38,2.40,2.40,2.33
2.45,2.38,2.45,2.32
2.38,2.30,2.38,2.30
2.35,2.40,2.41,2.35
2.36,2.40,2.40,2.36
2.36,2.36,2.36,2.36
2.36,2.36,2.36,2.36
2.40,2.40,2.40,2.35
2.40,2.37,2.40,2.35
2.35,2.35,2.36,2.35
2.37,2.36,2.38,2.35
2.36,2.36,2.36,2.36
2.35,2.37,2.50,2.35
2.37,2.37,2.38,2.37
2.36,2.36,2.40,2.35
2.40,2.38,2.40,2.38
2.42,2.50,2.50,2.42
2.54,2.40,2.54,2.40
2.40,2.42,2.42,2.40
2.40,2.41,2.42,2.40
2.39,2.49,2.49,2.39
2.45,2.39,2.45,2.39
2.38,2.39,2.39,2.38
2.38,2.38,2.38,2.38
2.38,2.46,2.46,2.38
2.44,2.38,2.45,2.38
3.08,2.46,3.08,2.40
2.50,2.49,2.52,2.47
2.50,2.49,2.50,2.49
2.55,2.55,2.56,2.54
2.53,2.50,2.53,2.50
2.53,2.61,2.61,2.52
2.63,2.62,2.63,2.62
2.62,2.62,2.65,2.62
2.64,2.63,2.64,2.63
2.63,2.62,2.64,2.62
2.62,2.62,2.62,2.62
2.65,2.65,2.68,2.65
3.60,4.43,4.84,3.20
4.61,4.22,4.61,3.98
4.24,5.08,5.09,4.06
5.01,4.56,5.10,4.47
4.50,4.02,4.55,3.91
4.18,4.29,4.40,3.74
4.20,4.36,4.74,4.18
4.35,4.12,4.35,3.89
4.04,4.16,4.37,4.04
4.16,4.54,4.54,4.03
4.50,4.18,4.80,4.11
4.15,4.14,4.50,3.94
4.12,3.60,4.20,3.52
3.66,3.53,3.79,3.30
3.65,3.60,3.87,3.55
3.70,3.52,3.77,3.50
3.62,3.55,3.64,3.42
3.54,3.61,3.80,3.54
3.61,3.65,3.72,3.57
3.74,3.79,3.85,3.66
3.80,3.87,3.90,3.65
3.81,3.66,3.81,3.59
3.63,3.74,3.75,3.60
3.73,4.23,4.29,3.51
4.23,4.19,4.30,4.05
4.18,4.03,4.29,3.92
4.05,4.35,4.45,3.90
4.41,4.32,4.49,4.11
4.33,4.46,4.60,4.32
4.44,4.23,4.46,4.23
4.35,4.51,4.68,4.24
4.39,4.16,4.41,4.12
4.19,4.24,4.27,3.91
4.48,4.26,4.48,4.25
4.15,4.33,4.33,4.15
4.21,4.30,4.30,4.15
4.30,4.17,4.30,4.11
4.15,4.11,4.15,4.04
4.12,4.06,4.15,3.96
4.03,4.17,4.25,4.03
4.10,4.12,4.20,4.08
4.07,4.14,4.40,4.04
4.08,4.02,4.09,3.96
4.00,4.09,4.09,4.00
4.05,4.10,4.12,4.04
4.08,3.87,4.15,3.74
3.90,4.08,4.15,3.89
4.02,4.43,4.50,4.02
4.52,4.54,4.54,4.30
4.49,4.44,4.57,4.35
4.32,4.36,4.40,4.32
4.37,4.41,4.43,4.06
4.41,4.24,4.41,4.18
4.23,4.02,4.29,4.00
4.10,4.17,4.20,4.10
4.14,4.14,4.14,3.96
4.20,4.16,4.26,4.10
4.20,4.11,4.20,4.08
4.12,4.15,4.18,4.06
4.18,4.16,4.18,4.08
4.19,4.20,4.20,4.04
4.20,4.79,4.90,4.20
4.80,4.60,4.80,4.25
4.55,4.50,4.55,4.32
4.51,4.83,4.88,4.42
4.83,4.56,4.83,4.45
4.49,4.32,4.56,4.14
4.31,4.29,4.34,4.25
4.22,4.17,4.35,4.17
4.18,4.37,4.57,4.18
4.41,4.21,4.44,4.14
4.20,4.10,4.46,4.02
4.02,4.01,4.05,3.82
4.00,4.05,4.16,3.94
4.13,4.05,4.13,4.00
3.94,4.02,4.18,3.94
4.00,4.07,4.10,3.98
4.30,4.00,4.30,3.99
4.06,3.98,4.06,3.88
3.94,4.02,4.02,3.94
4.00,4.15,4.19,3.96
4.20,4.37,4.42,4.19
4.31,4.49,4.60,4.22
4.60,4.47,4.60,4.32
4.44,4.65,4.72,4.36
4.75,4.79,4.80,4.72
4.78,4.56,4.90,4.52
5.55,5.43,6.46,5.33
5.33,5.13,5.66,4.95
5.07,5.48,5.50,4.94
5.42,5.17,5.74,5.02
5.03,5.25,5.34,4.98
5.33,5.57,5.75,5.31
5.65,5.50,5.70,5.35
5.45,5.64,5.68,5.15
5.54,5.68,5.85,5.50
5.75,5.32,6.14,5.27
5.30,5.27,5.47,5.23
5.30,5.21,5.50,5.15
5.18,5.13,5.28,5.02
5.19,5.30,5.35,5.03
5.32,5.30,5.48,5.15
5.34,5.14,5.37,5.03
5.25,5.17,5.27,5.06
5.09,5.25,5.25,5.07
5.31,5.14,5.31,5.10
5.20,5.09,5.20,5.05
5.17,5.11,5.20,5.04
5.16,4.78,5.16,4.78
4.82,4.79,4.94,4.78
4.75,4.74,4.75,4.50
4.71,4.92,4.94,4.64
4.93,4.88,5.03,4.87
4.87,4.59,4.89,4.46
4.54,4.61,4.75,4.45
4.61,4.50,4.62,4.44
4.53,4.49,4.59,4.45
4.57,4.46,4.63,4.45
4.51,4.45,4.51,4.29
4.30,4.21,4.42,4.19
4.25,4.40,4.46,4.20
4.30,4.34,4.35,4.20
4.33,4.44,4.46,4.26
4.33,4.10,4.46,4.08
4.23,4.55,4.63,4.16
4.17,3.80,4.20,3.60
3.99,3.86,3.99,3.79
3.82,3.56,3.82,3.50
3.54,3.44,3.60,3.40
3.45,3.54,3.54,3.45
3.53,3.56,3.63,3.06
3.55,3.42,3.58,3.41
3.47,3.50,3.57,3.47
3.51,3.40,3.55,3.32
3.49,3.40,3.49,3.34
3.38,3.26,3.38,3.26
3.35,3.36,3.43,3.33
3.35,3.48,3.63,3.35
3.60,3.57,3.61,3.42
3.63,3.65,3.70,3.51
3.70,3.65,3.80,3.64
3.70,3.65,3.76,3.63
3.61,3.66,3.71,3.58
3.70,3.56,3.76,3.56
3.53,3.45,3.77,3.35
3.63,3.50,3.64,3.50
3.55,3.68,3.70,3.55
3.77,3.81,3.83,3.71
3.89,3.89,3.98,3.85
3.99,3.99,4.08,3.98
3.99,4.00,4.02,3.95
4.01,3.98,4.03,3.98
4.00,3.95,4.09,3.89
4.00,3.73,4.01,3.73
3.81,3.77,3.85,3.73
3.80,3.60,3.83,3.59
3.70,3.81,3.85,3.70
3.85,3.70,3.86,3.70
3.77,3.66,3.78,3.66
3.65,3.67,3.68,3.61
3.71,3.67,3.76,3.61
3.63,3.56,3.63,3.56
3.54,3.41,3.59,3.40
3.44,3.40,3.47,3.22
3.39,3.30,3.41,3.17
3.39,3.54,3.57,3.36
3.53,3.39,3.60,3.39
3.45,3.54,3.59,3.30
3.52,3.70,3.73,3.50
3.53,3.61,3.74,3.53
3.59,3.50,3.69,3.50
3.69,3.56,3.69,3.55
3.53,3.66,3.69,3.50
3.65,3.64,3.67,3.48
3.64,3.78,3.80,3.64
4.38,3.89,4.38,3.81
3.93,3.95,4.10,3.91
3.91,3.75,4.05,3.70
3.81,3.80,3.99,3.80
3.93,3.87,4.07,3.85
3.87,3.89,4.00,3.86
3.94,3.90,3.94,3.89
3.89,3.87,3.94,3.87
3.97,3.89,3.98,3.85
3.90,3.85,3.90,3.85
3.89,3.86,3.94,3.85
3.86,3.85,3.92,3.85
3.85,3.78,3.86,3.78
3.78,3.78,3.81,3.78
3.78,3.81,3.94,3.76
3.80,3.70,3.82,3.70
3.75,3.75,3.77,3.73
3.74,3.72,3.75,3.71
3.72,3.75,3.77,3.63
3.79,3.70,3.79,3.70
3.70,3.73,3.81,3.68
3.72,3.70,3.75,3.70
3.84,3.80,3.90,3.71
3.80,3.75,3.90,3.70
3.75,3.76,3.79,3.75
3.86,3.80,3.88,3.71
3.75,3.67,3.75,3.65
3.65,3.58,3.69,3.54
3.60,3.81,3.81,3.60
3.68,3.70,3.75,3.68
3.72,3.69,3.75,3.69
3.68,3.71,3.71,3.68
3.75,3.67,3.90,3.67
3.58,3.55,3.59,3.55
3.58,3.58,3.65,3.50
3.64,3.79,3.85,3.64
3.79,3.79,3.79,3.79
3.71,3.75,3.79,3.70
3.75,3.75,3.75,3.67
3.75,3.74,3.75,3.65
3.67,3.81,3.81,3.64
3.81,3.70,3.81,3.67
3.70,3.70,3.70,3.65
3.66,3.65,3.70,3.65
3.66,3.64,3.67,3.63
3.65,3.63,3.65,3.63
3.69,3.63,3.69,3.61
3.61,3.57,3.62,3.51
3.65,3.66,3.75,3.65
3.67,3.66,3.67,3.65
3.67,3.66,3.75,3.66
3.66,3.67,3.75,3.66
3.66,3.70,3.74,3.66
3.73,3.67,3.73,3.67
3.71,3.67,3.71,3.67
3.70,3.68,3.75,3.67
3.70,3.71,3.75,3.70
3.70,3.71,3.72,3.70
3.72,3.73,3.75,3.70
3.70,3.68,3.73,3.67
3.72,3.68,3.80,3.60
3.65,3.58,3.66,3.50
3.57,3.47,3.57,3.47
3.56,3.49,3.56,3.48
3.47,3.31,3.53,3.31
3.39,3.60,3.65,3.39
3.68,3.97,4.00,3.60
3.95,3.72,4.05,3.72
3.75,4.01,4.09,3.64
4.09,3.70,4.09,3.70
3.76,3.82,3.82,3.76
3.81,3.89,3.91,3.75
3.95,4.00,4.09,3.95
4.06,4.05,4.14,3.90
4.13,3.99,4.13,3.97
4.03,3.87,4.03,3.72
4.01,3.57,4.01,3.35
3.60,3.72,3.76,3.60
3.89,3.88,4.01,3.73
3.79,4.05,4.05,3.79
4.08,4.01,4.08,3.99
4.00,3.95,4.00,3.90
4.00,4.00,4.02,4.00
4.02,4.01,4.03,3.95
4.06,4.00,4.10,4.00
3.98,3.85,4.01,3.77
3.80,4.08,4.08,3.80
4.05,3.97,4.07,3.97
3.98,3.94,4.04,3.80
3.95,3.99,4.03,3.95
4.13,4.37,4.59,4.13
4.40,4.40,4.51,4.32
4.42,4.24,4.42,4.21
4.20,4.24,4.40,4.20
4.20,4.20,4.30,4.05
4.24,4.16,4.24,4.10
4.16,4.08,4.16,4.05
4.07,4.09,4.11,4.07
4.04,4.11,4.20,4.01
4.15,4.20,4.20,4.11
4.20,4.16,4.23,4.16
4.17,4.11,4.17,4.07
4.14,4.38,4.38,4.09
4.38,4.33,4.38,4.30
4.37,4.24,4.37,4.24
4.31,4.31,4.31,4.22
4.24,4.11,4.24,4.10
4.11,4.20,4.21,4.11
4.25,4.41,4.44,4.25
4.45,4.37,4.45,4.35
4.45,4.37,4.48,4.37
4.49,4.50,4.57,4.41
4.50,4.49,4.55,4.46
4.46,4.30,4.46,4.25
4.26,4.28,4.31,4.26
4.28,4.28,4.41,4.26
4.26,4.26,4.30,4.15
4.29,4.26,4.39,4.11
4.22,4.39,4.39,4.22
4.31,4.25,4.44,4.25
4.35,4.25,4.35,4.23
4.25,4.30,4.45,4.21
4.35,4.53,4.53,4.35
4.50,4.50,4.50,4.50
4.47,4.50,4.51,4.47
4.55,4.78,4.80,4.49
4.83,4.74,4.99,4.58
4.79,4.79,4.97,4.75
4.85,4.90,5.09,4.85
4.83,4.82,4.91,4.80
4.78,4.77,4.99,4.75
4.77,4.93,4.93,4.77
4.80,4.80,4.90,4.80
4.84,4.63,4.84,4.59
4.57,4.50,4.57,4.46
4.65,4.53,4.71,4.51
4.60,4.53,4.63,4.53
4.46,4.51,4.51,4.46
4.51,4.51,4.73,4.50
4.59,4.84,4.97,4.59
4.83,4.75,4.94,4.65
4.77,4.54,4.77,4.39
4.64,4.51,4.64,4.43
4.51,4.50,4.58,4.41
4.50,4.60,4.60,4.47
4.53,4.69,4.73,4.50
4.63,4.65,4.77,4.43
4.69,4.51,4.70,4.43
4.66,4.51,4.66,4.50
4.57,4.48,4.57,4.43
4.48,4.29,4.52,4.27
4.28,4.30,4.30,4.28
4.35,4.35,4.38,4.27
4.30,4.29,4.30,4.25
4.15,4.20,4.29,4.01
4.16,4.11,4.19,4.10
4.15,4.16,4.23,4.15
4.15,4.12,4.20,4.12
4.12,4.15,4.15,4.00
4.15,4.00,4.15,3.97
4.03,4.01,4.09,3.86
4.05,4.05,4.15,4.05
4.06,4.15,4.17,3.93
4.17,4.29,4.34,4.05
4.29,4.18,4.29,4.15
4.22,4.28,4.30,4.17
4.28,4.25,4.28,4.25
4.25,4.15,4.27,4.08
4.07,4.90,5.05,4.07
4.90,4.39,4.90,4.29
4.22,4.28,4.49,4.15
4.35,4.15,4.47,4.10
4.13,4.04,4.15,3.93
4.06,4.03,4.15,3.93
4.09,4.27,4.28,3.90
4.24,4.08,4.24,3.97
3.96,4.01,4.13,3.96
4.09,3.96,4.11,3.96
3.95,4.04,4.05,3.95
4.00,3.98,4.16,3.98
4.00,4.11,4.16,3.85
4.10,4.02,4.11,3.89
4.05,3.92,4.05,3.88
3.92,4.04,4.06,3.92
4.09,3.95,4.09,3.94
3.95,3.98,4.09,3.95
4.02,3.96,4.14,3.96
3.95,3.95,4.21,3.95
4.02,3.95,4.09,3.95
3.95,4.04,4.25,3.87
3.98,3.95,4.00,3.95
4.06,3.92,4.11,3.88
4.03,3.96,4.03,3.95
4.00,3.96,4.00,3.95
3.99,3.96,3.99,3.96
4.00,4.12,4.14,3.95
4.01,3.98,4.04,3.90
3.94,3.92,4.02,3.88
3.99,3.99,4.00,3.95
3.87,3.85,3.87,3.66
3.80,3.67,3.81,3.63
3.70,3.72,3.72,3.66
3.80,3.78,3.80,3.55
3.73,3.86,3.87,3.61
3.86,3.70,3.88,3.65
3.70,3.62,3.70,3.62
3.63,3.62,3.63,3.60
3.70,3.70,3.71,3.60
3.69,3.63,3.69,3.62
3.60,3.65,3.68,3.59
3.60,3.78,3.78,3.60
3.64,3.77,3.82,3.64
3.77,3.71,3.77,3.62
3.67,3.67,3.67,3.66
