CHRW,C.H. Robinson Worldwide,NASDAQ
56.50,57.74,57.81,56.49
58.01,58.93,59.76,57.86
58.85,58.38,58.95,57.84
58.06,58.63,58.86,58.06
58.92,58.90,59.31,58.48
57.00,60.00,61.27,56.99
60.11,61.46,62.15,59.51
61.57,61.58,61.74,60.96
61.50,61.15,61.71,61.03
61.07,60.27,61.47,60.07
61.00,60.56,61.03,60.33
60.87,61.15,61.46,60.81
60.91,60.32,61.62,60.30
60.44,61.77,61.89,60.22
61.44,60.70,61.48,60.12
60.60,60.71,61.52,60.31
60.74,59.16,61.24,57.25
59.15,57.83,59.42,57.60
59.27,60.68,60.68,59.00
59.97,60.68,61.34,59.97
60.68,61.22,61.50,60.49
60.66,60.60,61.37,60.56
59.98,59.61,60.25,59.07
59.87,59.76,60.35,58.62
60.10,59.22,60.62,59.00
59.00,59.34,59.71,58.28
58.35,57.03,58.79,56.96
56.30,58.18,58.24,56.26
57.92,57.33,58.38,57.31
56.56,57.40,57.49,55.61
57.41,57.36,58.31,57.18
58.17,58.70,58.73,57.78
58.70,58.11,58.73,57.48
57.85,57.08,58.36,57.01
56.50,58.12,58.12,56.50
58.33,58.04,58.72,57.41
57.17,55.90,57.23,55.67
55.93,54.74,56.18,54.65
54.70,54.88,55.09,53.89
54.91,55.03,56.25,54.86
56.75,57.44,57.70,56.49
56.75,58.21,58.25,56.47
58.52,58.70,59.27,58.36
58.73,59.32,59.42,58.54
59.09,59.28,59.60,58.81
59.60,59.34,59.64,58.47
59.44,59.06,59.53,58.87
59.56,59.11,59.75,58.68
59.25,57.59,59.38,57.38
57.58,57.46,57.96,57.00
57.14,56.99,57.88,56.82
57.08,57.23,57.35,56.61
57.45,56.90,57.62,56.63
56.48,55.94,56.63,55.52
55.85,55.66,56.94,55.47
55.57,55.72,56.27,54.52
55.74,55.05,55.98,54.50
55.68,55.64,56.02,55.09
55.64,56.40,56.62,55.30
56.55,56.79,57.05,56.31
56.78,57.06,57.35,56.68
56.79,56.96,57.61,56.59
57.70,58.01,58.20,57.41
58.25,58.75,59.14,58.19
58.65,58.58,58.92,57.71
58.51,57.45,58.64,57.36
57.55,58.25,58.46,57.20
57.52,58.65,58.71,57.01
58.69,57.61,58.87,57.23
58.19,59.40,59.50,58.19
59.29,60.88,60.99,58.69
61.05,62.10,62.42,61.00
62.17,61.20,62.46,61.05
63.95,64.87,65.45,63.54
65.15,64.63,65.44,63.99
64.10,65.20,65.53,63.80
65.35,66.22,66.28,65.02
66.07,66.43,66.67,65.42
66.56,67.22,67.37,66.29
67.10,67.35,67.53,66.65
66.59,66.89,67.59,66.31
67.37,67.77,68.00,67.23
67.00,66.20,67.46,65.72
65.44,64.98,65.54,64.21
64.32,64.89,65.19,64.07
64.54,64.60,64.98,64.30
64.31,64.86,65.18,63.82
65.47,66.29,66.81,65.09
65.56,65.98,66.50,65.19
65.65,65.19,65.70,64.24
65.09,66.16,66.36,64.62
66.64,65.86,67.30,65.83
65.42,65.14,65.68,64.63
64.84,65.12,65.42,64.68
65.46,64.91,66.05,64.89
65.27,65.92,66.40,64.61
65.61,64.90,65.97,64.87
64.51,64.99,65.46,64.39
65.70,66.37,66.77,65.21
66.63,67.23,67.31,66.60
67.94,67.56,68.21,67.31
67.45,67.06,67.68,66.79
67.29,67.67,68.42,67.19
68.12,67.69,68.34,67.47
67.92,67.50,68.05,67.32
68.06,68.00,68.39,67.49
67.71,68.00,68.41,67.39
67.85,68.21,68.38,67.44
67.86,67.84,68.10,67.51
68.24,68.45,68.59,67.86
68.79,68.79,69.58,68.66
68.94,68.84,69.49,68.69
68.85,68.08,69.39,67.73
67.60,67.11,68.14,66.76
67.82,68.60,68.91,67.78
68.60,68.69,69.07,68.28
68.94,69.41,69.93,68.41
69.14,69.57,69.59,68.56
69.78,69.92,70.87,69.42
70.41,69.64,70.58,69.14
69.75,69.54,69.87,68.74
69.95,70.89,72.34,69.95
71.05,71.10,71.82,70.99
71.16,71.10,71.31,70.53
71.22,71.21,71.89,70.55
71.04,71.12,71.59,70.55
71.10,70.63,71.25,70.21
70.73,71.50,72.00,70.70
70.86,72.06,72.39,70.86
72.62,72.24,72.99,72.19
72.13,71.76,72.13,71.44
71.29,71.70,72.24,70.96
71.90,72.36,72.83,71.80
72.70,72.40,72.72,71.74
72.53,72.52,72.55,71.85
72.72,72.78,73.32,72.62
72.44,71.98,73.13,71.83
69.58,71.49,71.71,69.15
71.05,70.18,71.33,69.87
70.05,70.48,70.87,69.95
70.57,70.49,71.39,70.29
71.04,71.09,71.35,70.68
71.05,70.54,71.24,69.71
71.18,72.25,72.39,70.92
72.30,71.79,72.46,71.41
71.37,72.17,72.31,71.32
72.17,71.19,72.32,70.86
71.37,70.69,71.55,70.41
70.31,71.80,71.89,70.25
71.33,71.20,71.70,70.72
71.61,71.40,72.08,71.24
71.06,70.82,71.24,70.16
70.69,71.08,71.25,70.29
71.59,72.25,72.92,71.32
72.30,72.85,72.85,72.07
72.44,72.88,73.23,72.08
72.27,72.33,72.40,71.70
72.81,74.22,74.58,72.70
73.86,74.11,74.38,73.70
73.95,73.52,74.07,72.94
72.95,73.71,74.16,72.87
74.53,75.06,75.50,74.27
75.05,75.81,75.82,74.85
75.65,76.35,76.42,75.46
76.32,75.94,76.48,75.75
76.46,76.43,76.75,76.05
76.44,77.15,77.18,76.18
77.33,77.76,78.06,77.08
77.95,78.12,78.21,77.24
78.36,78.07,78.49,77.71
78.34,78.46,78.71,78.02
78.29,78.52,79.21,78.21
78.37,79.20,79.56,78.11
78.60,79.00,79.48,78.11
79.14,79.00,79.29,78.25
79.28,80.03,80.61,79.11
79.89,79.91,80.24,79.56
79.68,79.71,80.07,79.52
79.50,79.76,80.06,79.30
79.76,79.69,80.23,79.21
80.00,80.50,81.02,79.62
80.50,80.08,80.63,79.73
79.92,80.19,80.49,79.64
80.91,81.51,82.05,80.91
80.32,80.45,80.87,80.05
79.21,79.88,80.49,79.16
79.79,79.64,80.26,79.19
79.91,79.56,80.35,79.16
79.24,79.58,79.83,78.70
79.71,79.51,80.09,78.94
79.91,79.75,79.95,79.54
79.62,79.38,79.96,79.12
79.32,78.88,79.66,78.82
79.06,79.33,79.49,78.97
79.01,77.72,79.01,77.39
77.82,77.80,78.50,77.42
78.05,77.62,78.05,77.21
77.74,77.75,78.12,77.29
77.36,77.83,77.88,76.82
77.85,78.12,78.37,77.46
77.85,77.74,78.14,77.66
77.98,76.03,78.08,75.90
76.11,77.09,77.28,75.85
77.43,78.20,78.64,77.27
75.20,73.74,78.20,73.70
73.60,74.44,75.07,73.57
74.40,74.06,74.40,73.31
74.05,74.11,74.37,73.39
74.02,73.57,74.08,73.01
73.31,73.92,74.08,73.08
73.35,74.60,74.76,73.35
74.11,75.07,75.37,73.90
75.08,73.91,75.47,73.87
73.94,74.05,74.37,73.53
74.10,74.92,75.51,73.88
74.64,75.01,75.45,74.52
75.01,74.99,75.44,74.79
74.45,71.71,74.50,71.53
71.73,70.70,72.13,70.33
70.92,71.81,72.25,70.84
71.98,72.55,72.60,71.45
72.71,72.39,72.90,72.18
72.66,70.87,72.66,70.32
70.53,71.41,71.86,70.46
71.95,73.86,73.92,71.93
73.64,72.84,73.78,72.14
73.28,72.22,73.28,70.92
72.25,73.34,73.68,72.08
73.05,73.61,73.87,72.58
72.89,72.70,73.64,71.72
72.56,72.75,73.25,71.84
72.27,72.32,72.51,71.48
70.56,71.75,72.13,70.54
71.41,71.09,72.06,70.60
72.49,71.79,72.97,71.34
72.62,72.66,73.03,72.27
73.55,73.67,73.94,73.33
73.05,71.55,73.73,70.94
71.44,71.42,71.61,70.84
71.72,72.20,72.31,71.39
72.51,72.52,72.90,71.89
72.49,72.65,72.81,72.33
72.60,73.10,73.29,72.12
73.42,73.11,73.79,73.02
73.07,74.13,74.20,72.82
74.55,74.90,75.37,74.52
75.28,75.64,75.81,74.88
75.45,75.43,75.92,74.81
75.93,75.62,76.05,75.08
75.36,74.77,75.62,74.28
75.00,74.28,75.07,73.74
74.43,73.91,74.59,73.30
73.54,74.24,74.51,73.45
74.65,74.37,74.75,73.90
73.94,75.39,75.60,73.80
76.15,76.64,76.89,75.85
76.02,75.88,76.06,74.92
76.04,76.12,76.18,75.53
76.80,77.11,77.91,76.47
77.20,78.04,78.25,77.19
78.00,78.51,78.70,77.59
78.82,79.24,79.71,78.64
79.07,80.09,80.31,78.68
80.05,80.95,81.14,79.95
81.00,80.18,81.53,80.10
80.77,80.15,80.98,79.64
80.20,79.39,80.60,79.06
79.20,78.85,79.74,78.61
78.57,79.26,80.10,78.27
80.18,79.53,80.36,79.42
79.45,80.31,80.43,79.26
80.59,80.95,81.13,80.30
80.86,80.43,81.04,80.16
80.22,80.68,80.82,79.52
80.86,79.77,80.94,79.44
80.30,79.80,80.30,79.01
79.48,79.22,79.63,78.67
79.29,80.24,80.46,78.60
80.50,80.80,81.21,80.12
80.73,80.57,81.00,80.23
79.56,79.98,80.16,79.10
80.06,79.57,80.18,79.22
79.51,79.62,79.91,79.10
79.53,79.99,80.22,79.01
79.96,79.92,80.42,79.63
80.59,80.22,80.90,79.71
79.95,78.22,80.52,78.22
78.38,78.86,79.21,78.19
78.19,77.76,78.25,77.34
77.20,76.97,77.79,76.90
77.14,76.83,77.48,76.73
76.82,76.30,76.98,76.04
76.36,76.42,76.72,76.07
76.31,75.83,76.38,75.75
75.78,76.11,76.39,75.67
76.73,77.38,77.54,76.49
76.62,76.44,77.00,76.14
76.44,76.23,77.00,76.06
77.26,76.88,77.47,76.61
76.80,77.30,77.83,76.65
77.67,77.96,78.20,77.25
77.80,77.60,78.38,77.51
76.73,77.41,77.58,76.17
77.33,76.09,77.71,76.06
75.95,76.95,76.99,75.85
77.04,77.98,78.22,76.83
78.28,78.09,78.58,77.77
78.19,78.84,79.69,78.01
79.10,80.62,80.99,78.84
80.80,80.47,80.94,80.10
80.50,81.16,81.45,80.37
81.67,82.10,82.61,81.34
81.07,81.48,81.83,81.01
80.51,80.45,80.93,79.85
80.47,79.51,80.62,79.43
79.99,79.60,80.50,79.36
79.62,78.92,80.02,78.49
79.06,78.56,79.16,77.78
78.31,78.07,78.44,77.66
78.64,79.30,79.45,78.54
79.01,78.69,79.17,78.26
79.02,79.80,80.33,79.02
79.71,80.43,80.97,79.67
80.06,81.21,81.46,79.76
80.93,80.25,80.93,79.86
76.82,73.88,77.00,73.29
73.61,72.70,74.30,72.51
72.22,72.31,73.27,71.53
73.18,71.69,73.18,70.97
71.27,71.80,72.00,70.22
71.80,71.51,72.14,70.22
70.49,68.34,71.05,68.32
69.12,68.13,69.52,66.54
68.16,64.26,68.20,64.15
67.39,65.00,67.73,63.15
64.18,62.95,65.04,62.30
63.27,66.08,67.13,63.19
66.43,68.40,68.88,66.12
68.50,68.49,68.81,67.39
67.93,67.48,68.20,66.74
67.61,67.20,68.05,66.47
65.56,64.24,66.05,63.59
63.39,63.67,64.81,63.13
64.99,64.53,65.47,64.04
64.61,66.51,66.71,64.10
66.30,67.47,67.59,66.07
67.72,66.31,68.21,66.07
66.09,67.99,68.11,64.58
68.89,70.47,70.50,68.79
70.31,71.28,71.81,70.17
71.60,70.50,72.19,69.92
70.54,69.35,71.37,69.16
68.11,66.99,68.35,66.51
65.25,65.40,65.54,64.44
66.27,68.00,68.01,66.18
67.53,67.09,68.30,66.90
66.44,66.55,67.18,65.94
65.52,66.75,66.89,64.94
66.95,67.93,68.46,66.81
68.34,69.09,70.00,66.87
70.05,69.98,70.19,68.99
70.32,70.32,70.71,69.29
69.53,70.04,70.42,68.88
70.41,69.14,70.55,69.09
69.15,66.46,69.15,66.46
65.10,65.19,66.07,64.31
64.69,66.02,66.27,64.39
66.34,68.15,68.22,66.00
69.47,69.06,70.22,68.59
68.92,67.53,69.61,67.51
68.76,68.37,69.48,66.91
67.77,68.47,68.86,66.91
67.81,66.27,69.55,66.18
65.61,67.89,67.97,64.90
68.22,70.59,70.97,67.79
70.50,71.53,72.15,70.19
71.61,70.87,71.84,70.42
72.00,73.08,73.08,71.91
72.69,73.35,73.74,72.69
72.32,72.43,73.35,72.29
72.21,71.97,72.47,71.50
72.88,73.50,73.62,72.15
73.12,72.31,73.42,71.95
72.31,73.95,74.58,71.75
73.80,73.44,74.42,73.01
73.49,73.64,73.94,72.15
74.33,75.00,75.00,73.99
75.20,76.35,76.76,75.10
75.74,74.88,75.97,74.71
69.70,68.75,71.47,67.00
70.00,70.26,70.82,69.54
69.95,70.40,71.30,69.95
69.80,69.43,70.37,69.39
68.21,66.98,68.74,66.64
67.88,68.17,68.95,67.13
68.41,68.95,69.13,67.66
68.47,68.72,68.91,67.32
68.42,68.85,69.07,67.57
69.26,70.52,70.57,68.91
68.93,67.16,69.05,66.68
68.11,67.69,68.42,67.15
68.59,68.76,69.00,68.30
68.45,68.27,69.05,67.92
68.11,68.57,68.93,67.88
67.91,66.93,68.31,66.85
66.76,65.65,67.26,65.38
65.64,66.01,66.63,65.54
65.42,65.67,66.05,64.74
65.41,64.73,65.92,64.65
64.21,63.74,64.51,63.43
63.39,63.63,64.25,63.21
65.25,65.87,66.54,65.25
65.92,65.60,67.00,65.54
67.25,68.51,68.54,67.12
68.28,67.65,68.40,67.59
67.96,67.98,68.89,67.82
68.93,69.50,69.50,68.82
70.22,68.54,70.22,68.40
68.19,68.81,69.22,67.81
68.51,67.25,68.51,67.07
67.76,68.44,68.76,67.50
67.93,67.66,68.08,66.92
68.19,66.70,68.53,66.28
66.57,66.31,67.02,66.22
67.14,66.69,67.34,66.39
66.92,66.59,68.26,66.39
67.09,65.44,67.49,65.29
66.42,68.23,68.32,66.29
68.42,68.49,68.65,67.59
68.78,69.36,69.87,68.78
69.69,70.02,70.11,69.52
69.90,70.73,71.01,69.63
70.82,69.55,70.92,69.42
69.87,70.08,70.13,69.39
70.22,69.78,70.50,69.75
71.42,69.84,71.76,69.70
69.70,68.72,69.70,68.69
67.71,67.81,67.97,66.50
67.80,68.04,68.36,67.67
68.04,67.58,68.15,67.26
68.39,67.37,68.94,67.33
67.25,66.52,67.67,65.92
66.68,66.34,67.03,66.29
66.37,66.73,66.86,65.28
67.00,66.47,67.20,66.02
66.49,67.29,67.33,66.27
67.30,68.87,68.91,67.28
68.87,67.66,68.87,67.36
67.56,68.05,68.23,66.79
67.81,67.63,67.98,67.24
67.43,68.11,68.16,67.00
68.53,69.47,69.89,68.30
69.33,68.52,69.36,68.21
68.27,67.93,68.30,67.75
68.24,68.84,68.94,67.40
64.90,64.01,65.20,63.37
64.87,64.00,65.49,63.99
64.78,64.42,65.00,64.29
64.07,64.04,64.28,63.88
63.98,64.09,64.29,63.48
63.99,63.60,64.20,63.43
63.84,63.64,63.84,63.48
63.26,63.50,63.60,62.84
63.77,64.75,64.76,63.68
64.45,65.48,65.48,64.12
65.55,63.59,65.60,63.56
63.84,66.20,66.26,63.80
66.05,66.11,66.31,65.48
66.38,66.12,66.38,65.57
66.20,66.24,66.66,65.95
66.16,67.50,67.79,66.14
67.80,67.21,67.98,67.05
66.86,66.93,67.47,66.53
66.99,66.94,67.32,66.46
66.57,66.17,66.97,66.08
66.33,66.85,67.40,66.23
66.72,66.22,66.93,66.14
66.16,65.72,66.27,65.37
65.25,64.90,65.30,64.68
65.13,65.06,65.23,64.53
65.43,65.76,65.93,65.05
65.92,66.35,66.39,65.31
66.62,65.94,66.66,65.43
66.35,66.40,66.66,65.75
66.39,65.35,66.39,65.21
65.32,65.35,65.51,64.90
65.14,65.67,65.86,64.97
65.66,65.62,66.01,65.43
65.38,64.50,65.46,64.39
64.45,65.00,65.09,63.95
64.36,64.50,64.64,63.62
64.68,64.42,64.76,63.88
65.11,65.19,65.29,64.69
65.14,65.35,65.37,64.64
65.52,65.11,65.61,64.63
64.82,64.76,65.00,64.06
65.01,65.49,65.99,64.78
65.41,65.91,66.37,65.33
65.75,65.71,66.03,65.09
65.12,65.52,65.64,64.93
65.08,65.12,65.50,64.98
64.49,64.00,64.50,63.50
63.66,63.34,63.70,63.09
63.87,64.00,64.58,63.47
64.26,64.53,64.87,63.95
64.20,64.13,64.38,63.82
64.20,64.81,64.96,63.89
64.99,66.11,66.27,64.93
66.61,66.86,67.00,66.23
66.63,66.14,67.31,65.97
65.46,66.52,66.75,65.15
66.00,65.53,66.00,65.15
65.87,65.83,66.34,65.53
63.93,60.91,64.04,60.00
60.38,59.23,60.72,58.73
59.63,59.02,59.97,58.91
59.23,59.74,60.01,59.11
59.72,60.80,61.14,59.22
60.96,62.30,62.66,60.51
62.28,61.42,62.28,61.27
61.28,60.62,61.28,60.24
60.61,60.86,61.26,60.25
60.54,61.32,61.43,60.23
60.71,60.67,60.96,60.00
60.95,60.52,61.36,60.24
60.43,60.81,61.13,60.29
60.25,60.45,60.77,60.10
60.70,60.77,61.22,60.20
61.21,60.62,61.46,60.58
60.55,59.64,60.92,59.64
59.99,58.88,60.16,58.75
59.01,59.78,59.88,58.75
60.03,59.85,60.37,59.46
59.41,60.32,60.53,59.07
60.35,59.82,60.52,59.37
59.94,59.69,60.06,59.30
60.17,60.77,61.16,59.97
60.05,59.08,60.07,59.08
58.48,58.26,58.83,57.30
57.21,56.89,58.15,56.82
56.38,56.69,57.10,55.89
56.40,56.62,57.02,55.88
57.03,58.04,58.16,56.87
58.68,57.57,59.26,57.49
57.20,57.92,58.06,57.10
58.35,57.45,58.57,57.36
57.59,57.92,57.97,57.14
57.81,57.29,58.48,57.21
57.57,58.02,58.24,57.17
58.22,58.56,58.62,57.94
58.22,59.01,59.28,58.11
59.00,59.81,59.99,58.95
59.93,59.31,59.93,58.71
59.48,57.83,59.64,57.81
57.57,57.37,57.69,56.71
56.80,56.34,57.05,56.01
56.54,56.26,56.65,55.35
56.48,56.84,56.97,56.25
56.40,56.66,56.89,56.02
57.54,58.53,58.62,57.43
58.78,60.85,61.25,58.01
61.51,61.86,61.96,60.35
61.97,61.44,61.97,61.19
61.17,60.51,61.58,60.09
60.46,60.24,61.10,60.19
60.75,59.91,60.94,59.70
59.85,59.60,60.22,58.99
59.18,58.95,59.43,58.50
59.11,60.30,60.48,59.11
60.17,58.92,60.28,58.85
57.95,57.95,58.00,56.83
57.86,59.24,59.45,57.84
59.39,59.53,59.81,59.05
59.49,56.96,59.49,56.86
55.97,56.58,56.69,55.50
56.29,56.25,56.58,55.61
54.01,52.23,54.19,50.81
52.91,52.24,53.56,51.81
52.73,53.35,53.66,52.73
53.20,53.25,53.66,53.07
52.96,52.85,53.43,52.80
52.98,52.85,53.19,51.92
52.73,53.14,53.25,51.97
54.07,53.60,54.27,53.54
54.01,53.63,54.04,53.54
54.00,53.74,54.11,53.66
53.50,53.90,54.02,53.23
53.91,53.80,54.02,53.66
53.76,54.23,54.34,53.60
54.07,54.61,54.78,54.03
54.90,55.22,55.51,54.57
55.05,55.90,55.94,55.02
56.13,56.67,57.20,55.80
56.92,57.04,57.08,56.38
57.01,57.44,57.60,56.75
57.40,57.41,57.83,57.24
57.32,57.26,57.47,56.76
57.25,56.81,57.25,56.64
56.79,57.16,57.34,56.64
57.18,56.53,57.42,56.29
56.45,56.10,56.53,56.00
56.29,57.00,57.06,56.17
56.64,56.24,56.70,56.23
56.77,56.61,57.01,56.45
56.68,56.63,57.01,56.15
56.38,56.37,56.70,55.56
56.77,57.06,57.60,56.59
57.29,57.45,57.50,56.79
57.44,57.34,57.51,57.18
57.36,57.47,57.63,57.16
57.47,57.46,57.82,57.28
57.37,57.24,57.62,56.96
56.77,57.27,57.49,56.62
57.07,56.74,57.46,56.71
56.54,56.52,56.87,55.91
56.70,57.40,57.48,56.27
57.22,57.55,58.00,56.80
57.50,57.62,57.83,57.20
57.15,58.57,58.57,57.02
59.14,59.04,60.94,58.99
59.67,59.06,59.90,58.82
59.17,59.27,59.40,58.72
59.16,58.58,59.16,58.11
58.90,59.10,60.32,58.70
59.17,58.60,59.33,58.20
58.85,59.86,59.89,58.85
59.86,59.90,60.29,59.34
60.15,60.31,61.02,60.06
60.08,59.99,60.84,59.94
59.77,59.37,60.44,59.11
59.50,59.00,59.95,58.83
59.49,58.90,59.65,58.86
59.51,59.94,60.91,59.49
60.14,60.36,60.53,59.72
60.91,60.90,61.50,60.41
63.00,61.69,63.16,61.33
61.48,61.40,61.68,61.00
61.51,60.72,61.58,60.37
60.75,59.85,60.88,59.63
60.88,60.98,61.29,59.59
58.99,57.55,59.80,57.16
57.55,59.10,59.36,57.55
59.01,59.41,59.62,58.80
59.65,60.31,61.14,57.97
60.42,61.57,61.86,59.97
62.05,61.48,62.05,61.37
61.58,62.03,62.15,61.15
62.16,62.92,63.49,62.11
62.05,62.22,62.56,61.85
61.97,61.50,62.48,61.12
61.49,61.48,62.19,61.06
61.48,61.38,61.76,61.14
61.29,61.39,62.42,61.24
61.53,59.87,61.56,59.68
59.91,59.53,60.05,59.34
59.49,59.16,59.79,58.63
59.91,59.81,60.18,59.28
59.58,60.07,60.11,59.52
60.09,60.22,60.41,59.97
60.14,60.98,61.00,59.96
60.79,61.48,61.48,60.75
61.33,60.83,61.77,60.73
60.56,61.73,61.91,60.41
61.98,61.97,62.57,61.66
62.22,61.74,62.37,61.46
62.03,61.00,62.14,60.68
60.98,61.02,61.52,60.75
61.08,61.91,62.10,61.06
61.64,60.64,61.95,60.42
60.78,60.60,60.97,60.14
60.76,61.94,62.05,60.72
62.47,62.26,62.81,61.96
62.57,61.91,62.65,61.71
61.63,61.64,62.39,61.27
61.73,61.52,61.96,61.40
61.78,62.19,62.19,61.61
62.44,63.55,63.93,62.28
63.72,63.63,64.14,63.39
63.53,63.76,63.96,63.33
63.01,63.60,63.98,62.81
63.25,63.32,63.80,63.18
63.54,62.99,63.88,62.99
62.95,62.80,63.12,62.33
62.34,62.15,62.85,62.15
62.18,63.22,63.25,62.06
64.11,63.16,64.88,61.65
62.54,62.34,63.16,61.93
62.15,63.04,63.54,62.07
62.51,63.15,63.45,62.50
62.81,63.21,63.30,61.81
63.19,64.21,64.26,63.01
64.59,64.38,64.87,64.04
64.40,64.54,64.64,64.28
64.56,64.80,64.99,64.26
65.03,65.35,65.53,64.51
65.27,64.73,65.36,64.05
64.87,64.88,64.94,64.24
64.80,65.51,65.56,64.63
65.35,66.07,66.29,65.25
66.05,65.75,66.49,65.65
66.35,67.21,67.85,66.12
67.28,67.19,67.49,66.58
67.53,67.51,67.83,66.90
67.48,67.92,67.93,67.10
67.68,67.14,67.84,66.78
66.78,66.15,67.08,65.00
66.75,66.89,67.11,65.99
65.51,66.03,66.93,65.51
66.09,67.01,67.38,65.09
61.56,60.50,61.97,60.01
60.07,59.93,60.50,58.75
59.36,59.72,59.98,59.13
59.70,59.34,59.90,59.19
59.54,59.13,59.56,58.94
59.27,58.81,59.35,58.45
58.64,58.08,58.78,57.92
57.80,57.78,58.31,57.59
57.95,58.37,58.51,57.43
58.40,58.47,58.90,58.20
58.25,57.52,58.31,57.46
57.83,57.97,58.21,57.71
58.19,56.77,58.35,56.73
56.92,55.98,57.24,55.80
55.98,57.19,57.57,55.98
57.19,57.02,57.56,56.90
56.74,57.06,57.40,56.61
57.06,57.06,57.26,56.27
57.17,57.54,57.83,57.07
57.60,57.23,57.77,57.15
57.37,56.93,57.82,56.79
57.16,57.00,57.54,56.96
56.99,57.00,57.52,56.95
57.05,57.35,57.81,57.05
57.32,59.07,59.16,57.13
59.07,59.20,59.34,58.42
58.95,59.34,59.40,58.43
58.81,59.19,59.78,58.61
59.20,59.04,59.56,58.65
59.02,58.69,59.29,58.61
58.47,57.44,58.74,57.41
57.65,58.10,58.24,57.49
58.25,58.57,58.74,57.65
58.51,59.01,59.15,58.46
58.62,59.15,59.17,58.51
59.04,59.46,59.48,58.90
59.50,58.60,59.69,58.47
59.00,58.64,59.00,58.45
58.59,58.14,58.91,58.07
58.42,58.50,58.57,58.08
57.94,58.98,59.05,57.57
59.10,59.81,59.82,58.60
59.87,60.26,60.45,59.41
60.43,60.69,61.10,60.22
60.82,60.59,61.11,60.33
59.35,59.00,59.96,57.74
58.95,57.51,58.95,57.26
56.79,57.17,57.21,56.13
56.63,56.58,56.84,56.02
56.82,56.25,56.83,55.94
56.69,56.33,56.77,55.68
56.55,57.01,57.16,56.02
57.15,57.41,57.71,57.14
57.68,57.65,58.02,57.48
57.94,58.20,58.56,57.84
58.08,58.44,58.76,58.01
58.49,58.84,59.02,58.40
58.92,59.39,59.40,58.42
59.46,58.90,59.95,58.81
59.12,59.37,59.62,58.96
59.87,60.47,60.73,59.84
60.41,60.37,60.71,60.32
60.38,61.56,61.91,60.25
56.65,57.26,57.90,56.11
57.19,56.00,57.44,55.73
56.23,57.00,57.37,56.06
56.47,56.07,56.58,55.80
56.15,56.87,56.87,56.05
56.94,57.66,57.86,56.80
57.79,57.87,58.40,57.51
58.29,58.32,58.33,57.84
58.09,58.20,58.47,58.08
58.33,59.87,59.97,58.27
59.87,59.11,60.10,58.87
58.92,59.49,59.50,58.82
59.06,58.70,59.14,58.12
59.50,57.87,59.58,57.70
57.67,57.67,58.06,57.44
57.81,57.47,57.99,57.36
57.06,56.70,57.26,56.45
56.73,57.04,57.04,56.38
56.97,56.50,57.41,56.25
56.14,56.26,56.57,55.95
56.41,56.31,56.69,55.88
56.81,57.16,57.55,56.40
56.12,56.81,56.81,55.91
56.32,56.50,56.80,56.24
56.76,56.02,57.11,55.97
55.84,56.72,56.95,55.84
56.75,56.50,57.20,56.38
56.96,56.90,57.24,56.44
57.18,57.33,57.42,56.71
57.40,56.53,57.58,56.52
