ARE,Alexandria Real Estate Equities,NASDAQ
68.90,69.53,70.40,68.44
70.00,70.59,70.62,68.99
70.45,70.55,71.15,69.56
69.95,70.96,71.17,69.87
71.17,74.19,74.31,70.68
74.25,74.60,75.18,73.81
74.21,72.16,74.62,71.92
72.62,72.02,73.16,71.66
72.61,73.91,74.25,72.19
74.04,70.81,74.32,70.75
71.08,73.02,73.22,71.06
72.12,71.03,72.86,70.49
70.27,70.17,71.79,69.20
69.74,66.97,69.98,62.35
66.88,65.01,68.27,64.20
68.57,69.76,69.77,67.45
69.00,69.94,70.64,68.18
70.41,70.97,71.47,69.97
70.82,69.81,71.20,69.58
69.07,66.97,69.78,65.88
67.27,66.88,68.37,65.43
67.77,65.25,68.16,64.93
64.94,65.11,66.17,62.84
63.42,62.03,64.20,62.00
61.60,63.60,64.25,60.48
63.15,63.21,64.74,62.94
61.33,63.14,63.29,60.69
63.74,62.92,64.98,62.62
64.51,66.60,66.69,63.84
66.25,65.58,67.01,65.45
65.05,64.25,66.14,64.10
64.48,65.82,65.88,63.14
65.67,65.74,66.24,64.96
64.29,62.36,65.08,62.15
62.77,62.55,64.29,62.24
62.76,65.20,65.39,61.47
65.66,65.86,67.42,65.27
67.25,69.48,69.95,66.64
69.07,71.16,71.67,68.68
72.25,71.91,73.36,71.11
72.68,72.80,73.19,71.73
72.56,72.23,73.00,71.46
72.53,73.39,73.77,72.04
73.94,73.18,74.03,72.98
74.00,71.87,74.42,71.60
71.84,68.89,72.74,68.59
68.82,69.28,70.35,68.00
68.62,67.90,69.07,67.42
68.27,68.49,69.50,68.00
68.63,67.63,68.72,67.51
66.16,63.78,66.66,63.32
63.82,63.37,64.68,63.07
63.45,63.41,64.06,61.63
63.84,61.75,64.20,61.51
62.92,60.83,64.07,60.11
60.89,64.69,64.73,60.88
65.63,65.00,66.16,64.02
65.00,65.21,65.97,64.61
64.80,65.06,65.55,64.19
65.93,67.23,67.50,65.57
66.51,66.87,67.60,66.00
67.02,66.34,67.02,65.15
65.81,64.36,66.00,63.93
64.65,65.35,65.61,63.74
64.30,67.90,68.03,63.95
68.30,66.23,68.55,65.84
67.42,69.73,70.05,66.87
69.43,70.91,71.04,68.28
71.10,72.59,72.71,70.61
73.18,72.09,73.75,71.41
71.80,71.43,72.92,71.05
72.05,69.93,72.24,69.57
69.22,70.55,70.78,69.18
71.93,72.83,72.96,70.60
72.22,72.00,72.51,71.58
72.11,72.18,72.60,71.50
71.96,71.64,72.75,71.19
70.66,72.34,72.49,70.66
72.04,73.25,73.43,72.04
72.20,71.18,72.29,70.46
69.68,69.57,70.56,68.36
68.60,68.25,69.26,67.88
67.98,67.35,68.65,67.17
66.90,67.47,68.25,66.69
68.32,69.20,69.88,67.47
69.20,70.35,71.02,68.64
69.97,68.57,70.26,68.29
68.12,67.86,68.41,66.68
68.33,67.75,68.84,67.69
66.67,67.87,68.36,66.62
67.34,69.26,69.50,67.34
69.74,68.96,69.91,68.64
69.60,70.05,70.41,67.88
69.64,69.56,71.35,69.47
69.23,69.37,70.07,68.72
70.71,69.81,70.93,69.29
70.22,70.70,71.11,69.51
71.78,71.86,72.19,70.97
71.44,70.90,71.81,70.87
71.15,71.27,71.95,70.99
72.14,70.31,72.38,69.87
70.35,70.35,70.81,70.02
71.11,71.75,71.90,70.55
71.57,71.90,72.40,71.34
71.58,72.06,72.57,71.32
71.81,71.73,72.40,71.58
72.21,72.17,72.21,71.50
72.68,73.36,73.64,72.24
73.34,72.91,73.89,72.60
70.10,70.50,70.53,69.69
69.60,68.55,70.26,68.19
69.51,70.01,70.15,69.22
69.96,69.69,70.26,68.90
69.70,70.16,70.25,68.71
69.71,69.62,69.80,69.05
69.95,70.00,71.00,69.26
70.69,71.05,71.07,69.63
70.95,71.44,71.49,70.26
71.96,72.35,72.44,70.70
72.35,71.19,72.49,70.82
71.62,70.59,71.93,70.02
70.76,71.10,71.21,70.44
71.10,71.58,71.80,70.86
71.48,71.29,71.53,70.65
71.75,72.68,73.33,71.31
72.52,73.43,73.52,72.32
74.00,73.26,74.20,72.92
73.31,75.07,75.16,73.31
74.33,73.73,75.30,73.44
74.10,74.71,75.16,74.01
75.04,74.73,75.70,73.65
74.99,74.94,75.31,74.46
75.46,74.77,75.69,74.54
74.34,73.90,74.54,73.62
73.50,74.06,74.52,73.24
74.46,73.43,74.82,72.83
73.29,73.48,74.10,73.20
73.83,73.54,74.52,72.99
74.23,74.80,75.35,73.88
74.67,74.08,74.80,73.35
74.93,74.06,75.25,73.01
74.06,74.07,75.26,73.56
73.70,74.21,74.60,73.60
75.07,71.56,76.19,71.14
71.69,72.42,72.57,71.69
71.88,72.06,72.80,71.77
71.65,71.10,72.36,70.85
71.34,69.76,71.68,69.63
69.41,67.83,69.50,67.49
68.03,68.42,69.05,67.75
69.32,67.95,69.50,67.76
67.99,67.63,68.37,67.18
67.37,67.19,67.67,66.68
66.64,66.11,66.95,65.60
66.69,68.01,68.17,66.69
67.52,67.47,67.95,67.24
67.13,67.70,67.91,66.66
66.95,66.75,67.71,66.65
67.62,67.88,67.94,66.82
68.09,68.77,68.80,68.08
68.38,69.12,69.36,67.90
68.95,69.31,69.56,68.26
70.03,70.55,71.15,69.90
70.55,69.46,71.18,68.98
69.76,68.52,69.82,68.36
68.66,69.00,69.49,68.15
69.30,69.37,69.77,68.68
69.38,69.43,70.60,68.97
69.57,69.18,70.43,69.17
69.40,69.48,70.10,68.74
69.63,69.42,69.67,68.68
69.64,70.41,70.55,69.54
70.62,70.69,70.81,70.00
71.00,71.97,72.18,70.69
71.89,71.92,72.48,71.86
71.77,72.91,72.94,71.61
72.99,73.46,73.82,72.51
73.04,72.96,73.33,72.31
72.81,73.24,73.54,72.55
73.20,73.26,73.83,73.04
73.80,74.51,74.84,73.66
74.59,73.33,75.33,73.24
73.12,73.89,74.16,73.05
73.99,73.07,74.12,72.99
73.08,75.51,75.57,73.08
75.26,75.31,75.59,74.78
75.70,74.82,75.70,74.54
75.44,75.61,75.68,75.00
75.57,74.87,75.57,74.61
74.81,75.22,75.26,74.36
75.24,77.11,77.11,74.89
76.80,75.68,76.92,75.38
75.70,75.35,76.25,74.97
75.57,75.25,75.75,74.91
75.22,76.23,76.79,75.22
75.81,77.85,77.85,75.81
78.10,77.36,78.10,77.06
77.69,77.90,78.01,77.10
78.06,76.55,78.08,76.35
76.75,77.04,77.82,76.71
77.53,77.60,78.01,76.93
77.51,76.98,77.85,76.65
76.76,76.92,77.23,75.51
76.61,75.65,76.61,75.27
76.02,77.68,77.81,76.02
77.53,77.76,78.57,77.38
77.57,77.69,77.99,77.35
77.47,78.47,78.53,77.40
78.33,78.98,78.98,77.99
79.01,79.12,79.28,78.65
78.76,78.92,79.60,78.53
79.32,79.81,80.45,78.99
79.69,79.84,80.00,79.53
80.12,79.74,80.12,79.52
79.13,79.16,79.91,78.90
79.08,78.07,79.29,77.38
78.05,76.84,78.05,76.29
77.27,78.33,78.36,77.08
78.69,80.20,80.72,78.28
80.13,77.71,80.18,77.63
77.69,76.63,78.00,76.42
77.18,77.64,77.64,76.85
77.66,76.95,77.99,76.28
77.24,76.84,77.76,76.37
76.92,77.91,78.18,76.82
77.75,77.48,77.99,76.83
76.81,76.66,77.05,75.88
76.05,77.19,77.36,76.04
76.70,76.36,76.90,75.87
75.00,76.73,77.68,74.36
76.74,75.36,76.82,74.90
76.44,75.06,76.47,74.45
75.67,75.22,75.92,75.09
76.09,76.78,76.97,76.03
76.70,75.61,76.93,75.22
75.46,75.06,75.78,74.31
75.37,75.69,76.09,74.60
75.85,76.52,76.69,75.49
76.61,75.92,76.92,75.18
75.56,76.42,76.56,75.10
76.52,77.27,77.34,76.30
77.04,77.97,78.15,77.04
78.45,78.43,78.93,78.23
78.60,78.60,79.00,78.42
78.40,78.48,78.93,78.40
78.72,78.49,78.72,78.15
78.35,76.55,78.58,76.53
76.90,75.80,77.06,75.56
76.01,75.89,76.71,75.44
75.57,76.16,76.43,75.41
76.48,75.98,76.57,75.91
75.55,77.41,77.58,75.55
77.56,77.79,78.24,77.50
76.80,76.39,76.99,75.63
76.57,76.81,76.99,76.31
77.75,77.75,78.02,76.94
77.80,78.14,78.25,77.48
78.07,78.43,78.65,77.88
78.74,79.71,79.83,78.28
79.89,80.63,80.63,79.53
80.50,81.45,81.91,80.50
81.33,82.15,82.48,80.68
82.53,81.75,83.08,81.04
81.47,81.52,82.82,80.68
81.68,80.16,81.83,80.02
79.51,78.71,79.51,77.66
75.98,75.78,76.20,75.09
75.86,77.64,78.14,75.75
77.70,79.13,79.34,77.48
78.84,78.01,79.04,77.48
77.79,78.03,78.27,76.97
78.09,78.08,78.41,77.10
77.92,78.32,78.92,77.38
78.12,78.53,78.53,77.55
78.64,79.58,79.70,77.89
79.86,79.82,80.32,79.23
79.56,78.73,79.92,78.61
77.70,77.58,78.38,77.31
77.73,78.01,78.23,77.17
77.95,79.09,79.47,77.30
78.82,80.39,80.86,78.82
80.64,81.29,81.43,80.41
81.96,82.54,82.73,81.47
82.22,79.83,82.65,79.60
80.01,79.17,80.58,78.76
78.33,79.04,79.96,78.12
79.10,77.54,79.46,77.46
77.82,78.67,79.27,77.43
78.36,78.23,79.41,78.19
78.58,77.55,78.58,77.32
77.22,75.84,77.24,75.35
75.93,77.20,77.87,75.92
76.98,77.64,78.09,76.98
76.94,76.15,77.55,75.56
76.10,76.52,77.10,75.61
77.46,77.36,77.66,76.63
77.11,78.18,78.32,77.01
79.08,79.34,79.76,78.58
79.12,79.53,80.38,78.73
78.33,76.96,78.38,76.58
77.09,76.71,77.39,76.19
76.80,76.71,77.41,76.57
76.74,76.75,77.05,75.94
77.15,77.30,77.74,76.71
77.50,77.42,78.25,77.34
77.62,79.01,79.31,77.38
78.97,80.46,80.50,78.53
80.28,81.02,81.56,80.09
81.85,81.98,82.32,81.20
80.95,81.71,81.80,80.68
80.78,80.47,81.18,80.17
80.10,81.74,82.52,80.10
81.86,80.43,82.07,80.41
80.76,80.02,81.18,79.55
80.26,81.58,81.59,79.82
81.19,81.10,81.35,80.11
81.72,82.83,82.83,81.69
82.87,83.80,84.29,82.48
84.11,84.50,85.14,84.02
84.55,84.93,85.33,84.01
83.93,84.17,84.76,83.70
84.38,84.10,84.53,83.67
83.70,82.13,83.70,81.96
81.93,82.05,82.48,79.89
80.81,82.00,82.15,80.27
82.57,81.40,83.09,80.74
80.85,77.62,81.42,77.56
77.81,76.57,77.81,74.57
75.14,72.60,75.79,72.52
73.44,70.43,73.56,69.00
67.11,62.63,68.67,62.61
63.26,69.01,69.17,62.57
67.56,67.08,70.21,66.65
67.57,69.16,70.27,67.06
69.77,69.23,70.50,68.69
70.01,72.21,72.50,69.95
71.32,72.25,72.63,70.89
72.58,72.16,73.42,71.53
69.72,68.15,70.67,67.40
66.85,66.20,68.46,66.09
67.88,66.95,67.90,65.88
67.20,68.15,68.19,66.37
68.04,69.30,69.33,67.23
69.98,67.97,70.27,67.32
67.47,68.99,69.30,66.03
69.89,72.02,72.11,69.55
71.25,71.98,72.58,70.52
72.43,72.81,73.35,71.69
72.78,71.34,72.80,71.03
69.79,69.11,71.16,69.06
67.24,69.25,69.82,67.05
70.65,72.63,72.71,69.42
72.17,71.85,73.11,71.51
71.70,68.87,72.06,68.62
68.08,67.89,68.66,66.68
68.13,67.83,68.44,66.88
68.37,68.14,68.60,66.89
68.99,68.80,69.20,68.19
68.89,68.56,69.00,67.62
67.27,66.16,67.69,65.92
66.64,66.09,67.01,65.93
66.03,62.48,66.29,62.42
60.59,60.09,61.60,59.33
59.75,60.30,60.45,59.46
60.66,60.88,61.02,59.80
61.60,61.91,63.08,61.46
61.69,60.47,62.50,60.34
61.89,62.77,62.77,61.33
61.99,61.39,63.13,61.32
60.96,57.19,61.30,57.09
57.10,60.42,60.55,56.10
60.40,59.46,60.88,57.01
59.46,62.06,62.15,59.02
62.44,59.67,62.78,59.23
60.96,61.72,61.91,60.59
60.86,60.12,61.54,59.20
60.84,60.79,62.19,60.19
60.38,61.71,62.26,59.52
62.51,64.37,64.58,62.19
63.92,63.84,64.45,63.20
64.11,66.23,66.44,63.74
66.02,65.35,66.70,64.96
65.36,66.13,66.13,63.55
66.93,67.83,68.25,66.48
67.69,70.62,71.07,67.69
69.88,68.81,70.00,68.38
67.09,66.18,68.71,65.04
68.29,68.01,68.83,66.56
67.51,67.95,68.21,67.01
66.87,66.09,67.44,66.05
64.16,63.44,65.31,63.19
64.68,66.45,66.77,64.17
67.28,68.61,68.65,65.81
67.82,68.91,68.94,67.32
68.69,69.04,69.80,68.22
69.21,69.69,69.81,67.65
68.25,67.22,68.44,67.04
68.28,66.79,68.28,66.39
67.39,68.39,68.87,67.03
67.87,66.78,67.87,66.38
66.46,68.03,68.52,66.39
67.53,67.28,68.38,67.08
67.31,66.04,67.52,65.54
66.50,66.41,66.51,65.23
65.38,64.25,65.54,64.15
64.06,63.73,64.53,63.50
63.16,62.00,63.21,61.95
61.77,62.23,63.49,61.65
64.22,63.79,64.27,63.23
63.87,63.30,64.27,63.07
65.61,65.56,65.69,64.72
65.50,66.00,66.39,64.24
66.32,66.09,67.09,65.87
67.03,68.14,68.70,66.69
67.90,67.54,67.97,66.91
67.21,68.35,68.52,66.52
67.90,66.61,67.92,66.48
66.82,67.76,68.11,66.68
66.92,65.68,66.92,65.29
66.10,64.95,66.86,64.43
64.51,64.40,65.11,63.81
65.23,65.37,65.63,64.61
66.08,66.26,67.01,65.74
66.33,66.00,66.92,65.80
67.07,68.05,68.44,67.00
67.98,68.52,68.52,67.47
68.55,69.43,70.06,68.39
69.52,69.40,69.87,69.31
69.17,69.87,70.26,68.65
69.63,68.33,69.63,68.26
68.73,69.27,69.31,68.54
69.32,68.97,69.86,68.76
70.27,68.82,70.86,68.30
68.44,67.49,68.59,67.42
67.32,68.62,68.80,66.90
68.68,68.20,69.20,68.04
68.22,68.45,68.80,67.85
69.12,69.66,70.16,68.76
69.32,70.37,70.65,69.14
70.03,69.63,70.08,68.98
69.16,69.68,69.73,68.89
70.29,70.34,70.88,70.00
70.32,71.21,71.61,70.16
71.40,70.78,71.55,70.58
70.59,71.49,71.62,70.36
71.48,71.74,72.16,71.08
71.26,71.30,71.84,71.13
71.34,71.58,71.88,71.04
72.24,72.05,72.67,71.71
71.85,72.59,73.00,71.77
71.91,72.06,72.15,71.52
72.47,72.41,72.63,71.86
72.86,73.47,73.47,72.68
73.66,73.31,73.91,72.94
74.08,74.26,74.35,73.83
73.96,74.32,74.43,73.61
74.26,73.67,74.45,73.18
66.64,72.75,73.75,66.64
72.97,72.50,73.26,71.75
71.54,71.77,72.29,71.37
73.64,72.62,73.64,71.71
72.47,71.77,72.54,71.43
72.05,71.70,72.44,71.42
71.77,72.98,73.22,71.72
73.31,72.82,73.38,72.41
72.74,71.34,73.03,71.18
71.23,70.31,71.95,70.21
70.42,71.04,71.42,70.42
71.19,70.75,71.61,70.60
70.40,70.68,70.86,69.82
70.88,71.60,71.72,70.58
71.65,71.69,72.32,71.37
71.75,72.18,72.55,71.69
72.10,71.57,72.77,71.43
71.28,72.17,72.59,71.24
71.42,70.66,72.04,70.54
70.91,70.92,71.13,70.24
71.28,70.61,71.49,70.46
70.77,71.59,71.77,70.59
71.71,71.59,72.15,71.49
71.99,73.27,73.32,71.99
73.32,72.81,73.63,72.65
72.91,72.65,72.91,72.19
72.66,72.71,73.11,72.44
72.72,73.54,73.91,72.31
72.79,73.58,73.73,72.79
73.65,73.30,73.65,73.04
72.60,72.35,72.75,71.71
72.22,72.46,72.72,71.54
73.10,72.66,73.25,72.27
72.74,72.76,73.19,72.42
72.13,72.44,72.66,71.34
71.55,72.65,72.83,71.55
72.74,73.13,73.28,72.49
73.05,73.41,73.61,72.86
73.48,73.15,73.81,72.56
72.65,72.59,72.96,72.06
72.24,72.03,72.71,71.77
71.03,71.18,71.41,70.74
71.27,69.90,72.42,69.76
70.45,70.20,70.54,69.84
70.11,71.64,71.66,70.01
71.53,71.15,71.97,71.06
71.69,72.85,73.18,71.59
73.27,73.83,74.08,72.83
73.41,72.95,73.74,72.91
73.03,72.61,73.33,72.39
73.02,73.88,74.50,72.98
73.25,72.83,73.40,72.54
73.00,73.20,73.50,72.96
73.71,74.43,74.58,73.71
74.36,74.63,74.82,73.77
75.04,74.77,75.12,74.25
74.60,74.92,75.08,74.02
74.88,75.64,76.50,74.38
73.96,75.62,75.87,73.79
75.70,74.94,75.91,74.85
74.76,74.33,74.90,74.07
74.01,74.75,75.02,73.99
74.23,75.02,75.10,74.20
74.33,74.99,75.79,74.16
75.47,74.50,75.47,74.21
73.98,75.15,75.74,73.98
74.28,74.07,74.62,73.90
73.89,73.05,74.21,72.73
73.30,72.32,73.35,72.27
72.36,69.65,72.60,69.65
69.97,68.14,70.11,68.07
68.30,69.23,69.47,67.96
69.35,69.55,69.98,68.88
68.85,70.19,70.30,68.42
70.50,70.52,70.93,69.66
70.44,69.83,70.64,69.46
70.17,70.27,70.69,69.99
69.64,68.42,69.68,68.39
68.57,68.46,69.26,67.84
67.42,67.98,68.50,67.40
68.20,68.31,68.47,67.51
67.95,69.33,69.52,67.87
70.10,70.55,70.70,69.44
71.19,70.40,71.49,70.24
70.25,71.01,71.05,69.95
71.40,68.96,71.42,68.83
69.30,69.36,69.60,68.66
69.31,69.10,70.00,68.85
69.26,70.55,70.82,69.26
70.55,70.18,70.78,70.01
70.05,70.90,71.15,69.79
71.16,71.43,72.02,70.57
71.52,71.41,72.00,71.04
71.42,69.79,71.66,69.59
70.28,69.89,70.35,69.51
69.13,69.12,69.37,68.66
69.31,69.52,69.78,68.69
69.42,69.44,69.76,68.78
69.01,70.58,70.64,68.82
72.00,72.72,72.75,71.63
72.71,72.74,72.99,72.22
72.90,73.78,74.13,72.78
73.72,73.59,74.18,73.35
72.78,73.40,73.54,72.78
73.34,73.23,73.34,72.53
73.43,72.57,73.85,72.24
72.64,72.56,72.79,72.16
72.13,72.17,72.78,71.45
72.51,73.31,73.50,72.38
73.28,73.17,73.45,72.96
73.36,74.15,74.47,72.89
74.10,73.61,74.18,73.55
73.85,72.95,74.29,72.70
72.66,72.36,73.06,72.06
71.64,72.14,72.40,71.37
72.18,71.74,72.30,70.97
71.90,71.43,72.27,71.26
72.29,71.73,72.87,71.28
72.05,72.50,73.24,71.87
72.73,72.50,73.47,72.32
71.25,73.48,73.85,71.25
73.89,72.76,74.29,72.66
72.31,72.98,73.13,71.95
73.86,73.55,74.14,73.27
73.52,73.76,74.00,73.52
74.00,73.25,74.00,73.03
73.05,73.00,73.20,72.40
72.90,72.74,73.31,72.01
72.45,73.45,73.46,72.12
73.51,74.10,74.14,72.97
74.46,73.69,74.46,73.47
73.78,73.95,74.22,73.45
73.84,74.24,74.33,73.35
74.20,73.39,74.47,73.16
73.11,73.29,73.49,72.50
73.45,73.83,74.19,73.27
73.57,73.80,74.04,73.04
73.84,73.25,73.86,73.18
73.09,73.33,73.55,72.72
73.66,73.12,73.70,72.99
72.91,73.85,73.99,72.76
74.06,74.10,74.31,73.48
73.67,74.06,74.22,73.56
74.22,73.90,74.35,73.71
73.86,74.44,74.65,73.37
74.45,74.54,74.79,74.03
74.65,74.96,75.40,74.03
75.14,75.10,75.64,74.73
74.98,74.51,75.12,74.41
74.41,74.66,74.83,74.29
74.83,74.62,74.89,74.34
74.82,75.58,75.82,74.65
75.50,76.65,76.94,75.50
76.86,75.99,77.10,75.96
75.80,75.32,75.95,75.10
75.39,74.91,75.65,74.86
74.82,74.38,75.20,72.01
74.86,74.51,75.09,74.42
74.02,74.91,75.34,74.02
75.25,73.80,75.35,73.80
73.56,73.17,74.08,72.97
73.32,73.57,73.98,73.02
73.07,73.52,73.94,72.88
74.01,72.75,74.41,71.75
72.75,72.70,72.87,72.25
72.72,72.96,73.89,72.66
73.38,72.84,73.56,72.38
73.14,72.68,73.24,72.45
72.43,72.60,72.73,72.16
72.81,72.47,73.10,72.38
72.65,72.87,72.99,72.10
73.30,73.03,73.65,72.82
73.12,72.77,73.49,72.57
72.99,73.85,73.87,72.63
74.02,73.86,74.46,73.64
73.79,74.04,74.29,73.19
73.89,74.25,74.46,73.79
74.11,73.38,74.59,73.37
72.53,72.72,73.77,72.26
72.19,71.72,72.36,71.29
71.93,71.51,71.98,71.18
71.59,71.10,72.19,70.23
70.86,70.07,70.86,69.83
70.00,70.43,70.61,68.88
70.23,69.67,70.80,69.32
70.29,69.88,70.50,69.70
69.84,69.65,70.02,68.55
69.76,69.25,69.98,68.77
68.88,68.27,69.24,68.20
68.32,67.28,68.34,67.24
67.14,67.45,68.05,66.61
66.85,66.16,67.30,65.94
65.86,66.23,66.47,65.79
66.26,64.75,66.30,64.58
64.57,65.11,65.49,64.09
65.40,66.58,66.76,65.11
67.44,67.30,67.77,65.59
66.95,67.46,67.51,66.62
67.50,67.32,67.65,66.85
67.77,68.02,68.06,67.29
67.50,67.78,68.42,67.24
67.14,67.46,67.77,66.06
67.19,67.71,67.85,66.49
67.94,67.94,67.96,67.46
67.96,67.92,68.47,67.60
68.05,68.44,68.80,68.03
68.33,68.46,68.85,68.22
68.53,68.73,69.00,68.04
68.99,69.75,69.88,68.99
69.87,70.13,70.15,69.57
70.27,70.34,71.09,70.08
70.56,70.22,70.61,70.07
70.28,70.13,70.57,69.71
70.13,69.73,70.18,69.27
69.53,69.25,69.92,69.16
69.55,69.76,69.83,69.36
69.68,69.89,70.41,69.55
70.00,69.57,70.00,68.81
69.67,70.45,70.61,69.67
70.00,69.54,70.62,69.46
69.78,69.55,70.04,69.14
69.68,69.14,69.87,69.09
68.93,68.40,69.26,67.81
68.04,68.16,68.44,67.88
68.02,69.32,69.32,67.75
70.41,70.63,70.66,69.77
70.55,70.98,71.13,70.40
70.99,71.64,71.76,70.62
71.31,71.96,72.00,71.31
71.83,71.70,72.04,71.55
72.05,72.09,72.26,71.76
72.40,71.92,72.40,71.90
71.74,72.28,72.31,71.74
72.16,72.39,72.39,72.01
71.76,72.70,72.75,71.63
72.34,72.36,72.59,72.10
72.47,72.40,72.78,72.26
72.70,72.65,72.70,72.20
72.48,73.08,73.15,72.48
72.98,72.76,73.07,72.71
72.93,72.98,73.18,72.52
72.83,73.34,73.44,72.77
73.43,73.19,73.47,72.82
73.10,73.47,73.51,72.98
73.32,73.21,73.49,72.95
73.14,72.50,73.14,72.45
73.15,72.90,73.21,72.71
72.71,72.11,73.00,71.96
72.59,72.12,72.59,71.91
71.88,72.78,72.81,71.88
72.60,72.47,72.60,71.70
72.72,72.62,72.72,72.20
72.74,72.73,73.18,72.66
73.38,72.79,73.50,72.79
72.80,72.36,73.10,72.29
72.31,71.56,72.36,71.42
71.68,71.62,72.01,70.97
71.60,71.92,72.15,71.58
72.01,71.86,72.48,71.40
71.75,71.43,71.85,71.20
71.87,72.12,72.26,71.75
72.19,70.58,72.24,70.55
70.97,70.88,71.16,70.07
70.80,71.24,71.52,70.50
71.03,71.14,71.60,71.02
70.85,71.01,71.37,70.20
70.89,71.85,71.94,70.68
71.69,72.52,72.52,71.69
72.84,72.29,72.84,71.78
72.41,72.25,72.72,71.98
72.48,71.97,72.53,71.79
71.90,72.29,72.31,71.52
72.06,72.03,72.21,71.61
72.15,71.82,72.30,71.76
71.72,71.51,72.31,71.45
71.71,71.41,71.72,71.27
71.09,70.91,71.50,70.81
71.05,71.00,71.24,70.49
71.22,71.03,71.26,70.70
70.65,71.34,71.56,70.65
71.56,71.61,71.93,71.41
71.86,71.43,71.89,71.21
71.00,71.49,71.61,70.87
71.00,70.86,71.00,70.20
70.97,70.98,71.18,70.71
70.71,70.87,71.09,70.54
71.03,70.67,71.38,70.60
70.84,70.21,71.15,70.00
70.49,70.61,70.74,70.15
70.09,70.59,70.67,69.68
70.76,71.65,71.65,70.41
71.62,71.42,71.79,70.87
71.63,71.59,71.88,71.50
71.60,72.09,72.46,71.60
71.91,72.24,72.24,71.73
71.89,70.89,72.24,70.71
71.38,71.45,71.45,70.70
71.00,70.43,71.36,70.03
70.53,70.33,70.53,70.00
70.35,71.24,71.53,70.17
71.17,70.80,71.37,70.64
71.17,71.58,71.61,70.93
71.41,71.58,71.90,71.40
71.53,71.00,71.84,70.90
71.10,70.55,71.10,70.09
70.85,71.49,71.52,70.48
71.12,72.77,72.77,70.77
72.30,72.63,73.04,72.25
72.58,73.15,73.59,72.52
73.40,73.42,74.01,73.26
73.61,73.63,73.72,73.22
73.55,74.28,74.39,73.55
73.99,75.30,75.30,73.99
75.22,75.27,75.41,74.83
75.21,75.40,75.64,74.85
75.40,75.63,75.63,75.17
74.39,77.40,77.54,74.25
77.08,78.09,78.11,76.62
78.07,77.80,78.43,77.49
77.86,77.31,78.13,77.13
77.02,77.20,77.26,76.83
77.35,77.04,77.65,76.90
76.97,74.17,77.11,73.29
73.38,73.63,73.93,72.01
73.25,73.70,73.74,72.41
74.28,72.22,74.36,71.81
71.71,70.41,71.84,69.76
70.35,69.77,70.93,69.63
69.75,68.50,70.08,68.47
68.62,68.70,68.86,67.55
68.86,67.89,69.11,67.89
67.87,67.29,68.12,66.97
67.18,68.04,68.05,66.46
68.19,67.26,68.51,66.27
67.80,67.45,68.22,67.08
66.41,66.31,67.31,66.26
66.76,65.21,66.76,65.03
65.03,67.24,67.44,65.02
67.15,67.75,68.47,66.99
68.09,67.43,68.46,67.08
67.33,68.09,68.25,67.14
68.18,65.40,68.18,65.01
