RGA,Reinsurance Group of America,NASDAQ
47.43,47.17,47.43,46.90
47.43,46.73,47.43,46.52
46.88,47.66,47.75,46.74
47.75,47.61,47.89,47.30
47.43,46.77,47.74,46.77
46.47,45.79,46.75,45.78
46.59,47.71,47.71,46.41
47.44,47.87,48.35,47.34
47.89,48.66,48.88,47.34
48.57,48.47,49.00,48.36
48.66,48.29,49.00,48.07
48.71,47.98,48.79,47.65
47.97,47.59,48.06,47.30
47.83,48.95,49.08,47.34
48.94,49.16,49.17,48.74
49.38,48.66,49.50,48.50
48.54,48.47,48.59,48.06
48.45,48.26,48.93,48.11
48.13,48.64,48.75,47.79
48.97,48.64,49.07,48.53
48.45,48.55,48.96,48.18
48.96,48.50,48.96,48.21
48.50,48.83,48.93,48.37
48.17,47.94,48.59,47.71
48.11,48.45,48.49,47.70
48.72,48.50,48.96,48.08
48.66,48.03,48.66,47.94
48.09,47.68,48.50,47.62
47.52,50.38,50.57,47.52
50.08,50.21,50.69,50.05
50.40,49.70,50.41,49.37
49.54,50.07,50.19,49.15
50.29,50.25,50.98,49.74
50.67,50.88,50.99,50.58
50.70,50.63,50.86,49.98
51.08,51.99,52.04,50.88
51.89,51.53,52.49,51.22
51.68,51.70,51.93,51.36
51.90,51.32,51.97,51.17
51.36,51.71,51.95,51.00
51.32,51.25,51.52,51.04
51.41,50.92,51.75,50.76
51.09,51.10,51.55,50.82
50.71,49.92,50.83,49.44
50.00,50.04,50.23,49.68
50.76,51.07,51.15,50.52
50.87,50.50,50.91,50.36
50.21,50.94,51.09,49.91
50.32,50.08,50.32,49.76
50.45,51.05,51.08,50.39
50.61,50.19,50.61,50.16
49.88,50.28,50.38,49.69
49.69,49.93,50.20,49.58
50.86,51.02,51.04,50.21
51.16,51.63,51.83,51.02
51.37,51.24,51.44,50.60
51.11,51.16,51.23,50.83
51.69,51.45,51.69,51.28
51.53,52.17,52.17,51.43
52.48,52.58,52.69,52.08
52.69,53.72,53.78,52.52
53.92,53.58,54.29,53.52
53.64,53.04,53.64,52.95
53.04,52.83,53.68,52.82
53.12,53.66,53.89,53.03
53.78,53.82,53.95,53.49
53.94,53.77,54.05,53.60
54.10,53.82,54.13,53.63
53.64,54.70,54.89,53.64
54.62,54.37,54.70,54.31
54.17,54.52,54.53,54.02
54.59,54.57,54.70,54.37
54.76,54.31,54.76,54.25
54.32,54.01,54.43,53.97
53.96,53.71,54.24,53.70
54.27,55.29,55.48,53.92
55.40,55.51,55.62,54.81
55.38,55.89,56.25,55.33
56.00,56.20,56.46,55.47
56.36,56.64,56.75,56.16
56.63,57.27,57.53,56.41
57.58,57.91,58.00,57.45
58.07,58.05,58.52,57.76
58.00,57.80,58.32,57.74
57.64,58.00,58.17,57.55
57.71,58.66,58.67,57.71
58.58,58.10,58.84,58.04
58.04,57.82,58.42,57.66
58.23,58.17,58.31,57.69
58.26,59.08,59.37,57.98
58.88,58.79,59.12,58.13
58.93,58.43,59.20,58.13
58.42,58.97,59.48,58.35
59.50,57.39,59.50,57.37
57.68,57.56,58.63,57.54
58.97,60.19,60.38,58.71
59.96,59.66,60.20,59.31
59.33,59.55,59.77,58.84
59.64,60.51,60.52,59.43
60.46,60.82,61.09,60.46
60.91,61.11,61.21,60.37
60.86,60.74,61.14,60.36
60.39,60.37,60.50,59.96
60.07,60.83,60.94,60.07
60.78,61.14,61.20,60.51
61.04,61.38,61.45,60.83
61.40,61.59,61.65,61.21
61.17,61.85,62.00,61.10
61.61,61.50,62.00,61.36
60.81,59.74,61.49,59.67
59.95,58.49,59.95,58.48
58.76,57.49,59.08,57.08
57.93,59.28,59.30,57.72
59.76,60.39,60.71,59.50
60.50,59.12,60.61,58.97
59.14,58.84,59.17,58.57
59.31,60.26,60.49,59.31
60.09,59.75,60.17,59.27
59.84,59.76,60.18,59.56
59.62,60.37,60.61,59.62
60.36,60.87,61.08,60.18
60.09,60.62,60.88,59.84
59.97,60.21,60.42,59.44
59.58,60.09,60.24,59.19
58.33,59.16,59.55,57.09
59.03,58.75,59.56,58.54
59.50,58.88,59.50,58.50
59.79,59.59,61.22,59.46
60.25,61.87,61.92,60.08
61.98,62.20,62.52,61.80
62.00,61.86,62.03,61.14
61.98,61.79,62.10,61.63
61.72,62.17,62.85,61.72
62.21,61.79,62.33,61.51
61.71,61.80,62.13,61.64
62.07,62.61,62.70,61.96
62.60,62.78,63.14,62.47
63.19,63.28,63.37,62.94
63.50,63.00,63.50,62.89
63.02,62.02,63.04,61.54
62.26,62.47,62.63,62.19
62.54,61.89,62.85,61.79
61.06,60.51,61.60,60.37
60.50,60.74,61.18,60.38
60.49,60.51,60.87,60.22
60.95,60.60,61.28,60.53
59.91,60.24,60.55,59.89
60.40,60.64,60.86,60.05
59.63,59.10,59.63,58.40
59.25,59.67,59.74,59.10
60.42,60.40,60.93,60.24
60.65,60.32,60.65,60.20
60.20,60.28,60.53,59.82
60.60,61.60,63.73,60.60
61.83,61.64,61.99,61.13
61.45,62.93,63.21,61.45
62.90,63.30,63.50,62.62
63.24,62.88,63.44,62.47
63.24,63.52,63.60,62.68
63.49,62.76,63.63,62.55
62.41,62.20,62.82,61.92
62.87,62.10,63.11,61.60
62.13,62.73,62.92,62.05
63.00,63.24,63.38,62.75
63.19,62.65,63.32,62.23
62.48,62.85,63.14,62.28
62.80,61.82,62.87,61.60
61.63,62.29,62.69,61.51
62.07,62.03,62.14,61.57
62.13,62.63,62.74,61.82
62.92,62.90,63.10,62.64
62.87,62.62,63.09,62.49
61.91,61.53,62.10,61.37
61.65,61.39,61.99,61.23
61.24,61.45,61.79,61.04
61.23,61.89,62.07,61.16
62.18,62.41,62.55,62.07
63.12,63.53,63.59,62.98
63.61,62.06,63.73,61.98
62.28,62.25,62.40,61.82
61.61,61.51,62.17,61.35
61.27,60.97,61.60,60.78
61.29,60.50,61.36,60.40
60.34,59.86,60.37,59.55
60.11,60.12,60.25,59.60
59.56,59.22,59.85,59.06
59.23,59.71,59.93,59.15
60.18,60.39,61.00,60.02
59.90,59.16,60.30,59.08
59.46,59.98,60.56,59.24
60.58,59.89,60.62,59.86
59.87,60.56,60.94,59.87
60.71,60.62,61.03,60.51
60.38,60.39,60.80,60.30
59.83,59.99,60.06,58.97
60.15,59.90,60.26,59.66
60.13,59.89,60.47,59.89
60.22,60.42,60.57,60.11
60.79,60.75,61.07,60.57
60.98,60.86,61.29,60.40
61.03,62.02,62.18,60.99
62.40,62.44,62.59,61.95
62.39,62.87,63.14,62.16
63.40,63.79,63.86,63.35
63.10,63.47,64.32,62.99
62.80,61.20,62.91,61.09
61.16,61.02,61.78,60.92
61.42,61.90,62.48,61.04
62.12,61.42,62.30,61.17
61.73,60.91,61.73,60.54
60.60,60.26,60.60,59.43
60.61,61.21,61.37,60.48
61.31,61.50,61.61,60.76
61.79,62.51,62.95,61.73
62.45,62.48,62.51,62.09
61.72,61.75,62.22,61.65
62.00,60.17,62.00,59.74
59.71,59.29,60.14,59.28
59.11,58.80,59.70,58.65
58.12,58.21,58.85,57.73
58.70,56.93,58.85,56.77
56.58,55.66,56.91,55.62
55.72,55.12,56.02,54.55
54.50,52.11,54.69,52.03
52.61,51.28,52.70,49.74
50.63,45.77,50.73,45.16
46.40,50.61,50.67,45.93
49.07,48.34,50.22,48.10
48.55,51.55,52.45,48.20
51.97,50.46,52.02,50.15
50.95,51.49,51.64,50.84
50.74,51.30,51.88,50.48
51.63,51.83,52.23,51.37
50.12,48.93,50.51,48.60
48.27,48.70,50.22,48.21
49.78,47.88,49.85,47.77
48.34,49.88,49.88,47.70
49.86,50.78,50.91,49.45
51.21,49.50,51.46,49.03
49.04,50.47,50.60,48.31
50.95,53.31,53.33,50.95
52.93,52.88,53.32,51.79
53.20,53.37,53.99,52.74
53.53,51.88,53.87,51.81
50.53,49.77,51.03,49.67
47.61,49.48,49.63,47.61
50.35,51.86,51.89,50.19
51.34,51.57,52.10,51.11
50.90,49.91,51.30,49.68
48.95,50.32,50.33,48.90
50.70,51.41,51.62,50.08
51.79,52.46,53.32,50.48
52.91,52.59,53.09,52.03
52.23,51.88,52.65,51.50
51.05,50.18,51.05,49.69
50.64,50.23,51.56,50.22
50.00,46.91,50.41,46.90
45.23,45.36,46.11,44.51
45.09,46.03,46.28,44.84
46.45,47.02,47.12,45.42
48.11,48.05,48.85,47.70
48.16,46.14,48.19,46.12
47.28,47.67,47.81,46.08
46.91,45.95,47.60,45.95
45.80,44.99,46.65,44.95
44.71,47.60,47.72,44.67
47.41,48.11,48.40,46.97
47.94,49.68,49.87,47.90
49.86,47.75,50.00,47.71
48.77,50.32,50.37,48.77
49.63,49.36,50.89,49.21
49.36,50.43,51.15,49.36
49.87,50.35,50.68,48.62
50.99,51.13,51.23,50.09
50.95,49.30,51.06,49.13
49.54,51.40,51.75,48.89
51.20,50.08,51.82,50.01
50.19,51.51,51.65,49.88
51.78,53.07,53.29,51.56
52.86,53.40,54.19,52.37
52.70,51.46,52.98,51.15
52.43,53.05,53.43,51.11
55.35,54.85,55.51,53.73
54.79,53.83,54.79,53.77
53.04,52.23,53.43,51.95
50.23,49.68,51.18,49.57
50.03,51.14,51.55,49.85
51.97,52.26,52.38,50.73
51.64,51.94,52.34,51.44
51.98,53.23,53.32,51.83
53.54,53.52,53.66,52.04
51.98,51.32,52.56,51.14
52.00,51.25,52.12,50.72
51.98,52.57,52.83,51.96
52.37,51.56,52.56,51.39
51.52,52.32,52.69,51.28
51.70,51.18,52.39,51.15
51.13,50.34,51.96,50.13
50.69,50.70,51.36,50.21
49.78,49.42,49.93,49.21
49.59,50.00,50.70,49.37
49.47,48.54,49.47,48.53
48.33,48.62,49.36,48.33
50.44,50.27,50.45,49.63
50.22,49.11,50.24,48.87
50.96,51.50,51.85,50.48
51.08,50.64,51.57,50.50
51.14,49.67,51.35,49.61
50.47,50.85,51.55,50.24
50.86,51.50,51.88,50.53
50.97,51.70,51.85,50.54
50.94,49.96,51.20,49.81
50.36,51.38,51.60,50.05
50.48,49.86,50.64,49.35
50.41,49.06,50.58,48.79
48.52,48.78,49.47,48.45
49.41,49.47,49.82,49.11
49.90,50.71,50.83,49.83
50.96,49.30,51.36,49.19
50.23,50.60,50.65,50.01
50.30,51.27,51.30,50.30
51.45,51.65,51.71,51.19
51.94,52.50,52.55,51.75
52.40,52.36,52.68,52.12
52.22,51.77,52.74,51.75
51.77,52.34,52.55,51.71
52.42,52.25,52.46,52.07
53.65,53.05,53.84,52.99
52.92,52.70,53.00,52.65
52.26,52.67,52.88,51.28
52.76,52.22,52.76,51.93
51.75,51.45,52.02,51.19
52.06,53.44,53.46,51.96
53.11,53.50,53.54,53.03
53.73,53.75,54.04,53.53
53.05,53.36,53.48,52.87
53.90,54.00,54.23,53.83
53.86,54.41,54.42,53.65
54.70,54.69,55.04,54.47
54.48,55.35,55.36,54.37
55.30,55.82,56.27,55.18
55.56,56.23,56.44,55.56
56.10,56.63,56.69,55.84
57.03,56.52,57.08,55.88
56.24,56.14,56.55,55.89
55.45,55.97,56.36,55.20
55.99,54.49,55.99,54.16
55.48,55.97,56.73,54.94
56.14,55.49,56.28,55.33
56.29,56.26,56.46,55.85
56.08,56.39,56.45,55.70
56.32,56.76,56.89,56.01
56.72,56.25,57.14,56.04
56.43,56.07,56.61,55.55
55.60,55.82,56.26,55.32
56.00,55.96,56.51,55.67
55.71,56.50,56.56,55.18
56.76,56.62,57.25,56.48
56.53,57.09,57.30,56.52
57.23,57.27,57.43,57.15
57.55,57.88,57.92,57.22
57.85,57.23,57.96,57.10
57.52,57.40,57.70,57.08
57.36,57.72,57.86,56.96
57.26,57.02,57.37,56.41
56.97,56.65,57.11,56.37
56.84,57.67,57.89,56.82
57.65,57.23,57.65,56.81
57.07,55.91,57.24,55.79
55.90,56.61,56.77,55.56
55.98,55.20,56.02,54.95
55.45,55.32,55.67,54.97
55.64,55.15,55.84,54.56
55.15,56.07,56.38,55.07
56.17,56.69,56.84,55.97
57.17,58.34,58.34,56.87
58.40,58.38,58.51,57.81
58.46,58.61,58.87,58.02
58.54,58.40,59.15,58.24
58.41,58.39,58.80,58.19
57.99,58.76,59.22,57.55
58.74,58.26,58.77,57.80
57.76,57.63,58.16,57.51
57.87,58.30,58.34,57.63
58.70,59.70,59.70,58.63
59.82,59.82,59.97,59.43
59.71,59.86,59.95,59.17
59.42,58.90,59.42,58.54
59.08,59.47,59.64,58.45
59.27,59.36,59.87,58.89
59.30,59.25,59.50,58.70
58.88,58.98,59.50,58.53
58.87,58.24,58.87,58.13
57.50,57.64,57.86,57.31
57.69,56.90,57.76,56.76
57.51,57.48,57.67,57.18
57.65,57.89,57.93,57.29
57.58,56.37,57.58,56.37
56.74,57.01,57.05,56.30
57.44,57.98,58.18,57.30
57.59,57.40,57.73,57.22
57.62,57.61,57.99,57.12
57.88,56.75,57.96,56.72
56.10,56.35,56.48,55.82
56.51,57.11,57.26,56.31
57.66,57.81,58.02,57.02
57.89,58.77,58.81,57.38
58.77,58.43,58.82,57.82
58.40,58.14,58.40,57.70
55.50,57.54,58.91,55.40
57.25,56.81,57.35,56.32
56.70,55.50,56.97,55.44
55.26,54.34,55.53,54.34
54.10,54.35,54.65,53.69
54.02,54.76,54.85,54.02
53.85,53.07,53.86,53.00
53.42,53.61,54.08,53.42
53.13,52.99,53.38,52.74
52.51,52.70,52.93,52.03
52.59,52.22,52.78,52.03
52.37,51.87,52.58,51.80
51.93,50.74,52.01,50.73
50.85,50.19,50.98,50.08
50.26,50.47,50.89,49.85
50.56,50.69,51.09,50.34
50.31,50.25,50.41,49.59
50.29,50.36,50.44,49.69
50.52,50.30,50.66,50.06
50.46,50.80,50.94,50.24
50.28,50.23,50.47,49.87
50.34,50.17,50.41,49.52
49.47,49.02,49.56,48.97
49.21,49.07,49.31,48.80
48.82,49.43,49.61,48.82
49.79,50.79,50.79,49.61
51.27,50.81,51.61,50.79
50.59,50.88,51.03,50.30
51.45,50.77,51.46,50.48
50.99,51.02,51.30,50.66
50.97,50.61,51.29,50.42
50.79,51.06,51.24,50.72
51.22,51.54,51.73,50.98
51.13,51.93,51.97,51.00
51.99,52.52,53.00,51.69
52.56,53.42,53.60,52.26
53.58,51.75,53.93,51.54
52.00,51.68,52.13,51.58
51.04,50.13,51.08,50.00
50.34,50.66,50.89,50.04
50.70,51.17,51.28,50.35
50.82,51.77,51.77,50.46
53.39,53.21,53.66,52.45
53.52,54.65,54.71,53.37
54.73,55.65,55.89,54.66
55.42,55.48,55.61,55.02
54.94,55.07,55.21,54.78
54.84,55.03,55.14,54.84
55.31,54.88,55.47,54.69
54.99,55.53,55.62,54.81
54.93,55.38,55.55,54.80
55.68,56.76,56.80,55.42
56.41,56.62,56.83,56.29
56.72,57.51,57.52,56.37
57.27,58.20,58.24,57.12
58.23,58.21,58.35,57.70
57.88,57.24,57.94,57.05
56.28,57.05,57.22,56.15
57.20,56.11,57.20,55.75
56.12,56.31,56.39,55.70
57.34,56.83,57.89,56.37
56.00,55.91,56.22,52.75
55.85,56.26,56.45,55.79
56.19,55.67,56.30,55.64
55.96,55.38,56.19,55.32
54.90,54.05,55.25,53.81
54.95,55.89,56.16,54.72
55.85,56.18,56.72,55.79
56.50,56.61,56.72,56.31
56.26,56.46,57.00,56.20
56.36,56.16,56.83,56.06
55.87,56.63,56.69,55.76
56.65,56.29,56.65,55.79
56.68,56.05,57.16,55.92
56.10,57.08,57.20,55.99
57.00,57.39,57.67,56.72
57.42,57.75,57.95,57.36
57.54,57.73,57.82,57.27
57.79,57.86,58.35,57.57
57.73,57.55,58.12,57.24
57.57,57.07,57.78,57.05
57.05,57.53,57.65,56.89
57.79,57.48,58.05,57.33
57.39,57.61,57.96,57.30
57.55,57.50,57.80,57.37
57.23,57.71,57.72,57.15
58.00,58.74,58.88,57.78
58.64,59.49,59.50,58.36
59.47,58.73,59.68,58.56
58.85,59.49,59.89,58.85
59.70,59.89,59.98,59.68
59.93,59.50,59.98,59.23
59.45,59.82,59.99,59.45
60.00,59.52,60.17,59.29
59.29,59.99,60.18,58.85
60.22,60.00,60.69,59.84
59.91,59.53,60.00,59.50
59.36,59.31,59.58,59.26
59.09,59.10,59.76,59.00
58.73,59.51,59.60,58.56
59.86,58.60,59.97,58.59
58.55,58.34,59.05,58.29
58.72,57.67,58.98,57.63
57.67,57.20,57.69,57.06
57.50,57.71,57.72,57.05
57.45,57.87,58.00,57.43
57.87,57.52,57.98,57.31
57.55,57.71,57.82,57.27
57.89,57.28,57.89,57.23
57.45,58.05,58.11,57.29
58.34,58.47,58.86,58.21
58.39,58.37,58.47,58.10
58.05,58.08,58.36,57.56
58.08,57.98,58.43,57.86
58.52,58.23,58.74,58.13
58.00,57.10,58.29,57.04
57.10,57.66,57.86,57.04
58.03,58.83,58.85,57.72
58.98,60.01,60.20,58.97
55.31,53.51,56.18,53.50
53.10,52.93,54.14,52.79
52.74,53.41,53.51,52.65
52.73,52.82,53.02,52.62
52.90,53.17,53.41,52.62
53.36,52.83,53.49,52.58
52.87,52.66,52.90,52.31
52.61,52.92,53.07,52.50
53.09,53.42,54.13,53.09
53.04,52.86,53.72,52.82
53.01,53.06,53.18,52.62
53.33,53.59,53.83,53.01
53.49,52.03,53.69,51.71
51.89,51.27,52.38,51.00
51.14,51.08,51.54,50.82
51.33,50.72,51.51,50.01
50.47,49.98,50.82,49.95
50.02,48.80,50.37,48.77
48.86,48.98,49.38,48.76
49.17,48.64,49.20,48.36
49.67,49.25,49.67,48.78
49.19,49.47,49.68,49.06
49.51,49.89,50.00,49.35
49.97,50.16,50.33,49.85
50.16,50.60,50.62,50.16
50.60,50.63,50.89,50.31
50.49,50.71,50.87,50.16
50.96,51.27,51.39,50.86
51.29,51.20,51.53,50.97
51.44,50.95,51.50,50.61
50.82,51.22,51.44,50.77
51.38,51.87,52.07,51.20
51.91,51.92,52.02,51.65
52.13,51.99,52.19,51.79
51.92,52.18,52.52,51.69
52.32,52.65,52.65,52.16
52.90,52.77,53.66,52.65
52.57,52.44,52.93,52.42
52.36,51.55,52.69,51.06
51.81,52.85,52.85,51.69
52.92,53.51,53.53,52.83
54.66,53.80,54.70,53.71
53.98,54.04,54.23,53.52
53.48,53.67,54.04,53.25
53.54,53.68,54.07,53.35
53.65,53.14,53.87,53.07
53.34,52.90,53.34,52.71
52.73,53.04,53.41,52.63
52.89,53.52,53.55,52.67
54.36,55.25,55.25,54.33
55.10,55.48,55.78,54.95
55.38,55.91,55.93,55.31
55.61,55.36,55.84,55.31
55.19,54.52,55.40,54.39
54.80,55.29,55.31,54.58
55.43,55.31,55.67,54.99
55.37,55.66,55.66,54.95
55.49,55.69,55.69,55.27
55.33,55.58,55.69,55.26
55.56,55.00,55.56,54.97
55.40,55.59,56.14,55.04
55.71,56.10,56.33,55.29
56.00,56.25,56.43,55.85
56.18,56.55,56.56,56.05
56.22,55.60,56.23,55.42
55.60,55.49,55.63,55.20
55.64,56.10,56.15,55.52
56.12,56.81,56.96,55.77
56.88,57.14,57.19,56.65
56.93,57.39,57.51,56.60
60.24,58.66,61.86,58.53
58.50,58.08,58.66,57.59
58.10,58.08,58.39,56.89
57.70,58.42,58.42,57.57
58.64,58.40,58.65,57.56
58.67,58.87,58.87,58.47
58.75,59.01,59.17,58.61
59.07,59.01,59.23,58.85
59.05,59.13,59.24,58.67
58.90,59.17,59.22,58.88
58.99,59.15,59.32,58.94
59.16,59.63,59.73,59.13
59.62,59.00,59.78,58.92
58.91,58.77,59.09,58.47
58.77,58.89,59.15,58.70
59.06,57.35,59.38,57.29
57.65,57.46,57.75,56.90
57.57,57.68,58.12,57.27
57.73,57.50,58.00,57.47
57.27,57.52,57.87,56.66
57.30,57.77,57.91,57.01
58.08,58.50,58.85,58.08
58.73,58.97,59.15,58.57
59.13,58.94,59.60,58.90
59.31,59.90,60.15,59.20
59.64,60.24,60.63,59.55
60.17,60.15,60.34,59.99
60.16,60.43,60.65,60.10
60.57,60.90,61.31,60.34
60.84,60.55,60.84,60.40
59.93,60.10,60.45,59.81
60.15,60.25,60.41,59.96
60.29,59.72,60.69,59.71
59.22,58.88,59.85,58.76
59.20,58.77,59.21,58.69
59.03,58.66,59.09,58.47
58.91,58.76,59.06,58.62
58.55,58.97,59.07,58.32
59.06,59.67,59.77,58.79
59.65,59.03,59.76,58.91
59.32,58.83,59.33,58.63
58.75,58.17,58.93,58.17
58.35,59.06,59.16,58.26
58.41,58.89,59.05,58.19
58.94,58.84,59.01,58.17
58.83,58.87,59.03,58.39
59.13,59.66,60.19,59.00
59.61,59.03,59.62,58.70
58.88,59.21,59.26,58.67
60.51,57.65,60.51,57.62
58.08,58.56,58.65,57.93
58.06,57.47,58.27,57.14
57.46,57.72,57.92,57.26
57.81,58.60,58.65,57.47
58.66,58.63,58.78,57.87
58.98,59.75,59.85,58.85
59.82,60.68,60.72,59.59
60.91,60.63,61.15,60.29
61.00,61.67,62.00,60.78
62.00,61.68,62.03,61.41
61.52,62.55,62.55,61.44
62.07,61.30,62.74,61.28
61.50,61.76,62.15,61.32
62.15,62.69,63.22,62.12
62.49,63.06,63.18,62.49
63.18,64.03,64.07,62.75
63.72,64.35,64.35,63.41
64.17,64.00,64.72,63.78
63.91,63.43,64.08,63.17
63.20,63.68,63.74,63.08
63.56,64.20,64.23,63.56
64.00,64.04,64.24,63.54
63.78,63.78,64.31,63.59
63.99,64.30,64.59,63.78
64.21,64.65,64.65,64.07
64.57,64.94,65.27,64.48
64.99,64.40,65.34,64.35
64.09,63.81,64.09,63.30
63.80,64.43,64.47,63.35
64.88,64.91,65.34,64.34
64.54,65.18,65.22,64.40
65.39,66.36,66.45,65.17
66.19,65.89,66.67,65.87
65.86,66.41,66.44,65.19
66.42,65.78,66.57,65.06
65.65,65.07,65.65,64.80
65.01,65.82,65.82,64.49
66.12,66.49,66.56,65.55
66.49,66.78,67.13,66.22
66.08,66.38,66.98,65.64
66.72,66.03,67.04,65.90
65.89,67.32,67.55,65.77
66.79,66.40,67.46,66.10
67.03,66.96,67.29,66.66
67.12,67.24,67.43,66.84
67.52,67.26,68.36,67.23
66.65,66.71,67.56,66.47
