AGZ,iShares  Agency Bond ETF,NASDAQ
108.71,108.88,109.00,108.47
108.84,108.49,109.02,108.49
108.00,108.46,108.67,108.00
108.71,108.42,108.71,108.31
108.59,108.65,108.70,108.51
108.73,108.60,108.74,108.51
108.91,108.63,109.03,108.63
108.87,108.96,109.13,108.82
108.74,109.03,109.11,108.74
109.16,109.18,109.41,108.95
109.17,109.24,109.49,109.17
109.63,109.37,109.65,109.28
109.44,109.37,109.46,109.18
109.57,109.16,109.60,109.14
109.15,109.40,109.40,108.92
109.22,109.16,109.22,108.91
nan,109.45,nan,nan
109.19,109.33,109.34,109.19
108.91,109.10,109.29,108.91
108.78,108.92,109.09,108.78
109.34,109.35,109.35,108.87
109.39,109.48,109.60,109.36
109.30,109.55,109.80,109.30
109.38,109.56,109.56,109.38
109.41,109.33,109.50,109.20
109.49,109.43,109.50,109.27
109.28,109.37,109.53,109.14
109.42,109.32,109.49,109.23
109.46,109.44,109.52,109.37
109.46,109.40,109.59,109.40
109.40,109.54,109.70,109.40
109.51,109.61,109.63,109.48
109.64,109.76,109.76,109.59
109.75,109.72,109.89,109.57
109.95,109.68,110.04,109.62
109.84,109.83,109.97,109.75
110.08,110.17,110.17,109.99
110.24,110.27,110.31,110.10
110.36,110.29,110.36,110.15
110.22,110.03,110.30,110.00
nan,109.98,nan,nan
109.84,109.96,110.09,109.84
110.08,109.91,110.11,109.91
109.78,109.92,109.94,109.71
109.85,109.84,109.86,109.78
110.03,109.98,110.05,109.88
109.94,109.89,109.98,109.66
110.01,110.09,110.10,109.95
110.27,110.29,110.39,110.17
110.38,110.45,110.51,110.37
110.40,110.29,110.45,110.29
110.52,110.37,110.53,110.29
110.49,110.69,110.70,110.40
110.43,110.64,110.67,110.40
110.41,110.46,110.56,110.40
110.47,110.46,110.47,110.36
110.42,110.34,110.46,110.24
110.44,110.54,110.58,110.27
110.49,110.58,110.66,110.44
110.78,110.67,110.80,110.60
110.57,110.47,110.57,110.41
110.63,110.68,110.68,110.59
110.70,110.50,110.70,110.49
110.73,110.55,110.73,110.53
110.81,110.74,110.81,110.58
110.93,110.77,110.93,110.67
110.77,110.89,110.92,110.67
111.03,110.96,111.03,110.89
110.95,110.80,110.95,110.76
110.91,110.74,110.97,110.74
111.22,111.21,111.22,111.11
111.15,111.02,111.15,111.00
111.15,110.95,111.15,110.92
110.98,111.19,111.23,110.98
111.16,111.09,111.34,111.05
111.13,111.17,111.19,111.02
111.28,111.22,111.34,111.14
111.40,111.22,111.40,111.14
111.43,111.21,111.44,111.18
111.28,110.95,111.36,110.95
111.20,111.43,111.43,111.11
111.38,111.60,111.60,111.26
111.18,111.03,111.18,110.90
110.99,111.00,111.16,110.93
nan,110.89,nan,nan
110.99,111.15,111.15,110.93
111.04,110.88,111.04,110.86
110.80,110.68,110.87,110.66
110.53,110.59,110.67,110.53
110.70,110.82,110.83,110.67
110.72,111.03,111.04,110.72
110.95,110.90,111.02,110.83
110.86,110.87,110.91,110.75
110.93,110.89,110.94,110.82
110.78,110.90,110.99,110.78
111.12,111.29,111.29,111.00
111.41,111.30,111.41,111.21
111.43,111.26,111.46,111.26
111.36,111.27,111.36,111.17
111.19,111.42,111.49,111.19
111.54,111.40,111.56,111.37
111.47,111.41,111.54,111.34
111.64,111.41,111.64,111.27
111.02,111.22,111.38,111.02
111.32,111.40,111.45,111.20
111.39,111.26,111.46,111.26
111.50,111.45,111.52,111.42
111.64,111.71,111.77,111.60
111.59,111.74,111.83,111.58
111.81,111.52,111.82,111.52
111.74,111.67,111.85,111.66
111.66,111.70,111.73,111.56
111.73,111.51,111.73,111.46
111.46,111.30,111.55,111.30
111.57,111.61,111.64,111.45
111.61,111.64,111.76,111.55
111.65,111.72,111.77,111.65
111.76,111.62,111.77,111.60
111.68,111.67,111.68,111.61
111.74,111.58,111.74,111.49
111.45,111.43,111.54,111.40
111.17,111.30,111.49,111.17
111.48,111.38,111.49,111.33
111.52,111.52,111.54,111.38
111.65,111.42,111.65,111.38
111.36,111.50,111.52,111.36
111.54,111.62,111.73,111.51
111.55,111.76,111.83,111.53
111.69,111.56,111.69,111.56
111.59,111.49,111.59,111.47
111.64,111.30,111.64,111.25
111.34,111.32,111.38,111.02
111.43,111.00,111.43,110.87
111.11,111.46,111.46,110.79
110.79,110.53,110.87,110.53
110.63,110.73,110.88,109.95
110.95,110.80,111.02,110.80
110.64,110.72,110.78,110.55
110.49,110.70,110.74,110.49
110.69,110.91,110.93,110.69
111.07,111.05,111.11,110.80
nan,110.70,nan,nan
110.48,110.77,110.83,110.48
110.86,110.87,110.89,110.72
111.03,110.98,111.03,110.86
110.53,110.41,110.60,110.41
110.32,110.24,110.39,110.23
110.53,110.39,110.57,110.34
110.28,110.52,110.57,110.26
110.40,110.06,110.51,109.94
109.90,109.90,110.28,109.55
109.97,109.69,110.04,109.69
109.58,109.41,109.60,109.38
109.50,109.61,109.68,109.31
109.52,109.35,109.52,108.74
109.34,109.15,109.35,109.02
109.25,109.29,109.29,108.97
109.40,109.50,109.56,109.26
109.67,109.44,109.67,109.42
109.52,109.54,109.66,109.41
109.70,109.55,109.70,109.44
nan,109.45,nan,nan
109.36,109.56,109.56,109.24
109.49,109.18,109.49,109.06
109.30,109.47,109.56,109.03
109.29,109.42,109.51,109.29
109.35,109.52,109.64,109.35
109.68,109.54,109.68,109.41
109.48,109.49,109.67,109.46
109.47,109.13,109.48,109.13
109.41,109.20,109.41,109.09
109.38,109.65,109.66,109.30
109.65,109.64,109.71,109.48
109.46,109.67,109.70,109.46
109.41,109.66,109.73,109.41
109.66,109.88,110.08,109.54
nan,109.68,nan,nan
109.80,109.77,109.80,109.67
109.77,109.81,109.87,109.66
109.75,109.57,109.75,109.43
109.59,109.82,110.11,109.43
110.05,109.72,110.05,109.66
109.67,110.05,110.05,109.63
109.74,109.60,109.90,109.58
109.81,109.82,109.86,109.65
109.85,109.78,109.99,109.62
109.94,109.95,109.96,109.76
109.64,109.59,109.65,109.48
109.68,109.48,109.68,109.26
109.30,109.28,109.39,109.26
109.17,109.07,109.17,108.95
108.95,108.78,108.95,108.75
108.74,108.46,109.03,108.46
108.64,108.66,108.84,108.57
108.91,108.54,108.91,108.48
108.62,108.70,108.77,108.62
108.61,108.89,108.91,108.61
108.65,109.02,109.02,108.65
109.26,108.72,109.26,108.70
108.88,108.74,109.02,108.74
nan,108.88,nan,nan
108.64,108.88,108.98,108.64
108.95,108.81,108.95,108.80
109.25,108.97,109.25,108.94
108.88,109.00,109.30,108.88
109.35,109.44,109.45,109.20
109.07,109.36,109.38,108.97
109.54,109.20,109.54,109.17
109.27,109.02,109.27,108.69
109.05,108.96,109.25,108.96
108.77,109.21,109.25,108.77
109.35,108.95,109.35,108.95
109.22,109.43,109.43,109.03
109.44,109.71,109.73,109.20
109.75,109.77,109.77,109.75
109.80,109.71,109.91,109.64
110.11,109.87,110.11,109.66
110.02,110.07,110.26,110.02
110.09,109.67,110.09,109.56
110.22,109.84,110.22,109.76
110.08,109.51,110.08,109.49
109.71,109.73,109.73,109.44
109.87,109.41,109.87,109.36
109.61,109.38,109.61,109.33
109.66,109.33,109.66,109.25
109.37,109.29,109.37,109.17
109.47,109.17,109.47,109.06
109.19,109.25,109.46,109.19
109.52,109.35,109.52,109.26
109.15,109.23,109.23,109.03
109.42,109.29,109.42,109.26
109.11,109.16,109.36,109.11
109.29,109.06,109.29,109.05
109.22,109.07,109.22,109.07
109.14,109.00,109.14,109.00
109.19,109.10,109.19,108.99
109.17,109.35,109.42,109.17
109.29,109.40,109.45,109.29
109.50,109.30,109.50,109.30
109.61,109.67,109.67,109.52
109.45,109.75,109.87,109.45
109.75,109.75,109.75,109.66
109.59,109.56,109.73,109.53
nan,109.46,nan,nan
109.63,109.64,109.74,109.59
109.83,109.75,109.83,109.72
109.72,109.71,109.72,109.64
109.93,109.93,109.95,109.80
109.96,110.12,110.12,109.96
110.16,109.87,110.16,109.75
109.94,109.89,109.94,109.84
109.94,109.95,109.98,109.89
110.00,110.09,110.18,110.00
109.90,110.22,110.28,109.90
110.25,110.12,110.33,110.07
110.18,110.02,110.18,109.99
109.93,110.09,110.09,109.93
110.21,110.10,110.21,110.05
110.14,110.06,110.19,110.06
110.33,110.27,110.33,110.10
110.45,110.40,110.45,110.32
110.51,110.22,110.51,110.21
110.34,110.41,111.12,110.13
110.54,110.32,110.54,110.24
110.55,110.38,110.55,110.38
110.36,110.37,110.38,110.30
110.41,110.39,110.50,110.36
110.42,110.60,110.60,110.42
nan,110.66,nan,nan
110.82,110.68,110.82,110.56
110.64,110.69,110.69,110.64
110.63,110.64,110.67,110.57
110.65,110.75,110.88,110.65
110.85,110.73,110.85,110.72
110.85,110.76,110.85,110.61
110.95,110.93,110.95,110.89
111.03,110.83,111.03,110.83
110.86,110.86,110.95,110.86
110.91,110.87,110.92,110.77
110.85,110.64,110.85,110.64
110.68,110.83,110.87,110.68
110.96,110.90,110.96,110.83
110.92,110.82,110.92,110.80
110.99,110.88,110.99,110.81
110.93,110.84,110.93,110.84
111.01,110.89,111.11,110.89
110.88,110.98,111.02,110.88
110.94,111.01,111.01,110.84
110.97,110.94,111.03,110.86
110.97,110.69,110.97,110.60
110.70,110.51,110.70,110.46
110.73,110.71,110.74,110.43
nan,110.38,nan,nan
110.45,110.51,110.51,110.45
110.60,110.51,110.64,110.51
110.37,110.35,110.45,110.34
110.61,110.69,110.76,110.51
110.96,110.90,110.99,110.79
110.91,110.90,111.00,110.80
110.94,111.04,111.04,110.94
111.01,111.01,111.01,110.88
110.80,110.91,110.93,110.80
110.92,110.86,110.96,110.85
110.79,110.90,110.98,110.76
110.87,110.95,110.97,110.85
110.84,110.70,110.87,110.70
110.78,110.83,110.91,110.78
110.75,110.79,110.87,110.75
110.71,110.89,110.89,110.71
110.78,110.64,110.78,110.64
110.77,110.74,110.87,110.71
110.83,111.31,111.31,110.83
111.36,111.14,111.39,111.09
111.37,111.37,111.37,111.15
111.50,111.42,111.50,111.42
111.59,111.82,111.82,111.51
111.47,111.42,111.76,111.35
111.46,111.92,111.92,111.46
111.56,112.15,112.15,111.41
112.10,112.56,112.56,112.10
112.04,112.48,112.48,112.04
112.36,112.12,112.36,112.12
112.16,112.39,112.39,112.15
112.06,112.41,112.55,112.06
112.35,112.58,112.61,112.35
112.96,112.67,112.96,112.57
112.54,112.55,112.59,112.41
112.32,112.26,112.54,112.25
112.24,112.24,112.49,112.19
112.20,112.19,112.25,112.17
112.26,112.29,112.32,112.26
112.21,112.36,112.38,112.21
112.28,112.14,112.34,112.10
112.31,112.45,112.52,112.31
112.63,112.42,112.63,112.40
112.27,112.10,112.27,112.10
112.65,112.63,112.67,112.41
112.82,112.54,112.82,112.35
112.59,112.44,112.59,112.44
112.86,112.60,112.86,112.60
112.30,112.76,112.76,112.30
112.91,112.77,112.99,112.55
112.44,112.44,112.60,112.34
112.38,112.59,112.64,112.38
112.39,112.39,112.70,112.33
112.46,112.69,112.69,112.46
112.67,112.88,112.88,112.48
112.97,112.87,112.97,112.87
112.72,112.81,113.28,112.72
113.29,113.16,113.29,112.75
112.79,112.89,112.96,112.79
113.15,112.70,113.15,112.68
112.52,112.44,112.52,112.30
112.46,112.47,112.47,112.42
112.58,112.64,112.64,112.58
112.86,112.70,113.00,112.66
112.47,112.89,112.89,112.47
112.98,112.70,112.98,112.70
112.57,112.79,112.79,112.57
112.67,112.34,112.71,112.33
112.34,112.25,112.38,111.49
112.20,111.75,112.20,111.64
112.30,111.88,112.30,111.88
112.06,111.82,112.06,111.68
112.10,112.14,112.14,111.90
112.20,112.01,112.20,112.01
112.25,112.25,112.25,112.11
112.39,112.20,112.39,112.01
111.96,112.30,112.31,111.96
112.21,112.21,112.21,112.21
112.38,112.18,112.38,112.18
112.40,112.17,112.40,112.11
112.00,112.39,112.39,112.00
112.31,112.21,112.35,112.16
112.03,111.69,112.11,111.69
112.16,111.91,112.16,111.91
112.25,112.22,112.25,112.20
112.39,112.57,112.63,112.39
112.79,112.42,112.79,112.17
112.66,112.33,112.66,112.29
112.29,112.33,112.37,112.17
112.70,112.44,112.70,112.39
112.34,112.26,112.66,112.26
112.51,112.81,112.81,112.41
112.72,112.68,112.73,112.49
112.56,112.22,112.57,112.04
112.25,112.33,112.33,112.16
112.34,112.18,112.34,112.18
112.23,112.28,112.50,112.21
112.23,112.31,112.31,112.18
112.56,112.59,112.59,112.38
112.67,112.33,112.67,112.24
112.66,112.66,112.71,112.29
nan,112.67,nan,nan
112.66,112.63,112.66,112.62
112.30,112.50,112.50,112.30
112.35,112.31,112.62,112.15
112.30,112.49,112.62,112.17
111.98,112.28,112.28,111.98
112.06,112.30,112.37,112.06
112.51,112.48,112.53,112.02
112.25,112.52,112.56,112.25
112.71,112.52,112.71,112.37
112.60,112.78,112.78,112.59
112.53,112.66,112.73,112.53
112.42,112.34,112.60,112.31
112.30,112.71,112.81,112.30
112.36,112.69,112.89,112.36
112.91,112.88,112.91,112.67
112.81,112.95,113.46,112.81
112.66,113.02,113.02,112.66
112.72,112.82,112.97,112.62
112.66,112.87,112.91,112.66
112.75,112.84,113.01,112.70
nan,112.83,nan,nan
112.52,112.55,112.74,112.35
112.69,112.70,112.72,112.67
112.67,112.78,112.78,112.66
nan,112.95,nan,nan
112.69,112.67,112.69,112.62
112.86,112.79,112.95,112.77
112.94,112.53,112.94,112.53
112.85,112.66,112.89,112.61
112.77,112.82,112.82,112.76
112.93,112.71,112.93,112.59
112.77,113.18,113.18,112.77
112.95,113.11,113.21,112.95
nan,113.26,nan,nan
113.22,112.83,113.22,112.73
113.10,112.81,113.10,112.81
113.04,112.89,113.04,112.69
112.87,112.86,112.90,112.70
112.67,112.79,112.83,112.64
112.84,112.59,112.88,112.58
112.63,112.91,113.20,112.63
113.33,113.28,113.33,113.08
113.27,113.20,113.27,113.20
113.16,113.11,113.26,113.11
113.07,113.47,113.53,113.05
113.45,113.36,113.46,113.29
113.43,113.00,113.43,113.00
113.06,113.10,113.10,112.90
113.07,112.78,113.07,112.78
112.85,112.84,112.93,112.58
112.83,112.78,112.83,112.78
112.68,112.76,112.77,112.68
112.76,112.93,112.93,112.64
112.71,112.80,113.02,112.71
112.93,113.06,113.06,112.76
112.88,113.06,113.06,112.85
113.09,112.90,113.09,112.90
112.88,112.88,112.88,112.88
112.67,112.62,112.78,112.62
112.68,112.85,112.85,112.64
112.90,112.90,112.90,112.90
112.87,112.82,112.89,112.82
112.92,112.79,112.99,112.62
112.66,112.80,112.84,112.66
113.01,112.82,113.01,112.63
112.83,112.67,112.83,112.41
112.69,112.84,112.84,112.69
112.85,112.75,112.85,112.65
112.75,112.86,112.87,112.75
112.91,112.88,112.91,112.79
112.88,112.85,112.99,112.76
112.80,112.71,112.80,112.65
112.84,112.85,112.88,112.84
112.71,112.56,112.71,112.56
112.21,112.09,112.32,112.06
112.03,112.39,112.39,112.03
112.19,112.24,112.30,112.18
112.13,112.10,112.24,112.00
111.99,112.01,112.27,111.99
112.15,112.16,112.16,112.10
112.38,112.34,112.38,112.30
112.22,112.44,112.45,112.21
112.52,112.56,112.56,112.49
112.68,112.64,112.68,112.55
112.54,112.56,112.66,112.54
112.43,112.72,112.75,112.43
112.47,112.63,112.63,112.47
112.31,112.39,112.48,112.29
112.22,112.39,112.40,112.22
112.09,112.44,112.48,112.09
112.24,112.40,112.44,112.24
112.49,112.64,112.64,112.49
112.61,112.53,112.90,112.45
112.80,112.49,112.80,112.48
112.80,112.49,112.80,112.49
112.72,112.77,112.79,112.62
112.63,112.74,112.82,112.63
112.89,112.61,112.89,112.61
112.87,112.71,112.87,112.63
112.72,112.71,112.79,112.57
112.94,112.84,112.94,112.75
112.98,112.90,112.98,112.90
112.76,112.88,112.89,112.76
112.79,112.85,112.85,112.76
113.09,112.90,113.09,112.77
113.02,112.97,113.02,112.97
113.01,113.10,113.10,112.76
112.96,112.84,112.97,112.80
113.02,112.83,113.02,112.83
112.91,112.92,112.93,112.91
112.96,112.98,112.98,112.96
113.06,113.04,113.06,113.04
113.18,113.18,113.18,113.18
113.06,113.12,113.12,113.06
113.12,113.14,113.14,113.12
113.09,113.10,113.15,113.07
113.32,113.32,113.42,113.32
113.24,113.09,113.24,113.09
113.08,113.12,113.12,113.08
113.20,113.13,113.20,113.09
113.21,113.42,113.42,113.17
113.23,113.18,113.23,113.18
113.18,113.04,113.18,113.04
113.20,113.34,113.34,113.20
113.09,113.17,113.24,113.09
113.20,113.05,113.20,112.93
113.20,113.24,113.24,113.20
113.30,113.43,113.43,113.27
113.45,113.43,113.60,113.40
114.45,113.84,114.45,113.50
113.56,113.50,113.60,113.50
113.54,113.46,113.54,113.35
113.45,113.48,113.48,113.45
113.45,113.41,113.45,113.41
113.54,113.38,113.54,113.38
113.46,113.34,113.46,113.34
113.38,113.36,113.39,113.35
113.28,113.48,113.48,113.28
113.30,113.39,113.46,113.30
113.45,113.53,113.58,113.45
113.50,113.61,113.61,113.43
113.41,113.49,113.57,113.41
113.47,113.50,113.54,113.47
113.44,113.39,113.52,113.39
113.46,113.40,113.46,113.40
113.52,113.52,113.52,113.49
113.49,113.46,113.49,113.40
113.44,113.57,113.57,113.44
113.56,113.49,113.64,113.44
113.50,113.46,113.50,113.46
113.38,113.56,113.66,113.35
113.51,113.46,113.51,113.46
113.53,113.45,113.53,113.42
113.78,113.70,113.78,113.70
113.69,113.64,113.71,113.64
113.69,113.69,113.69,113.69
113.68,113.72,113.74,113.61
113.77,113.87,113.87,113.71
113.99,113.80,113.99,113.78
113.91,113.94,113.94,113.81
113.94,113.83,113.94,113.83
113.94,113.93,113.94,113.79
113.94,113.84,113.94,113.84
113.99,114.00,114.00,113.99
114.16,114.07,114.16,114.07
114.03,114.06,114.09,114.03
114.07,114.09,114.15,114.07
114.02,114.00,114.02,114.00
113.98,113.85,113.98,113.85
113.85,113.84,113.85,113.73
113.94,113.91,114.00,113.91
113.77,113.83,113.83,113.73
113.80,113.66,113.80,113.65
113.75,113.60,113.75,113.57
113.72,113.58,113.72,113.58
113.66,113.49,113.66,113.49
113.50,113.47,113.66,113.47
113.47,113.35,113.47,113.35
113.59,113.48,113.59,113.48
113.59,113.56,113.59,113.47
113.49,113.42,113.49,113.39
113.35,113.20,113.35,113.20
113.20,113.20,113.21,113.20
113.18,113.34,113.34,113.15
113.27,113.35,113.35,113.27
113.26,113.25,113.30,113.15
113.50,113.44,113.50,113.44
113.52,113.56,113.70,113.52
113.58,113.52,113.65,113.52
113.52,113.58,113.67,113.52
113.60,113.62,113.72,113.60
113.72,113.68,113.72,113.68
113.70,113.82,113.82,113.70
113.79,113.92,113.99,113.79
113.83,113.92,113.94,113.72
113.95,113.87,113.95,113.83
113.79,113.64,113.79,113.60
113.58,113.84,113.85,113.48
113.75,113.80,113.87,113.75
113.80,113.89,113.89,113.62
113.65,113.71,113.85,113.65
113.84,113.53,113.85,113.53
113.67,113.63,113.67,113.33
113.52,113.54,113.58,113.36
113.61,113.75,113.75,113.47
113.67,113.75,113.81,113.67
113.71,113.71,113.94,113.71
113.70,113.78,113.84,113.56
113.79,113.90,113.91,113.75
113.83,113.84,113.90,113.74
113.78,114.01,114.04,113.78
113.90,113.92,114.01,113.89
114.02,114.02,114.18,113.99
114.01,113.94,114.01,113.87
114.00,113.81,114.00,113.81
114.01,114.03,114.03,114.00
114.00,113.97,114.08,113.88
113.83,113.87,113.87,113.77
114.02,113.89,114.02,113.82
113.85,113.78,113.85,113.76
113.75,113.82,113.82,113.74
113.94,113.82,113.94,113.81
113.82,113.90,113.91,113.82
113.87,113.93,113.95,113.84
113.88,113.84,113.88,113.81
113.72,113.59,113.72,113.59
113.74,113.69,113.74,113.56
113.80,113.67,113.80,113.66
113.50,113.54,113.54,113.50
113.63,113.59,113.65,113.54
113.60,113.59,113.60,113.53
113.52,113.38,113.52,113.38
113.43,113.63,113.63,113.43
113.63,113.72,113.72,113.52
113.64,113.66,113.66,113.64
113.62,113.70,113.75,113.62
113.65,113.74,113.80,113.58
113.67,113.69,113.76,113.67
113.76,113.78,113.83,113.67
113.86,113.87,113.89,113.82
113.85,113.86,114.07,113.85
113.88,113.87,113.90,113.82
113.91,113.84,113.94,113.83
113.89,113.82,113.89,113.82
113.94,113.97,113.99,113.94
113.91,114.00,114.00,113.91
113.94,113.95,113.95,113.84
113.94,113.78,113.94,113.77
113.87,113.87,113.87,113.72
113.88,113.82,113.88,113.72
113.75,113.85,113.85,113.73
113.81,113.89,113.93,113.62
113.82,113.78,114.02,113.75
113.95,113.85,113.95,113.82
113.96,113.65,114.01,113.65
113.70,113.70,114.42,113.58
113.73,113.67,113.93,113.65
114.00,113.73,114.00,113.73
113.95,113.78,113.95,113.69
113.96,113.70,114.00,113.70
114.05,113.73,114.06,113.72
113.78,113.60,113.83,113.60
113.64,113.70,113.86,113.57
113.64,113.59,113.73,113.44
113.66,113.74,113.74,113.58
113.55,113.50,113.75,113.50
113.45,113.38,113.47,113.35
113.30,113.38,113.45,113.30
113.41,113.43,113.45,113.36
113.35,113.50,113.52,113.35
113.49,113.45,113.49,113.37
113.37,113.40,113.40,113.32
113.32,113.44,113.48,113.27
113.37,113.53,113.54,113.37
113.45,113.30,113.53,113.30
113.36,113.24,114.04,113.23
113.40,113.14,113.46,113.13
113.14,113.14,113.15,112.98
113.18,113.17,113.18,113.01
113.28,113.34,113.34,113.22
113.22,113.34,113.36,113.21
113.33,113.29,113.33,113.13
113.33,113.33,113.39,113.18
113.43,113.27,113.58,113.27
113.49,113.41,113.49,113.39
113.36,113.47,113.49,113.36
113.37,113.31,113.37,113.15
113.26,113.38,113.39,113.26
113.30,113.44,113.51,113.28
113.41,113.35,113.51,113.32
113.28,113.39,113.44,113.28
113.44,113.19,113.44,113.14
113.06,113.08,113.15,112.98
112.90,112.93,113.12,112.90
112.92,112.94,112.98,112.81
113.06,112.97,113.10,112.85
112.97,112.88,113.05,112.88
112.99,113.08,113.08,112.90
112.93,112.86,113.00,112.81
112.83,113.05,113.05,112.83
113.02,113.15,113.17,112.96
113.10,113.10,113.12,113.04
113.10,113.04,113.12,112.97
112.97,112.94,113.08,112.94
112.94,112.87,112.97,112.87
112.99,113.01,113.04,112.86
113.03,113.02,113.06,112.91
113.00,112.96,113.07,112.96
113.15,113.03,113.15,112.82
113.11,113.19,113.19,113.00
113.06,113.21,113.21,113.06
113.17,113.33,113.33,113.13
113.18,113.37,113.46,113.17
113.46,113.33,113.46,113.23
113.36,113.33,113.41,113.17
113.30,113.36,113.40,113.27
113.36,113.32,113.38,113.31
113.15,113.24,113.28,113.15
113.14,113.26,113.26,113.14
113.18,113.08,113.19,113.03
112.93,112.86,113.04,112.83
112.88,112.89,112.97,112.80
112.89,112.92,112.92,112.81
113.08,112.84,113.08,112.79
112.78,112.94,112.94,112.78
113.03,113.10,113.12,112.92
113.25,113.20,113.25,113.12
113.24,113.29,113.30,113.18
113.16,113.25,113.27,113.12
113.06,113.21,113.22,113.05
113.40,113.14,113.40,113.14
113.04,113.21,113.28,113.04
113.22,113.30,113.30,113.16
113.38,113.34,113.38,113.30
113.34,113.40,113.43,113.31
113.27,113.31,113.39,113.21
113.26,113.27,113.35,113.24
113.27,113.38,113.43,113.27
113.46,113.44,113.60,113.32
113.51,113.62,113.78,113.49
113.70,113.68,113.74,113.64
113.61,113.70,113.79,113.61
113.70,113.53,113.70,113.53
113.44,113.49,113.64,113.44
113.53,113.64,113.73,113.53
113.79,113.80,113.80,113.63
113.75,113.70,113.75,113.57
113.75,113.74,113.78,113.54
113.77,113.77,113.79,113.65
113.91,113.78,113.91,113.66
113.76,113.71,113.81,113.67
113.83,113.67,113.88,113.67
113.64,113.71,113.77,113.61
113.71,113.71,113.73,113.62
113.66,113.74,113.80,113.66
113.73,113.79,113.87,113.73
113.83,113.80,113.84,113.75
113.67,113.83,113.83,113.67
113.75,113.78,113.83,113.75
113.77,113.61,113.77,113.47
113.59,113.51,113.59,113.47
113.52,113.40,113.52,113.38
113.45,113.53,113.54,113.43
113.41,113.37,113.56,113.37
113.39,113.29,113.39,113.19
113.16,113.24,113.28,113.14
113.21,113.16,113.23,113.13
113.10,113.16,113.19,113.10
113.28,113.34,113.35,113.13
113.29,113.28,113.35,113.25
113.18,113.21,113.23,113.13
113.13,113.24,113.24,113.13
113.48,113.21,113.48,113.02
114.10,113.13,114.41,113.00
113.16,113.13,113.31,113.05
113.08,112.78,113.08,112.63
112.57,112.65,112.76,112.57
112.64,112.69,112.85,112.61
112.90,112.57,112.90,112.47
112.28,112.59,112.68,112.25
112.49,112.44,112.55,112.44
112.47,112.60,112.77,112.47
112.51,112.50,112.68,112.49
112.60,112.26,112.60,112.25
112.79,111.96,112.79,111.80
112.36,111.96,112.36,111.72
112.19,111.86,112.19,111.86
111.75,111.91,112.09,111.75
111.78,112.10,112.35,111.78
112.07,112.11,112.31,111.96
111.88,111.92,112.18,111.87
111.95,111.35,112.15,111.35
112.00,111.12,112.00,110.97
111.48,110.84,111.48,110.80
110.61,110.00,110.85,109.96
