ULBI,Ultralife Corporation - Common Stock,NASDAQ
4.04,4.09,4.15,3.94
4.25,4.25,4.25,4.14
4.23,4.19,4.26,4.14
4.16,4.19,4.20,4.10
4.17,4.21,4.27,4.14
4.60,4.52,5.03,4.38
4.56,4.42,4.59,4.36
4.48,4.44,4.53,4.34
4.44,4.59,4.70,4.31
4.50,4.41,4.55,4.39
4.35,4.38,4.44,4.22
4.37,4.38,4.46,4.33
4.26,4.31,4.35,4.21
4.40,4.38,4.59,4.29
4.49,4.75,4.85,4.49
4.76,4.60,4.76,4.56
4.56,4.92,5.17,4.50
4.99,4.93,5.48,4.82
4.97,4.94,5.06,4.70
4.93,4.57,4.93,4.56
4.59,4.57,4.93,4.55
4.62,4.73,4.83,4.62
4.81,4.62,5.03,4.56
4.69,4.72,4.88,4.67
4.68,4.91,4.94,4.66
4.91,4.94,4.98,4.79
5.03,4.93,5.21,4.88
4.88,4.80,5.01,4.79
4.85,4.86,4.89,4.63
4.91,4.88,5.00,4.87
4.97,4.90,5.16,4.81
4.93,4.66,4.96,4.65
4.64,4.66,4.73,4.62
4.63,4.54,4.73,4.49
4.57,4.62,4.84,4.51
4.70,4.51,4.70,4.51
4.57,4.40,4.57,4.30
4.36,4.30,4.50,4.30
4.28,4.18,4.32,4.09
4.27,4.21,4.35,4.20
4.25,4.24,4.30,4.13
4.27,4.11,4.32,4.11
4.13,4.23,4.25,4.09
4.19,4.28,4.31,4.13
4.31,4.27,4.36,4.22
4.35,4.72,4.74,4.35
4.72,4.73,4.77,4.59
4.69,4.56,4.75,4.41
4.55,4.41,4.58,4.40
4.48,4.45,4.51,4.36
4.40,4.58,4.65,4.32
4.64,4.62,4.64,4.54
4.63,4.59,4.70,4.59
4.59,4.88,4.95,4.56
4.85,4.91,4.99,4.66
4.90,4.80,4.98,4.75
4.76,4.63,4.79,4.49
4.63,4.53,4.65,4.25
4.44,4.61,4.63,4.44
4.69,4.72,4.83,4.63
4.68,4.75,4.99,4.68
4.84,4.76,4.89,4.76
4.78,4.80,4.97,4.75
4.72,4.73,4.86,4.69
4.72,4.75,4.95,4.70
4.72,4.66,4.82,4.65
4.61,4.63,4.69,4.58
4.55,4.60,4.72,4.55
4.65,4.58,4.65,4.57
4.57,4.55,4.62,4.53
4.62,4.56,4.73,4.55
4.54,4.48,4.61,4.48
4.49,4.47,4.49,4.18
4.42,4.53,4.53,4.21
4.53,4.45,4.54,4.38
4.30,4.26,4.32,4.26
4.19,4.08,4.25,4.02
4.08,4.02,4.15,4.01
4.08,4.15,4.18,4.02
4.18,4.15,4.27,4.11
4.09,4.10,4.16,4.04
4.18,4.09,4.23,4.08
4.06,4.10,4.13,4.05
4.11,4.12,4.13,4.07
4.13,4.19,4.25,4.13
4.16,4.10,4.27,4.10
4.08,4.09,4.13,4.04
4.06,4.08,4.16,3.85
4.16,4.17,4.21,4.15
4.20,4.20,4.40,4.13
4.18,4.20,4.23,4.18
4.22,4.20,4.23,4.18
4.44,4.34,4.54,4.24
4.35,4.39,4.43,4.14
4.37,4.37,4.38,4.35
4.36,4.34,4.41,4.24
4.29,4.31,4.36,4.28
4.26,4.35,4.36,4.22
4.32,4.33,4.36,4.28
4.25,4.29,4.32,4.25
4.31,4.34,4.40,4.26
4.32,4.35,4.49,4.31
4.35,4.40,4.40,4.35
4.36,4.43,4.43,4.34
4.44,4.41,4.49,4.20
4.41,4.42,4.43,4.38
4.40,4.47,4.65,4.35
4.46,4.57,4.58,4.43
4.59,4.55,4.63,4.47
4.57,4.51,4.57,4.46
4.51,4.57,4.67,4.49
4.57,4.80,4.80,4.52
4.79,4.76,4.82,4.70
4.76,4.92,4.95,4.76
4.84,4.93,4.93,4.70
4.72,4.93,4.96,4.72
4.91,4.87,4.96,4.82
4.87,4.88,4.93,4.85
4.86,4.87,4.88,4.85
4.84,4.91,4.92,4.82
4.88,4.87,4.90,4.83
5.02,5.10,5.45,4.90
5.19,5.25,5.28,5.12
5.32,5.52,5.75,5.32
5.52,5.71,5.75,5.52
5.76,5.88,5.96,5.65
6.00,5.93,6.01,5.86
5.94,5.92,5.97,5.62
5.94,6.00,6.09,5.92
6.03,6.00,6.05,5.93
6.04,6.54,6.75,5.99
6.44,6.48,6.60,6.33
6.40,6.50,6.65,6.30
6.60,6.25,6.82,6.19
6.17,6.43,6.47,6.02
6.37,6.22,6.43,6.07
6.24,6.25,6.37,6.21
6.27,6.30,6.38,6.12
6.25,6.25,6.38,6.23
6.24,6.22,6.35,6.06
6.33,6.25,6.38,6.22
6.20,6.52,6.56,6.20
6.62,6.58,6.66,6.46
6.59,6.26,6.63,6.21
6.35,6.50,6.56,6.26
6.53,6.60,6.65,6.48
6.57,6.92,7.10,6.57
6.86,6.65,6.93,6.65
6.87,6.79,7.37,6.78
6.97,6.93,7.09,6.87
6.91,6.99,7.05,6.91
7.02,6.99,7.08,6.93
7.04,6.95,7.07,6.90
6.93,6.98,7.01,6.85
6.94,6.99,7.01,6.77
6.98,6.96,6.98,6.78
6.95,6.92,7.03,6.92
6.88,6.95,6.99,6.88
6.97,7.01,7.05,6.97
7.00,7.16,7.23,6.97
7.15,7.10,7.23,7.10
7.05,7.01,7.05,6.94
7.01,7.07,7.12,7.01
6.73,6.09,6.73,5.90
6.05,6.51,6.56,6.02
6.52,6.61,6.78,6.40
6.70,6.60,6.78,6.47
6.59,6.59,6.74,6.50
6.60,6.69,6.82,6.60
6.72,6.83,6.92,6.72
6.87,6.95,6.95,6.87
6.93,7.07,7.08,6.70
7.09,7.26,7.30,7.04
7.31,7.35,7.45,7.27
7.31,7.38,7.49,6.80
7.41,7.15,7.41,7.15
7.10,7.10,7.12,6.98
7.10,6.77,7.15,6.68
6.76,6.76,6.88,6.65
6.78,6.82,6.97,6.63
6.82,6.51,6.82,6.40
6.51,7.05,7.13,6.46
7.04,7.04,7.12,6.89
7.07,6.95,7.07,6.88
6.90,6.92,6.95,6.85
6.87,6.87,6.89,6.62
6.84,6.74,6.91,6.71
6.71,6.78,6.82,6.64
6.81,6.75,6.82,6.68
6.72,6.73,6.75,6.50
6.73,6.84,6.89,6.57
6.80,6.84,6.99,6.63
6.83,6.87,6.91,6.78
6.83,6.96,6.96,6.64
6.97,6.97,7.00,6.91
6.93,6.72,6.94,6.69
6.72,6.39,6.74,6.38
6.39,6.12,6.39,6.07
5.78,5.47,5.83,5.26
5.50,5.43,5.71,5.39
5.36,5.27,5.40,5.26
5.27,5.20,5.27,5.00
5.04,5.14,5.21,5.00
5.18,5.17,5.22,5.16
5.17,5.16,5.25,5.05
5.24,5.42,5.52,5.24
5.37,5.40,5.49,5.28
5.43,5.45,5.49,5.40
5.45,5.39,5.53,5.37
5.42,5.19,5.42,5.10
5.22,5.26,5.30,5.18
5.26,5.17,5.26,5.14
5.12,5.20,5.45,5.08
5.18,4.94,5.26,4.88
4.89,4.81,4.95,4.70
4.66,5.00,5.02,4.60
5.00,5.26,5.45,4.93
5.30,5.04,5.30,5.02
4.97,5.00,5.06,4.79
5.03,5.07,5.25,5.03
5.00,5.08,5.17,5.00
4.94,5.17,5.24,4.94
5.15,5.22,5.37,5.13
5.20,5.07,5.21,5.00
5.05,5.10,5.11,5.01
5.10,5.08,5.10,5.03
5.08,5.00,5.08,5.00
4.98,5.07,5.07,4.95
5.07,5.06,5.10,5.00
5.06,5.09,5.17,5.04
5.05,4.94,5.09,4.81
5.00,4.98,5.00,4.94
4.98,4.87,5.03,4.84
4.87,4.70,4.87,4.69
4.68,4.70,4.71,4.65
4.66,4.59,4.69,4.51
4.69,4.55,4.78,4.50
4.55,4.55,4.59,4.53
4.50,4.52,4.55,4.50
4.50,4.30,4.50,4.25
4.30,4.37,4.39,4.30
4.38,4.39,4.54,4.35
4.38,4.35,4.38,4.25
4.33,4.46,4.51,4.33
4.46,4.45,4.50,4.43
4.49,4.45,4.49,4.41
4.43,4.46,4.47,4.43
4.48,4.40,4.48,4.40
4.39,4.18,4.39,4.06
4.18,4.30,4.31,4.09
4.29,4.37,4.44,4.25
4.02,3.97,4.22,3.92
4.00,3.94,4.00,3.87
3.97,3.95,4.09,3.93
3.99,4.00,4.12,3.94
4.09,4.41,4.53,4.07
4.56,4.58,4.73,4.36
4.58,4.43,4.58,4.42
4.41,4.50,4.62,4.41
4.49,4.39,4.49,4.30
4.40,4.45,4.51,4.40
4.44,4.46,4.54,4.41
4.47,4.48,4.49,4.44
4.44,4.50,4.50,4.41
4.53,4.51,4.79,4.49
4.53,4.61,4.62,4.45
4.61,4.78,4.87,4.53
4.76,4.84,4.89,4.65
4.84,4.90,4.97,4.78
4.90,4.84,4.90,4.73
4.89,4.96,5.05,4.73
4.95,5.20,5.23,4.87
5.20,4.95,5.20,4.89
4.95,4.93,5.03,4.78
4.95,4.96,5.01,4.80
4.96,5.04,5.10,4.89
5.07,5.03,5.07,4.91
5.02,5.02,5.05,4.97
5.03,4.99,5.06,4.87
4.99,4.75,4.99,4.68
4.74,4.73,4.88,4.57
4.73,4.71,4.75,4.64
4.61,4.73,4.78,4.56
4.74,4.77,4.79,4.73
4.78,4.72,4.78,4.69
4.71,4.80,4.80,4.67
4.77,4.74,4.77,4.68
4.70,4.74,4.77,4.66
4.75,4.73,4.75,4.65
4.70,4.68,4.75,4.65
4.65,4.70,4.73,4.65
4.88,4.74,4.89,4.73
4.76,4.70,4.90,4.68
4.72,4.92,4.98,4.67
4.85,4.94,4.95,4.85
4.90,4.90,4.92,4.83
4.83,4.75,4.88,4.70
4.72,4.71,4.74,4.63
4.71,4.80,4.80,4.70
4.83,4.69,4.83,4.52
4.72,4.69,4.74,4.51
4.69,4.73,4.75,4.58
4.72,4.72,4.82,4.64
4.68,4.67,4.77,4.65
4.72,4.80,4.84,4.61
4.79,4.88,4.92,4.64
4.88,4.90,4.93,4.80
4.79,4.84,4.95,4.75
4.80,4.76,4.83,4.51
4.72,4.69,4.76,4.59
4.68,4.70,4.74,4.64
4.71,4.72,4.78,4.60
4.75,4.70,4.76,4.60
4.70,4.70,4.73,4.63
4.70,4.91,5.09,4.69
4.90,4.93,5.10,4.84
4.80,4.57,4.90,4.51
4.46,4.85,5.04,4.27
4.77,4.80,5.06,4.69
4.78,4.71,4.83,4.64
4.74,4.79,4.83,4.71
4.83,4.91,5.10,4.80
4.92,4.99,5.09,4.81
5.00,4.89,5.00,4.89
4.83,4.87,4.93,4.80
4.84,4.78,4.94,4.77
4.95,4.77,4.95,4.75
4.75,4.77,4.85,4.54
4.80,4.80,4.84,4.70
4.80,4.75,4.80,4.72
4.78,4.77,4.93,4.77
4.82,4.91,5.04,4.66
4.80,4.90,4.98,4.80
4.90,4.87,4.93,4.71
4.88,4.82,4.88,4.78
4.75,4.81,4.83,4.75
4.76,4.85,4.87,4.75
4.90,4.95,4.99,4.84
4.91,5.00,5.04,4.91
4.95,5.04,5.05,4.90
5.06,4.93,5.06,4.83
4.88,4.91,5.02,4.84
4.93,4.83,4.95,4.76
4.84,5.00,5.04,4.75
4.96,4.95,4.96,4.81
4.88,4.92,4.93,4.84
4.85,4.82,5.00,4.81
4.84,4.82,4.92,4.80
4.77,4.74,4.85,4.73
4.79,4.94,5.04,4.65
4.97,4.94,4.99,4.81
4.99,5.00,5.06,4.92
5.00,4.99,5.02,4.75
5.03,4.94,5.03,4.85
4.82,4.96,5.02,4.76
4.85,4.80,4.92,4.80
4.83,4.72,4.85,4.62
4.78,4.82,4.82,4.70
4.78,4.78,4.82,4.61
4.82,4.73,4.90,4.70
4.78,4.73,4.97,4.56
4.74,4.78,4.80,4.53
4.75,4.88,4.88,4.53
4.89,4.89,4.92,4.82
4.90,4.81,4.90,4.80
4.81,4.71,4.85,4.67
4.69,4.55,4.75,4.39
4.55,4.52,4.72,4.30
4.82,4.41,4.82,4.30
4.49,4.45,4.49,4.23
4.57,4.44,4.62,4.22
4.41,4.42,4.53,4.35
4.43,4.50,4.60,4.29
4.54,4.42,4.54,4.35
4.42,4.43,4.57,4.26
4.41,4.52,4.52,4.36
4.47,4.45,4.52,4.35
4.62,4.80,4.81,4.52
4.45,4.57,4.78,4.41
4.54,4.44,4.55,4.42
4.41,4.65,4.68,4.41
4.60,4.53,4.67,4.40
4.43,4.51,4.54,4.41
4.51,4.49,4.59,4.41
4.48,4.49,4.50,4.36
4.39,4.42,4.45,4.36
4.40,4.43,4.49,4.36
4.37,4.54,4.64,4.36
4.53,4.49,4.53,4.43
4.48,4.43,4.48,4.34
4.41,4.36,4.49,4.36
4.39,4.42,4.42,4.34
4.38,4.41,4.51,4.38
4.41,4.37,4.42,4.29
4.42,4.47,4.55,4.23
4.46,4.36,4.46,4.29
4.44,4.55,4.59,4.33
4.43,4.62,4.62,4.43
4.61,4.67,4.74,4.50
4.64,4.64,4.66,4.55
4.62,4.62,4.62,4.51
4.58,4.51,4.58,4.28
4.39,4.41,4.56,4.30
4.43,4.45,4.56,4.30
4.39,4.50,4.51,4.33
4.49,4.27,4.49,4.27
4.34,4.33,4.37,4.17
4.37,4.13,4.37,4.03
4.01,4.10,4.14,3.95
4.07,4.10,4.24,3.98
4.11,4.19,4.22,4.11
4.17,4.11,4.17,4.00
4.08,4.08,4.17,4.02
4.07,4.14,4.20,4.06
4.12,4.10,4.20,4.02
4.00,4.01,4.12,4.00
4.01,3.96,4.04,3.95
3.94,4.02,4.04,3.94
4.05,4.02,4.05,3.92
3.95,4.02,4.02,3.95
4.02,4.11,4.14,4.02
4.10,4.12,4.12,4.00
4.02,4.05,4.10,3.95
4.03,4.07,4.11,3.96
3.93,4.02,4.08,3.91
4.02,4.07,4.12,3.88
4.04,4.12,4.13,3.89
4.20,4.12,4.22,3.99
4.16,4.09,4.20,4.04
4.12,4.10,4.20,4.00
4.03,4.21,4.32,4.03
4.21,4.35,4.37,4.03
4.31,4.30,4.42,4.11
4.26,4.58,4.68,4.26
4.59,4.22,4.60,4.08
4.22,4.33,4.35,4.16
4.38,4.16,4.38,4.02
4.14,4.17,4.24,4.03
4.20,4.28,4.35,4.15
4.31,4.45,4.49,4.22
4.50,4.60,4.65,4.50
4.55,4.70,4.70,4.46
4.65,4.62,4.68,4.58
4.62,4.67,4.70,4.62
4.65,4.67,4.70,4.61
4.65,4.65,4.71,4.60
4.65,4.66,4.73,4.63
4.65,4.80,4.80,4.63
4.73,4.77,4.80,4.67
4.51,4.67,4.79,4.50
4.50,4.67,4.67,4.28
4.65,4.73,4.75,4.52
4.70,4.98,4.98,4.70
4.89,4.88,4.99,4.80
4.93,5.13,5.38,4.93
5.15,5.30,5.37,5.09
5.30,5.12,5.30,4.83
5.10,4.93,5.10,4.89
4.95,5.06,5.11,4.93
5.06,4.99,5.10,4.93
4.99,5.07,5.10,4.98
5.12,5.08,5.15,5.01
5.03,5.09,5.14,5.03
5.10,5.05,5.12,5.01
5.05,5.06,5.16,5.05
5.10,5.10,5.12,5.07
5.12,5.09,5.14,5.05
5.04,5.13,5.15,4.90
5.10,5.24,5.24,5.04
5.24,5.25,5.25,5.19
5.22,5.19,5.25,5.13
5.25,5.24,5.25,5.12
5.23,5.14,5.23,5.14
5.20,5.35,5.47,5.18
5.36,5.45,5.45,5.36
5.41,5.40,5.50,5.31
5.17,5.25,5.39,5.13
5.20,5.17,5.23,5.15
5.18,5.12,5.20,5.02
5.14,5.18,5.24,5.01
5.22,5.13,5.24,5.06
5.13,5.08,5.13,5.04
5.05,4.99,5.05,4.97
4.97,5.01,5.05,4.95
5.00,5.09,5.10,5.00
5.06,5.16,5.21,5.04
5.10,5.17,5.19,5.02
5.13,5.12,5.21,5.09
5.16,5.05,5.16,5.05
5.01,5.10,5.15,5.00
5.08,5.07,5.22,5.05
5.10,5.03,5.10,5.02
5.05,5.04,5.08,4.97
5.04,5.01,5.05,5.01
4.91,4.98,5.04,4.91
4.99,5.04,5.04,4.93
5.05,4.96,5.05,4.78
4.99,5.07,5.10,4.93
5.08,4.94,5.14,4.90
4.97,5.03,5.09,4.97
5.00,4.97,5.03,4.94
4.95,4.95,4.95,4.85
4.78,4.70,4.78,4.63
4.61,4.55,4.63,4.54
4.58,4.49,4.69,4.49
4.53,4.25,4.87,4.21
4.24,4.39,4.49,4.10
4.42,4.26,4.55,4.09
4.29,4.41,4.61,4.22
4.37,4.46,4.50,4.29
4.41,4.16,4.41,4.14
4.15,4.10,4.30,4.05
4.09,4.12,4.18,3.84
4.01,4.16,4.29,4.01
4.18,4.00,4.20,4.00
4.05,4.27,4.41,4.01
4.32,4.05,4.32,4.05
4.12,4.15,4.29,4.06
4.17,4.04,4.17,4.04
4.10,4.10,4.21,4.07
4.16,4.11,4.20,4.05
4.07,4.23,4.23,4.00
4.11,4.02,4.12,4.00
4.16,4.02,4.16,4.00
4.00,4.01,4.11,4.00
4.03,4.20,4.20,4.03
4.16,4.06,4.17,4.03
4.05,4.03,4.13,4.03
4.04,4.04,4.12,4.00
4.00,4.00,4.02,3.96
4.00,4.11,4.13,3.90
4.11,4.08,4.12,4.00
4.06,4.05,4.06,3.97
4.05,3.93,4.05,3.90
3.95,4.09,4.09,3.95
4.04,4.02,4.04,4.00
4.00,4.01,4.04,4.00
4.00,4.00,4.06,3.73
4.00,3.95,4.07,3.87
3.91,3.80,3.91,3.75
3.75,3.74,3.80,3.67
3.71,3.60,3.72,3.51
3.65,3.86,3.90,3.63
3.84,3.89,3.90,3.84
3.83,3.75,3.86,3.75
3.74,3.82,3.85,3.73
3.78,3.84,3.84,3.73
3.85,3.75,3.85,3.75
3.79,3.71,3.81,3.71
3.75,3.71,3.80,3.71
3.75,3.73,3.81,3.73
3.80,3.69,3.80,3.68
3.74,3.64,3.76,3.64
3.64,3.67,3.69,3.64
3.66,3.67,3.71,3.65
3.78,3.68,3.78,3.66
3.56,3.64,3.67,3.56
3.65,3.63,3.65,3.58
3.65,3.57,3.65,3.55
3.57,3.61,3.61,3.45
3.57,3.70,3.93,3.41
3.67,3.55,3.67,3.46
3.64,3.94,3.95,3.53
3.89,3.91,4.24,3.62
4.04,3.89,4.12,3.89
4.04,3.19,4.04,3.19
3.24,2.85,3.24,2.71
2.74,2.85,2.87,2.74
2.87,2.91,2.97,2.85
2.89,2.77,3.39,2.77
2.86,2.94,3.02,2.80
2.95,3.09,3.18,2.90
3.09,3.18,3.22,3.00
3.20,2.96,3.20,2.96
3.02,2.87,3.02,2.77
2.84,2.89,2.99,2.81
2.90,2.88,3.00,2.78
2.82,2.91,3.00,2.82
2.96,2.92,2.96,2.91
2.94,2.83,3.00,2.82
2.87,2.91,2.95,2.83
2.86,2.81,2.93,2.81
2.78,2.70,2.80,2.65
2.68,2.67,2.69,2.60
2.63,2.78,2.85,2.40
2.73,2.78,3.14,2.73
2.86,2.97,3.03,2.86
2.76,3.04,3.25,2.76
3.04,3.05,3.17,2.96
3.01,3.07,3.13,2.85
3.17,3.07,3.17,2.95
3.07,3.12,3.35,3.00
3.17,3.09,3.40,3.04
3.10,3.13,3.22,3.05
3.13,3.17,3.21,3.03
3.22,3.31,3.43,3.17
3.30,3.18,3.39,3.09
3.12,3.20,3.37,3.12
3.27,3.10,3.38,3.07
3.10,3.16,3.41,3.10
3.16,3.15,3.16,3.06
3.15,3.11,3.25,3.07
3.06,3.07,3.10,3.02
3.02,3.01,3.07,3.01
3.05,3.10,3.10,3.01
3.10,3.11,3.11,3.01
3.11,2.95,3.27,2.89
3.09,2.94,3.09,2.84
2.88,3.08,3.16,2.74
3.01,2.90,3.02,2.90
2.94,3.02,3.04,2.85
2.96,2.91,2.96,2.84
2.85,2.87,2.99,2.84
2.88,2.98,3.08,2.82
2.96,2.98,3.03,2.86
2.92,2.99,3.00,2.88
2.82,3.04,3.10,2.82
3.00,3.12,3.24,3.00
3.06,3.16,3.16,3.00
3.05,3.12,3.12,3.03
3.10,3.15,3.15,3.00
3.15,3.15,3.19,3.13
3.15,2.94,3.19,2.94
3.00,3.06,3.14,3.00
3.09,3.02,3.10,3.01
3.00,3.07,3.13,3.00
3.02,3.07,3.13,3.00
3.49,3.28,3.50,3.06
3.38,3.25,3.45,3.14
3.30,3.24,3.39,3.21
3.29,3.53,3.97,3.20
3.53,3.38,3.56,3.19
3.33,3.10,3.33,3.10
3.11,3.07,3.33,3.06
3.12,3.10,3.32,3.02
3.13,3.00,3.24,3.00
3.00,2.99,3.10,2.88
2.98,3.00,3.15,2.82
2.84,2.80,3.04,2.80
2.82,2.88,3.00,2.82
2.87,2.75,3.05,2.70
2.74,2.75,2.78,2.62
2.78,2.96,3.00,2.75
2.96,2.79,2.96,2.78
2.80,2.72,2.80,2.71
2.67,2.71,2.75,2.67
2.70,2.73,2.89,2.70
2.68,2.74,2.77,2.61
2.70,2.70,2.82,2.63
2.64,2.77,2.92,2.64
2.72,2.86,2.89,2.66
2.79,2.70,2.79,2.66
2.68,2.62,2.76,2.60
2.62,2.58,2.85,2.54
2.54,2.97,3.08,2.54
2.97,2.97,3.01,2.80
2.99,3.02,3.02,2.90
3.01,3.02,3.04,2.75
3.00,3.00,3.04,2.97
2.99,3.01,3.12,2.99
3.06,3.14,3.17,2.99
3.11,3.09,3.15,3.05
2.99,3.05,3.11,2.83
2.98,2.98,3.00,2.91
2.80,2.94,3.00,2.80
2.86,3.09,3.14,2.86
3.12,3.09,3.14,2.89
3.04,3.24,3.29,3.04
3.30,3.27,3.33,3.21
3.30,3.34,3.36,3.27
3.25,3.22,3.25,3.22
3.18,3.14,3.19,3.11
3.06,3.29,3.29,3.06
3.22,3.26,3.29,3.22
3.22,3.23,3.23,3.18
3.19,3.18,3.19,3.10
3.12,3.04,3.14,3.02
2.97,3.22,3.26,2.97
3.11,3.11,3.21,3.06
3.15,3.18,3.19,3.13
3.14,3.19,3.29,3.12
3.13,3.07,3.15,3.07
3.09,3.10,3.21,3.09
3.10,3.05,3.12,3.05
3.12,2.94,3.14,2.91
2.91,3.05,3.05,2.89
3.09,3.14,3.15,3.08
3.10,3.06,3.11,3.03
3.12,3.22,3.26,3.07
3.27,3.24,3.28,3.10
3.22,3.30,3.30,3.21
3.29,3.10,3.29,3.10
3.04,3.09,3.15,3.04
3.07,3.21,3.25,3.07
3.25,3.18,3.30,3.10
3.18,3.23,3.23,3.13
3.17,3.25,3.25,3.17
3.25,3.31,3.35,3.25
3.67,3.34,3.67,3.20
3.50,3.68,3.68,3.37
3.71,3.90,3.96,3.71
3.88,3.91,4.00,3.71
3.93,3.56,4.00,3.47
3.62,3.70,3.95,3.59
3.67,3.65,3.78,3.62
3.43,3.89,3.89,3.43
3.88,3.85,4.08,3.71
4.00,3.62,4.03,3.57
3.90,3.79,3.97,3.74
3.79,3.79,3.88,3.70
3.88,3.73,3.92,3.71
3.59,3.77,3.80,3.58
3.75,3.61,3.97,3.61
3.70,3.88,3.88,3.67
3.78,3.80,3.86,3.65
3.89,4.04,4.04,3.77
3.98,3.94,4.04,3.89
3.68,4.04,4.19,3.68
4.15,4.43,4.65,3.76
4.16,4.33,4.50,4.09
4.37,4.21,4.39,4.00
4.15,4.20,4.27,3.88
4.25,4.36,4.49,4.25
4.40,4.34,4.48,4.25
4.27,4.35,4.53,4.27
4.21,4.45,4.55,4.07
4.49,4.44,4.54,4.14
4.50,4.47,4.50,4.27
4.39,4.13,4.39,4.12
4.11,4.05,4.43,4.04
4.04,4.05,4.07,4.04
4.19,4.12,4.19,4.04
4.06,4.09,4.23,4.03
4.04,4.02,4.09,4.02
4.14,4.24,4.29,4.02
4.24,4.24,4.24,4.14
4.12,4.01,4.12,4.00
4.01,4.05,4.10,4.00
4.00,3.98,4.02,3.97
3.99,4.08,4.08,3.94
4.00,4.01,4.16,3.99
3.99,3.95,4.00,3.90
3.90,3.83,3.94,3.82
3.83,3.88,3.90,3.82
3.86,3.88,3.95,3.82
4.01,3.98,4.02,3.83
3.97,4.01,4.16,3.95
3.94,3.91,3.97,3.85
3.82,3.90,4.03,3.82
3.94,3.94,3.94,3.94
3.89,3.86,4.00,3.86
3.83,3.99,4.24,3.81
3.96,3.93,4.05,3.90
3.83,3.92,4.05,3.83
3.99,4.00,4.25,3.94
4.22,4.19,4.44,4.00
4.14,4.10,4.41,4.05
4.08,4.08,4.09,4.00
3.90,4.05,4.12,3.90
4.08,4.00,4.12,3.97
3.92,4.00,4.03,3.86
3.96,4.03,4.07,3.96
3.99,4.10,4.10,3.93
4.06,4.00,4.06,3.90
3.88,3.95,4.00,3.82
3.86,3.88,3.99,3.86
3.90,4.00,4.05,3.83
3.87,3.87,3.94,3.83
3.95,3.94,4.09,3.90
4.00,3.94,4.04,3.93
3.91,3.84,3.94,3.80
3.86,3.80,3.94,3.80
3.90,3.86,3.94,3.80
3.86,3.74,3.86,3.72
3.71,3.63,3.74,3.62
3.59,3.73,3.88,3.59
3.53,3.72,3.82,3.53
3.77,3.89,3.99,3.73
3.91,3.86,3.96,3.67
3.86,3.86,3.87,3.86
3.79,3.90,4.06,3.79
3.93,3.73,3.93,3.73
3.68,3.70,3.70,3.60
3.67,3.80,3.80,3.55
3.73,3.75,3.80,3.60
