DUG,ProShares UltraShort Oil & Gas,NASDAQ
237.36,237.60,244.00,235.40
235.16,235.32,238.00,233.12
241.16,238.84,243.64,236.72
247.72,252.44,254.20,247.40
259.00,255.40,260.20,251.94
255.88,257.20,258.04,252.20
258.80,257.00,262.72,255.92
251.84,248.55,254.20,245.80
249.32,253.40,257.48,249.28
255.12,261.56,264.04,254.92
264.72,268.00,271.88,264.32
266.44,266.96,267.40,262.12
274.52,274.22,276.64,267.52
277.48,275.78,283.84,273.97
271.88,280.72,282.60,270.69
277.72,265.48,284.80,264.60
267.44,272.64,272.80,264.28
273.76,274.52,278.44,270.52
265.52,254.16,265.96,252.92
254.44,249.76,256.60,249.72
nan,244.88,nan,nan
248.92,252.16,253.20,247.68
251.48,247.88,252.40,245.80
242.52,246.80,247.80,241.16
243.90,241.16,244.36,240.20
236.36,238.24,241.24,236.36
238.76,239.36,241.04,235.44
242.20,239.72,244.72,239.46
241.36,241.88,244.60,239.64
240.96,243.68,244.76,239.44
242.48,235.44,243.96,233.92
234.76,235.96,239.20,232.95
236.52,238.52,239.16,231.52
242.32,241.96,244.00,238.00
236.48,231.88,238.60,230.05
230.52,233.00,233.40,229.55
232.64,230.08,237.36,228.56
231.20,225.88,231.64,223.84
222.96,225.68,229.84,220.48
221.96,220.52,224.20,219.08
221.04,225.00,228.12,219.40
220.68,215.00,221.20,213.72
214.40,212.04,215.04,210.52
209.24,213.44,216.60,209.24
213.84,208.68,215.04,207.44
208.00,207.52,209.24,205.80
209.04,207.62,213.36,206.00
205.00,203.24,205.92,201.00
203.12,203.24,206.12,200.40
201.52,202.06,206.32,200.72
203.00,198.54,203.80,197.55
203.96,208.52,211.92,203.80
207.16,203.28,208.00,201.00
202.00,204.28,208.08,199.20
202.44,201.27,203.04,200.04
198.40,201.12,201.16,195.24
202.12,200.08,202.72,199.24
202.96,201.72,207.20,201.40
199.20,202.24,203.84,198.12
204.92,202.24,205.20,201.64
198.68,201.08,203.08,195.72
197.88,196.28,199.52,194.52
194.88,195.00,200.64,194.00
190.16,183.64,190.16,183.36
183.76,182.36,184.84,182.28
184.40,180.56,184.56,180.20
178.72,180.68,182.44,175.72
178.84,175.64,182.76,175.48
177.44,172.16,177.48,172.16
175.48,177.16,180.04,174.28
176.00,178.96,179.00,175.08
182.68,185.36,188.33,182.60
185.92,183.96,187.52,182.04
179.48,176.52,179.84,175.80
177.20,174.12,180.24,174.04
175.72,175.32,181.72,175.16
180.48,181.72,184.88,180.40
nan,175.68,nan,nan
179.00,179.00,180.60,177.00
181.40,177.32,184.72,176.60
182.16,178.72,182.76,175.88
172.92,168.74,173.16,167.72
168.76,163.96,168.76,163.68
165.88,162.60,166.12,161.96
162.64,161.32,162.92,160.36
157.16,162.08,162.52,156.80
161.36,162.92,164.72,159.80
161.12,162.08,164.92,160.64
161.24,161.00,162.60,160.65
158.32,158.44,158.76,155.80
158.08,159.48,160.48,156.96
160.36,161.32,161.80,158.32
161.52,159.48,163.64,159.40
159.08,159.52,161.00,158.88
158.28,157.48,160.08,156.64
156.12,154.88,157.00,154.24
153.92,153.68,154.60,153.40
nan,152.88,nan,nan
153.64,154.20,155.10,153.52
153.40,152.80,154.32,152.48
152.08,150.36,152.52,149.40
150.28,150.01,151.16,148.76
150.32,149.68,151.08,148.72
147.32,147.56,148.24,145.90
146.48,149.52,152.16,146.00
151.00,148.52,152.32,148.24
147.72,150.64,151.92,147.52
150.36,148.72,151.40,147.84
149.84,149.52,152.00,149.16
147.96,145.20,148.24,145.00
142.80,141.40,143.84,141.00
140.96,141.92,143.00,140.32
nan,138.52,nan,nan
138.32,136.08,139.08,136.04
135.84,139.12,139.60,135.40
141.52,141.16,145.20,140.52
138.64,139.88,141.32,137.96
140.00,139.16,141.26,138.56
139.84,140.24,142.98,139.52
139.36,133.88,139.48,133.20
133.72,134.88,136.08,133.16
134.76,135.88,136.56,133.81
134.04,128.76,135.04,128.76
127.64,124.32,127.80,123.84
124.92,124.00,125.68,122.76
124.36,123.94,127.12,123.76
123.80,124.72,125.96,123.76
123.68,122.96,123.68,121.28
123.32,123.80,125.84,123.12
124.88,126.80,128.36,124.16
128.28,124.36,128.36,123.88
125.36,124.26,125.80,123.36
124.60,118.84,124.60,118.44
118.88,121.24,122.32,118.72
120.24,118.20,120.80,117.88
118.20,115.72,118.36,115.32
nan,114.56,nan,nan
112.40,116.44,117.60,111.32
115.36,112.12,115.36,110.56
111.56,115.20,116.36,111.40
114.60,112.08,115.16,112.00
111.40,110.52,112.60,110.00
109.36,114.36,114.52,109.00
115.12,113.36,116.88,113.12
112.12,110.26,112.80,109.96
110.24,111.52,113.00,109.96
110.12,112.96,113.84,108.92
113.04,114.48,116.52,112.84
115.40,115.92,116.64,113.88
118.64,124.24,124.76,118.64
126.96,120.16,127.00,118.32
121.72,119.16,122.84,118.56
126.00,120.96,127.20,119.12
120.44,125.52,127.28,118.96
121.12,118.04,122.16,116.96
115.60,118.64,119.24,114.80
115.44,111.84,115.44,111.84
111.68,112.36,113.04,111.08
112.80,112.26,114.00,111.48
111.52,111.60,113.40,111.00
111.48,109.52,111.84,108.84
109.80,109.68,110.20,107.36
110.28,107.24,110.72,106.72
106.00,105.48,107.32,104.68
104.68,105.80,106.04,103.20
104.36,105.20,105.84,103.80
104.60,105.11,105.36,104.08
105.52,104.28,105.52,103.36
103.44,106.40,107.08,102.96
106.68,106.00,107.92,105.40
104.68,105.40,106.48,103.88
105.48,109.32,109.96,104.84
111.52,115.68,117.04,111.52
114.00,115.00,116.60,113.16
116.40,113.60,117.20,113.00
112.88,111.70,114.64,111.40
115.12,115.10,117.32,114.12
115.20,112.64,115.20,112.24
108.68,107.80,109.60,107.60
nan,106.52,nan,nan
106.52,107.60,108.88,106.40
107.32,105.44,107.84,105.20
105.12,105.44,108.84,104.48
106.32,105.68,107.52,105.20
105.40,102.44,105.48,102.44
102.40,105.52,106.68,102.08
106.96,110.52,112.28,106.64
111.28,114.34,116.12,111.00
117.96,119.08,121.60,115.60
117.04,118.28,120.56,113.08
117.20,114.40,117.64,113.16
114.52,113.16,116.04,112.28
114.68,119.68,121.08,114.56
120.92,119.76,124.20,118.28
119.08,120.64,122.84,117.64
122.16,122.68,123.28,118.00
124.04,122.92,125.64,121.68
121.56,117.92,122.52,116.24
116.56,117.52,119.36,115.64
117.80,117.72,120.56,116.08
122.04,121.28,122.68,120.24
119.08,118.08,119.08,115.60
119.44,114.58,119.44,113.40
114.96,113.36,116.36,113.00
nan,112.72,nan,nan
109.84,110.64,112.84,108.88
111.16,115.68,116.20,110.12
115.40,115.92,118.20,113.92
119.28,115.88,119.64,113.88
116.44,120.88,121.36,115.56
119.24,121.16,121.40,117.92
120.40,120.04,120.48,117.36
118.64,117.08,119.40,115.80
118.60,121.44,121.76,118.52
121.24,124.96,127.12,119.60
121.96,120.08,121.96,118.76
122.80,125.24,126.44,120.64
125.24,124.60,127.04,122.64
122.84,125.32,126.68,122.16
126.76,124.54,127.16,124.00
122.60,119.64,122.92,118.56
120.60,120.48,121.04,117.52
125.72,123.12,129.16,122.92
123.64,127.52,128.04,122.80
128.24,126.32,129.12,124.96
124.24,119.20,124.44,119.04
118.20,116.12,119.28,114.76
115.24,112.88,115.24,112.56
nan,110.56,nan,nan
110.72,109.32,110.88,108.44
109.88,109.88,111.56,109.52
107.28,106.92,108.44,106.40
110.04,108.36,110.44,108.24
111.56,112.96,113.84,111.16
113.80,113.64,114.08,110.72
112.80,112.04,112.80,108.84
109.76,113.48,113.60,109.32
110.48,107.04,110.52,107.00
108.08,108.16,109.60,107.72
106.72,104.44,106.72,104.32
103.64,104.72,105.16,103.52
103.48,101.08,103.68,100.76
100.68,99.92,101.88,99.68
102.12,100.72,102.44,99.36
100.32,101.32,102.12,99.76
102.60,105.24,105.60,102.48
106.40,106.68,107.08,104.32
109.24,108.84,110.04,107.20
105.28,109.16,111.08,105.16
110.88,114.88,114.88,108.16
114.64,116.08,121.04,114.64
120.12,132.00,132.60,120.00
128.36,132.96,143.28,126.36
143.16,155.00,156.04,140.08
149.68,140.44,161.88,140.44
144.00,150.48,151.44,139.48
147.24,135.24,150.00,130.56
130.36,133.00,134.52,129.80
129.16,123.88,129.44,123.60
127.36,128.08,130.64,124.76
125.40,126.84,128.48,122.72
134.76,141.28,144.00,134.24
146.20,146.96,147.56,137.08
138.24,148.80,150.00,137.72
146.84,135.28,148.52,135.12
136.56,134.16,139.28,133.68
132.40,140.24,141.40,131.16
142.88,134.76,146.00,133.52
130.40,126.76,132.36,126.48
128.96,125.64,130.52,123.84
123.68,124.12,126.08,120.44
123.64,126.04,126.08,120.44
131.68,132.48,134.44,130.16
141.32,135.60,142.88,135.20
130.36,125.44,131.16,125.40
127.52,128.32,129.68,123.16
131.72,136.80,138.36,130.32
141.48,135.20,142.80,135.16
134.24,134.16,139.00,132.56
132.88,130.56,137.44,126.88
127.80,125.44,129.68,125.40
124.36,125.76,128.56,123.64
131.32,129.32,134.32,127.44
128.04,131.00,131.28,125.36
131.68,141.50,141.60,130.68
151.48,156.92,161.68,150.96
160.40,159.88,162.20,155.56
157.28,148.52,163.28,148.00
140.28,144.05,145.96,136.64
143.96,153.20,153.56,141.04
145.40,149.40,155.88,145.40
155.72,158.04,158.04,150.88
161.32,169.00,169.12,158.44
174.48,158.44,181.88,157.72
156.36,147.76,160.92,146.84
148.96,142.36,151.52,142.04
140.84,145.92,148.40,140.44
140.04,132.84,140.04,132.84
135.44,132.56,135.44,130.00
130.08,130.52,132.12,127.00
133.24,131.08,135.72,130.04
127.12,121.32,127.12,121.32
122.12,125.28,125.92,121.32
125.84,117.88,128.24,116.08
118.68,120.04,121.12,115.40
120.28,118.36,123.04,117.48
115.76,113.84,116.76,113.08
113.32,111.00,113.76,110.68
111.32,115.80,116.64,111.20
112.64,110.56,117.16,109.92
105.08,103.12,105.88,99.84
103.88,101.08,104.40,100.44
103.80,109.76,109.88,103.80
118.16,116.40,120.00,113.56
111.04,110.04,113.52,109.40
107.20,104.72,110.12,104.28
106.68,104.68,108.44,104.36
104.76,103.36,107.08,102.24
101.92,100.44,104.48,100.04
106.40,108.72,109.28,104.16
105.56,105.04,109.28,103.56
102.76,101.20,102.76,100.20
102.24,103.48,105.20,101.72
104.36,103.56,105.16,101.92
105.08,106.16,106.48,101.20
106.64,110.72,112.56,105.08
109.36,111.88,113.44,108.64
116.20,116.00,119.04,114.76
116.32,118.08,119.40,114.96
nan,124.96,nan,nan
126.04,126.80,126.92,122.72
117.52,117.72,120.00,115.68
116.56,114.28,117.64,112.40
106.32,102.20,106.56,101.80
102.20,103.16,104.32,100.96
101.00,103.36,103.64,100.32
100.00,100.80,102.36,98.36
100.72,100.48,101.96,98.84
100.76,101.68,103.36,100.40
103.32,107.36,107.96,102.36
106.52,102.60,106.52,101.72
105.40,107.24,109.88,105.00
105.84,108.80,110.24,102.80
111.80,115.12,116.16,110.68
112.20,115.92,116.40,111.88
113.64,113.48,115.72,112.20
112.44,117.08,117.68,112.36
112.44,107.76,112.44,107.24
107.80,105.40,108.80,104.76
104.04,102.76,104.72,102.28
nan,101.36,nan,nan
101.92,100.80,101.92,100.00
100.88,104.56,104.84,100.40
104.40,102.24,104.56,102.04
nan,102.52,nan,nan
98.48,97.08,98.48,96.00
97.72,96.60,98.80,96.40
97.76,97.64,99.76,97.40
97.16,98.68,98.96,97.16
98.44,97.76,98.68,97.32
94.80,96.00,96.44,94.56
96.84,98.60,99.12,96.84
99.40,100.36,101.04,98.64
nan,101.20,nan,nan
98.88,99.52,100.24,98.12
99.80,96.32,100.00,96.32
95.48,95.60,96.36,95.00
95.72,95.64,97.00,94.88
95.24,94.20,95.44,93.76
95.88,94.68,96.48,94.64
95.12,92.48,97.16,92.00
91.36,95.04,95.72,91.28
96.08,95.56,96.12,95.04
97.52,96.44,98.96,96.44
95.24,97.88,98.80,95.20
96.32,97.12,97.36,95.60
96.80,96.12,97.60,95.28
93.60,92.68,94.40,92.52
93.52,90.48,93.88,90.40
90.72,89.48,92.44,89.12
88.80,89.96,91.04,88.68
89.36,90.00,91.12,89.16
92.00,91.76,92.56,91.44
89.92,90.20,91.56,89.72
90.24,89.72,91.20,89.48
89.16,90.24,90.52,88.72
89.72,87.44,90.60,87.24
86.32,86.68,87.76,85.80
85.72,85.72,86.24,84.96
85.56,85.32,85.72,84.36
85.20,84.20,86.28,84.12
83.88,83.64,83.96,83.12
84.16,84.12,85.32,83.20
83.96,84.48,85.24,83.36
84.20,86.24,86.76,83.56
85.68,84.56,85.88,84.28
85.04,86.32,86.92,84.96
86.96,87.12,88.60,86.92
89.64,90.00,91.12,89.44
89.28,88.56,90.68,88.16
87.88,87.52,88.76,86.92
87.00,87.64,88.00,86.16
87.96,88.56,89.16,87.80
87.56,86.16,89.04,86.12
86.24,87.96,88.16,85.80
87.44,87.68,88.84,87.04
86.80,85.32,86.88,84.64
85.32,84.24,85.72,83.76
85.88,86.88,87.08,85.88
87.08,88.64,89.08,87.08
90.48,92.48,93.00,90.32
92.20,90.44,92.92,89.92
88.76,88.80,89.72,88.60
88.76,90.72,90.76,88.60
91.76,93.16,94.56,91.08
94.32,93.20,95.64,92.96
91.96,91.88,93.36,91.24
92.04,90.00,92.56,88.68
90.20,91.48,93.28,90.16
93.64,94.16,94.88,93.04
94.88,95.08,95.40,92.80
97.84,97.48,98.16,96.48
97.64,101.44,101.80,97.64
99.08,101.44,101.68,98.76
101.16,97.00,101.20,96.76
97.88,100.20,100.36,97.48
99.20,101.12,102.00,98.60
99.24,97.68,99.24,96.92
98.48,98.08,98.72,97.00
98.12,98.48,99.20,96.76
96.68,98.80,98.84,95.80
101.64,99.00,102.36,98.56
98.60,97.62,99.16,97.12
96.04,95.52,97.40,95.48
96.56,93.88,96.80,93.72
93.52,93.92,94.60,93.00
94.32,93.24,94.64,93.00
92.52,90.72,93.12,89.36
92.24,93.48,93.96,92.24
93.40,96.56,96.96,93.40
98.04,100.88,101.52,98.00
102.00,101.20,103.16,100.12
102.80,102.12,106.08,101.64
105.00,103.48,106.00,101.92
101.28,102.44,102.88,100.24
103.80,103.88,104.04,100.92
106.04,107.12,107.52,105.88
107.00,110.32,110.92,106.28
109.68,110.96,111.04,106.40
110.80,112.52,112.56,109.08
111.24,114.10,114.88,109.96
113.36,108.84,113.60,108.76
108.52,109.60,111.04,105.76
111.56,108.80,114.52,108.64
107.60,109.04,111.56,107.60
109.04,109.84,110.44,108.28
107.76,106.68,108.80,105.12
109.44,113.18,113.76,109.40
112.92,115.24,118.76,112.76
120.08,120.76,121.00,118.64
120.52,120.80,124.28,119.20
121.40,118.88,121.40,117.56
116.56,111.28,116.56,111.28
108.12,110.92,111.60,106.68
112.96,111.24,114.68,110.88
108.40,113.88,114.12,107.80
112.20,110.68,113.56,110.00
112.00,113.20,114.20,109.60
112.92,109.40,113.40,108.80
108.16,105.40,108.80,105.32
107.80,107.36,108.40,106.84
105.88,104.12,106.48,103.20
104.28,104.80,106.68,102.72
105.16,113.72,113.88,104.84
112.08,112.24,114.60,111.40
115.72,116.96,118.92,115.40
116.32,114.32,118.00,113.48
113.04,109.76,113.04,109.16
111.52,108.56,112.26,108.28
103.44,101.60,104.64,101.52
102.12,101.64,103.76,101.24
100.20,96.92,100.20,96.90
98.16,99.48,100.00,97.88
102.24,101.72,103.20,101.04
102.20,102.64,104.00,101.84
101.60,105.80,106.68,101.04
104.76,103.00,105.08,102.12
105.40,103.68,106.04,102.80
102.60,100.16,103.04,99.92
100.80,99.40,101.80,98.80
98.32,97.08,101.44,96.80
97.52,95.36,98.00,95.16
94.44,94.68,95.72,94.24
95.84,94.52,96.20,94.44
98.20,96.64,99.40,96.20
96.40,99.32,101.80,96.32
98.64,99.32,100.84,98.00
96.40,94.08,96.72,93.60
93.24,90.76,94.36,90.16
91.48,90.38,91.60,89.80
90.72,92.54,92.54,90.16
91.68,91.64,93.40,90.72
96.00,94.56,96.00,92.68
91.72,90.16,91.72,89.16
90.04,89.68,90.04,88.80
88.48,87.12,88.56,86.44
87.96,86.80,88.00,86.32
87.12,85.88,87.28,85.16
86.92,85.36,87.92,85.32
85.52,86.20,87.00,85.36
85.44,86.24,86.84,85.20
86.44,86.52,86.96,85.88
86.20,84.72,86.32,84.52
84.64,84.81,85.40,84.40
85.48,85.52,86.04,85.00
84.96,86.20,86.48,84.12
86.92,85.68,87.28,85.56
86.16,87.48,87.72,85.76
87.80,86.32,88.68,85.96
86.20,86.52,86.80,85.32
86.64,86.28,86.92,85.68
86.08,87.24,87.44,86.08
88.00,89.12,89.68,88.00
87.92,87.48,88.76,86.64
87.64,88.64,90.04,87.40
88.80,89.20,89.48,88.16
88.08,85.48,88.08,84.36
85.20,82.64,85.20,82.64
83.16,83.52,83.60,82.12
82.88,82.00,82.88,81.60
81.08,81.27,81.72,80.72
81.00,78.20,81.80,77.48
77.24,75.80,77.36,74.72
76.48,77.16,77.60,75.56
77.76,78.40,79.32,77.60
78.40,79.96,79.96,78.36
81.04,79.24,81.64,78.92
77.80,78.88,79.04,77.80
80.12,79.56,80.12,79.12
79.16,81.20,81.32,78.88
81.96,82.80,83.24,81.68
81.72,80.64,82.20,80.24
81.32,81.40,82.36,81.04
80.52,80.64,81.00,79.24
79.84,80.68,81.52,79.84
80.96,82.68,83.32,80.92
82.00,81.00,82.04,80.68
80.20,81.36,81.80,79.96
82.28,81.12,82.36,80.92
81.00,81.04,81.04,79.56
81.76,83.88,84.24,81.68
82.08,82.72,82.72,81.36
82.80,83.52,84.52,82.40
83.68,82.68,84.96,82.52
81.80,80.16,81.80,79.96
79.88,78.32,80.00,78.16
78.92,78.20,78.92,77.80
78.16,80.40,80.92,78.00
80.52,81.32,82.96,80.24
84.08,85.16,86.24,83.96
84.36,86.28,86.68,84.12
84.60,84.72,86.72,84.40
85.08,84.56,85.44,83.56
83.68,85.04,86.04,83.56
85.28,83.76,85.48,83.60
83.28,86.56,86.96,82.92
86.72,85.12,86.76,84.84
84.24,82.56,84.32,82.00
84.68,87.08,88.00,84.52
87.00,90.20,90.20,86.36
90.80,90.04,91.16,88.08
89.44,89.76,90.44,89.24
91.64,90.92,91.68,88.48
90.08,92.96,93.36,90.08
92.96,92.80,94.12,91.40
92.52,92.16,95.16,91.88
89.52,87.80,89.68,87.72
88.28,88.56,89.44,87.72
87.92,87.60,88.80,87.46
86.64,85.32,87.20,85.32
86.44,86.76,87.84,86.44
87.24,88.28,88.52,86.60
90.00,86.60,90.44,86.40
85.40,86.08,86.76,84.88
85.96,86.24,86.76,85.40
84.96,87.00,87.28,84.88
87.40,87.52,87.60,86.24
86.80,86.04,87.16,85.08
86.32,85.44,86.70,85.44
85.00,84.36,85.68,84.32
84.52,84.60,84.96,83.80
83.96,83.68,84.16,82.96
83.16,83.08,83.60,81.68
83.60,84.68,85.44,83.36
85.88,85.44,86.04,85.12
84.84,83.88,85.24,83.84
83.96,80.92,84.24,80.60
80.64,82.12,82.12,80.56
82.12,81.00,82.44,81.00
82.76,82.72,83.68,82.24
82.88,83.92,84.12,82.88
83.96,84.44,84.84,82.89
84.28,84.84,86.80,84.28
85.84,87.64,87.80,85.84
87.08,84.16,88.48,83.88
80.40,80.04,82.44,80.00
80.72,80.04,81.00,78.84
80.76,78.40,80.76,78.16
79.20,79.48,80.04,79.08
79.80,79.76,80.84,79.68
79.44,80.00,80.52,79.12
78.84,78.44,79.44,78.20
78.48,78.12,78.84,78.00
78.00,78.12,78.52,77.68
78.88,77.36,78.92,77.32
77.56,76.98,77.92,76.84
76.32,75.88,76.52,74.92
75.80,74.52,76.09,74.52
74.72,73.24,75.12,73.16
73.44,73.68,74.09,73.28
73.52,73.12,73.58,72.08
72.32,71.80,72.68,71.56
71.44,72.12,72.83,71.32
71.76,70.00,72.32,69.76
69.84,70.80,71.00,69.12
71.32,71.24,71.60,70.60
70.44,70.08,71.68,69.88
71.12,71.32,71.48,70.84
70.60,70.20,70.84,69.72
70.92,70.32,71.48,70.24
70.36,70.72,71.65,70.16
70.52,69.44,70.52,69.44
69.48,70.24,70.33,69.48
69.96,69.88,70.64,69.68
69.76,69.40,69.84,69.28
69.68,68.46,70.05,68.08
68.56,69.96,70.60,68.52
69.44,68.32,69.56,68.23
68.52,71.00,71.04,68.32
71.40,71.92,72.84,71.32
71.08,70.16,72.08,70.16
69.56,74.00,74.00,69.00
73.08,72.68,74.84,72.32
73.08,70.28,73.08,70.20
70.48,70.40,70.88,69.52
71.68,70.68,72.04,70.52
71.20,71.16,72.44,70.80
70.28,70.08,70.68,69.56
69.52,69.84,70.44,69.24
69.52,69.31,70.15,69.12
68.72,68.56,69.56,68.44
68.80,68.64,69.64,68.32
68.40,68.40,68.80,67.68
68.44,68.52,68.92,68.24
68.44,66.72,68.44,66.56
66.80,66.84,67.40,66.32
68.32,67.96,68.60,67.16
67.80,69.32,70.48,67.74
68.48,68.40,69.32,68.12
69.24,69.32,69.36,68.24
68.92,68.12,69.00,67.92
67.88,68.64,69.24,67.12
68.28,67.16,68.28,67.05
67.80,66.68,68.24,66.60
66.88,67.24,67.28,66.32
67.08,67.36,68.20,66.76
67.20,68.20,68.52,67.12
68.04,70.52,70.88,68.04
70.64,70.64,71.52,69.88
72.56,70.56,72.72,70.40
70.20,69.56,70.68,69.52
69.48,68.40,70.00,67.92
68.04,67.68,68.36,67.28
67.40,67.08,68.12,66.64
69.08,68.96,69.90,68.00
70.56,74.60,74.60,70.40
73.20,72.76,74.76,72.60
73.80,75.76,76.80,73.80
75.24,74.60,76.60,73.68
73.52,74.64,75.44,73.12
73.96,72.88,75.04,72.44
72.96,71.32,73.08,71.20
70.88,69.44,70.88,68.80
68.72,69.64,70.12,68.04
69.76,69.60,70.76,69.48
69.00,68.40,69.56,67.84
68.24,67.84,69.36,67.76
68.76,69.84,69.92,68.64
69.08,68.12,69.72,67.76
67.08,65.48,67.12,65.24
65.40,64.68,65.44,64.25
64.04,63.72,64.68,63.40
63.84,63.48,64.24,63.36
63.40,63.68,64.28,63.12
64.40,64.36,65.32,64.12
64.52,64.40,65.08,64.32
64.32,62.68,64.36,62.60
63.32,63.04,63.92,62.60
63.36,63.64,63.80,62.64
63.12,61.64,63.20,61.48
61.88,59.96,61.88,59.72
59.56,60.04,60.40,59.20
60.00,61.56,62.08,59.08
63.20,61.68,63.36,61.56
62.56,62.16,63.24,62.12
60.76,60.92,61.44,59.96
61.60,61.04,61.96,60.76
61.44,61.36,62.08,60.80
61.68,63.88,63.88,61.48
63.36,62.64,63.95,62.56
63.28,63.52,64.40,62.48
63.92,64.88,64.96,63.44
64.88,63.88,65.84,63.88
63.00,62.44,63.88,62.28
62.20,62.74,63.14,61.69
64.06,64.50,64.65,63.53
63.50,65.78,65.93,63.28
65.65,63.47,65.79,63.19
63.41,64.59,64.78,63.30
63.62,62.88,63.66,62.55
62.85,62.15,62.92,61.81
62.16,63.26,63.29,61.57
64.80,66.92,67.21,64.80
65.54,66.57,68.04,65.02
67.90,68.56,70.06,67.14
